kgid,mkgid,RKod,BedKod,Miktar,insUN,insDT,insApp,updUN,updDT,updApp
1,153,19133,11,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
2,152,19133,11,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
3,147,16778,11,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
4,19,17683,11,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
5,152,19133,10,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
6,147,16778,10,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
7,137,18610,10,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
8,136,18057,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
9,134,18817,10,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
10,131,18116,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
11,124,17674,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
12,123,17529,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
13,122,18057,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
14,115,18118,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
15,114,18110,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
16,113,16525,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
17,108,18752,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
18,107,18752,10,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
19,100,17821,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
20,97,17832,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
21,95,16599,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
22,74,16519,10,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
23,51,16603,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
24,50,16545,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
25,46,18715,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
