Banka,Sube,BTanim,STanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0001,00001,T.C.MERKEZ BANKASI A.Ş. ,ANKARA SUBESI,1,,,,,,
0001,00002,T.C.MERKEZ BANKASI A.Ş. ,ISTANBUL SUBESI,2,,,,,,
0001,00003,T.C.MERKEZ BANKASI A.Ş. ,IZMIR SUBESI,3,,,,,,
0001,00004,T.C.MERKEZ BANKASI A.Ş. ,MERSIN SUBESI,4,,,,,,
0001,00005,T.C.MERKEZ BANKASI A.Ş. ,SAMSUN SUBESI,5,,,,,,
0001,00006,T.C.MERKEZ BANKASI A.Ş. ,ISKENDERUN SUBESI,6,,,,,,
0001,00007,T.C.MERKEZ BANKASI A.Ş. ,ESKISEHIR SUBESI,7,,,,,,
0001,00008,T.C.MERKEZ BANKASI A.Ş. ,DIYARBAKIR SUBESI,8,,,,,,
0001,00009,T.C.MERKEZ BANKASI A.Ş. ,GAZIANTEP SUBESI,9,,,,,,
0001,00010,T.C.MERKEZ BANKASI A.Ş. ,BANKNOT MATBAASI SUBESI,10,,,,,,
0001,00011,T.C.MERKEZ BANKASI A.Ş. ,ERZURUM SUBESI,11,,,,,,
0001,00013,T.C.MERKEZ BANKASI A.Ş. ,TRABZON SUBESI,12,,,,,,
0001,00014,T.C.MERKEZ BANKASI A.Ş. ,ANTALYA SUBESI,13,,,,,,
0001,00015,T.C.MERKEZ BANKASI A.Ş. ,EDIRNE SUBESI,14,,,,,,
0001,00016,T.C.MERKEZ BANKASI A.Ş. ,KAYSERI SUBESI,15,,,,,,
0001,00017,T.C.MERKEZ BANKASI A.Ş. ,ADANA SUBESI,16,,,,,,
0001,00018,T.C.MERKEZ BANKASI A.Ş. ,BURSA SUBESI,17,,,,,,
0001,00019,T.C.MERKEZ BANKASI A.Ş. ,DENIZLI SUBESI,18,,,,,,
0001,00020,T.C.MERKEZ BANKASI A.Ş. ,KONYA SUBESI,19,,,,,,
0001,00021,T.C.MERKEZ BANKASI A.Ş. ,MALATYA SUBESI,20,,,,,,
0001,00022,T.C.MERKEZ BANKASI A.Ş. ,VAN SUBESI,21,,,,,,
0001,00024,T.C.MERKEZ BANKASI A.Ş. ,IZMIT SUBESI,22,,,,,,
0001,90001,T.C.MERKEZ BANKASI A.Ş. ,IBAN MERKEZ SUBESI,23,,,,,,
0001,90007,T.C.MERKEZ BANKASI A.Ş. ,TCMB YÖNLENDİRİCİ MERKEZİ,24,,,,,,
0001,90008,T.C.MERKEZ BANKASI A.Ş. ,EMKT MERKEZİ,25,,,,,,
0001,90009,T.C.MERKEZ BANKASI A.Ş. ,TCMB EFT MERKEZİ-2,26,,,,,,
0001,99999,T.C.MERKEZ BANKASI A.Ş. ,EFT MERKEZİ,27,,,,,,
0004,90008,İLLER BANKASI ,EMKT MERKEZİ,28,,,,,,
0004,99999,İLLER BANKASI ,EFT MERKEZI,29,,,,,,
0010,00001,TC ZIRAAT BANKASI ,MERKEZ SB.,30,,,,,,
0010,00002,TC ZIRAAT BANKASI ,OLTU-ERZURUM,31,,,,,,
0010,00003,TC ZIRAAT BANKASI ,AYAS-ANKARA,32,,,,,,
0010,00004,TC ZIRAAT BANKASI ,BALA-ANKARA,33,,,,,,
0010,00005,TC ZIRAAT BANKASI ,BEYPAZARI-ANKARA,34,,,,,,
0010,00006,TC ZIRAAT BANKASI ,CUBUK-ANKARA,35,,,,,,
0010,00007,TC ZIRAAT BANKASI ,HAYMANA-ANKARA,36,,,,,,
0010,00008,TC ZIRAAT BANKASI ,KALECIK-ANKARA,37,,,,,,
0010,00009,TC ZIRAAT BANKASI ,KESKIN-KIRIKKALE,38,,,,,,
0010,00010,TC ZIRAAT BANKASI ,NALLIHAN-ANKARA,39,,,,,,
