Z_ID,F_ID,kgid,insUN,insDT,insApp,updUN,updDT,updApp
eb643a6a-2cfd-43a1-beee-000b43ca6fa9,d8e3ddbf-04a5-4bcb-8f85-f35fb0f20286,786,Samet,2024-06-06 13:47:53.897000,KGShop,,,
a4c57515-0b09-4e33-8183-002a2c5406aa,769881f0-5d4d-4861-aa42-5d15ef8782dc,1,,,,,,
8516c5fa-3b60-4866-9397-0091c0339466,1bafd461-b027-4f35-a6c5-240ff825a119,2,,,,,,
e7dd4bb7-1e57-462f-b9ec-00b4b37694f3,fb14bc6c-7296-4406-99f0-00d1328064b0,3,,,,,,
b5cd60e7-af1b-4eec-81b5-010ede4b6661,54b07fc4-5d45-4b2e-9401-6c5f9e88c66d,4,,,,,,
982613d7-63b3-425f-9844-01f669249e4e,99a68884-dd3f-4647-9d46-f81900cd941d,5,,,,,,
f30c5897-87bf-40c3-81a2-0259d2a87c58,b73236c1-bc53-409d-92bf-917145de19a3,6,,,,,,
ad638a58-ba2c-414f-89b3-03818a6e0c2f,63ce3980-f43b-4758-8628-76fce2db39e7,7,,,,,,
6885c91b-402e-41d2-96f6-039e51ea766c,520c3cb1-8848-404a-a2f6-11b0e9e4dcf9,8,,,,,,
1ddb25cd-3fd4-4e33-92a7-03b4769f4785,8203da73-8852-47c1-93ce-ec295bdbd92c,9,,,,,,
86ca403e-82b9-46e6-aa85-046a0ca090a0,0e48be5d-ce41-4338-8256-93d9ff9a76e9,10,,,,,,
e078f57a-9eca-463b-b573-0498ca211018,75a2d0fd-4340-436e-8e85-b5349a792e85,11,,,,,,
a5943d9d-1bd7-47ca-9253-058556ec7d33,8a974571-062b-4b60-b3b1-93b9fa5a25c3,12,,,,,,
0e079a27-c57d-4192-b8a6-0588831e90a3,8a9da277-958b-4518-b6bb-576d3f88518c,13,,,,,,
e2ffa853-d9db-4c29-9c66-062515742f95,ceaad7fd-6521-445b-a86b-4297df465f1c,14,,,,,,
a1bd5945-accf-44ba-b609-07104251c234,e81db758-d005-4b77-934d-3d4b311030ab,15,,,,,,
dc377d53-214d-4915-b05e-071d2935a5ae,676604ca-3608-4646-b264-ce47935c492b,16,,,,,,
d2313f1a-9322-433d-8a76-079da470de27,a735f7e6-3384-4682-86ce-77b0880a5948,17,,,,,,
0296caab-293d-4600-b671-07d0bd4e500c,21c49c8b-14a1-4e74-b670-1078885f46b5,18,,,,,,
a8fd20a4-3b82-4b55-a2c2-07f754f21511,fc0c725a-c698-417c-bfa1-ab2d139a1922,19,,,,,,
416f6910-0947-4255-9a1e-08559411f18a,b39f1384-9010-4d89-b368-6f54bde139f6,20,,,,,,
c98d990d-79ab-4a86-8a21-085cf58f3e8b,57bdaa66-f3be-44ac-b1e5-5af7ba4f9edc,21,,,,,,
b1fbb4ce-5884-41da-bd10-08826d84657d,b2a49a0e-abe8-4792-9b25-90ae0062e387,22,,,,,,
0e4f8284-3a43-4d47-846c-096ad705bbff,30f0a331-3903-49f9-91ed-5b81ebea58a9,23,,,,,,
30715ad1-766e-4098-a7d5-098a42db0fa1,585e03ab-114e-42ca-b6c8-d2587dc5ecec,24,,,,,,
f277ad72-b388-4fff-9b49-0a38b2f675e3,e6ad8df4-a9fa-4fe9-bdba-0a0f74e8749b,25,,,,,,
6f67c51e-d172-44d5-a1ca-0ab2c5bb31c0,e8971295-a839-4e2c-8a2c-532215af0649,26,,,,,,
588db778-5aaf-4633-a095-0ae1a5edd331,ceaad7fd-6521-445b-a86b-4297df465f1c,27,,,,,,
30f610b5-4ba5-43f6-ba04-0b75641b8a37,efcb5469-6c43-44ca-a8f3-10529f943a38,28,,,,,,
ae8497a6-8c65-416c-ab87-0c194dfe106d,fdc8145e-0656-4846-b310-e2024a9e1923,29,,,,,,
dca50799-12de-4eee-8746-0c20e8cb7d21,394a1858-4d21-4f5e-844d-e31d89872f59,30,,,,,,
d3b06a4a-327a-47a2-926f-0c4060fb4979,1b5dd6fa-d031-4eb9-a320-37586bd3ebc9,31,,,,,,
5ff1049b-fb35-467a-999a-0c7658d991dc,ceaad7fd-6521-445b-a86b-4297df465f1c,32,,,,,,
ed280ba6-0a89-460c-a096-0c8198113d84,64edd999-6dd9-4c06-8718-3351466eaecb,33,,,,,,
07bc6361-0c87-4c5c-8e5f-0ca7638a49ce,773e5856-e52f-4c41-b6ee-eeb03e915ebe,34,,,,,,
3186a54e-5d3b-45b7-b066-0cd79f1b3588,b449cd98-fd6a-4eee-91ae-0ed5f55086de,35,,,,,,
95358d9f-e356-4ccd-be4d-0cd8e7da040d,a31ef7b4-d5c0-46bb-a9d4-8dbb38e389c9,36,,,,,,
28cd31f6-f3dc-4754-9799-0d0ce6b6c5c9,401079c5-e792-463b-82f4-0db8000412d3,37,,,,,,
e69dfc23-9765-45e7-a4d5-0d8ae1f8f32b,c4b24a40-8fab-4d64-bad0-2b319236d2e4,38,,,,,,
1669fc6d-b4ae-4c02-ada3-0dbb1d44464b,c9c7d852-aa52-47bf-95d2-3e1740aa3f21,39,,,,,,
8425a094-a9f0-4b4b-a4f6-0e8385de0ec0,a735f7e6-3384-4682-86ce-77b0880a5948,40,,,,,,
f8c8dd51-f54d-4a6d-950a-0f85d75da408,57bdaa66-f3be-44ac-b1e5-5af7ba4f9edc,41,,,,,,
e5c33b10-7c11-44aa-bf82-0f87c6b7a59a,4dc303f6-2c9e-4ba4-b751-c8e1908b67bb,42,,,,,,
ed1a5092-d6e4-4c7e-868f-0f9e41aebed2,e81db758-d005-4b77-934d-3d4b311030ab,43,,,,,,
017a2b16-c778-4f64-9a1a-0fd6b39a1e0b,0fcc4cba-5d23-4b97-8d2c-22b571ad988c,44,,,,,,
917ce3c2-3a85-4ebe-bfbe-0ffdb0b5658e,9e50cb61-bec3-4acf-b29f-ce9e660de002,45,,,,,,
73aad6d6-5a3f-4eec-bddc-0fff99949af4,5b37e9f4-283a-4fd2-9f83-4ef0264ab55e,46,,,,,,
3f86cbff-2806-493b-a90c-115eb4169662,7327051c-81fa-4b29-a6b2-278a223c92e6,47,,,,,,
51afda3f-9725-47fa-96c3-11692e7e528c,37f28190-69a9-4906-9034-389e379714f5,48,,,,,,
e8cfcc26-3f20-44b5-8b83-11caf53f948b,572e8b14-1fa0-4077-8162-90bf8f96cd1c,49,,,,,,
2d70ffc2-69a4-4eb8-8663-11f47556b968,3bb8b1c1-02b6-421c-8e4d-94ff78b12279,50,,,,,,
fe806406-d653-47c3-9e5c-12a72501fc37,6f1511fd-86bf-4008-adc3-706f3985cece,51,,,,,,
85797908-52e1-4ab9-aebe-1350848cb3f5,f270a188-5dc1-40a1-b3cf-23fa29b5a5fd,52,,,,,,
beb84b9b-916c-4228-a920-13599b1b682c,99a68884-dd3f-4647-9d46-f81900cd941d,53,,,,,,
