SKOD,RKOD,BedKOD,Location,Miktar,kgid
RCNWLG072,1,31,LN001,10.0000000000,551
RCNWLG072,1,32,LN001,10.0000000000,565
RCNWLG072,1,33,LN001,10.0000000000,580
RCNWLG072,1,34,LN001,10.0000000000,594
RCNWLG072,1,35,LN001,10.0000000000,606
RCNWLG072,1,36,LN001,10.0000000000,618
RCNWLG072,1,37,LN001,10.0000000000,632
RCNWLG072,1,38,LN001,10.0000000000,642
RCNWLG072,1,39,LN001,10.0000000000,650
RCNWLG072,1,40,LN001,10.0000000000,661
RCNWLG072,1,41,LN001,10.0000000000,667
RCNWLG072,4,31,LN001,10.0000000000,555
RCNWLG072,4,32,LN001,10.0000000000,570
RCNWLG072,4,33,LN001,10.0000000000,584
RCNWLG072,4,34,LN001,10.0000000000,597
RCNWLG072,5,31,LN001,10.0000000000,554
RCNWLG072,5,32,LN001,10.0000000000,568
RCNWLG072,5,36,LN001,10.0000000000,622
RCNWLG072,5,39,LN001,10.0000000000,654
RCNWLG072,5,40,LN001,10.0000000000,664
RCNWLG072,5,41,LN001,10.0000000000,670
RCNWLG072,11,31,LN001,10.0000000000,552
RCNWLG072,11,32,LN001,10.0000000000,566
RCNWLG072,11,33,LN001,10.0000000000,581
RCNWLG072,11,34,LN001,10.0000000000,595
RCNWLG072,11,35,LN001,10.0000000000,607
RCNWLG072,11,36,LN001,10.0000000000,619
RCNWLG072,11,37,LN001,10.0000000000,633
RCNWLG072,11,38,LN001,10.0000000000,643
RCNWLG072,11,39,LN001,10.0000000000,651
RCNWLG072,11,40,LN001,10.0000000000,662
RCNWLG072,11,41,LN001,10.0000000000,668
RCNWLG072,12,32,LN001,10.0000000000,569
RCNWLG072,12,33,LN001,10.0000000000,583
RCNWLG072,26,31,LN001,10.0000000000,550
RCNWLG072,26,34,LN001,10.0000000000,593
RCNWLG072,26,35,LN001,10.0000000000,605
RCNWLG072,26,36,LN001,10.0000000000,617
RCNWLG072,26,37,LN001,10.0000000000,631
RCNWLG072,26,38,LN001,10.0000000000,641
RCNWLG072,26,39,LN001,10.0000000000,649
RCNWLG072,26,40,LN001,10.0000000000,660
RCNWLG072,26,41,LN001,10.0000000000,666
RCNWLG072,27,32,LN001,10.0000000000,571
RCNWLG072,27,34,LN001,10.0000000000,598
RCNWLG072,58,31,LN001,10.0000000000,545
RCNWLG072,58,32,LN001,10.0000000000,559
RCNWLG072,58,33,LN001,10.0000000000,575
