UserName,CatalogName,AccessKasa,ReadLoc,WriteLoc,DBName
aleyna.memek,Antrepo20,B001,,,Antrepo20
aleyna.memek,Kampanya,B001,,,Antrepo20
aynur.karakoc,Antrepo20,A001,,,Antrepo20
aynur.karakoc,Antrepo20,A002,,,Antrepo20
aynur.karakoc,Antrepo20,A003,,,Antrepo20
aynur.karakoc,Antrepo20,B001,,,Antrepo20
aynur.karakoc,Antrepo20,B002,,,Antrepo20
aynur.karakoc,Antrepo20,B003,,,Antrepo20
aynur.karakoc,Antrepo20,C002,,,Antrepo20
aynur.karakoc,Antrepo20,C003,,,Antrepo20
aynur.karakoc,Antrepo20,F001,,,Antrepo20
aynur.karakoc,Antrepo20,F002,,,Antrepo20
aynur.karakoc,Antrepo20,S001,,,Antrepo20
aynur.karakoc,Antrepo20,S002,,,Antrepo20
aynur.karakoc,Antrepo20,S003,,,Antrepo20
aynur.karakoc,Antrepo20,W001,,,Antrepo20
aynur.karakoc,Cabani20,R001,,,Antrepo20
aynur.karakoc,Cabani20,R002,,,Antrepo20
aynur.karakoc,Cabani20,R003,,,Antrepo20
aynur.karakoc,Kampanya,A001,,,Antrepo20
aynur.karakoc,Kampanya,A002,,,Antrepo20
aynur.karakoc,Kampanya,A003,,,Antrepo20
aynur.karakoc,Kampanya,B001,,,Antrepo20
aynur.karakoc,Kampanya,B002,,,Antrepo20
aynur.karakoc,Kampanya,B003,,,Antrepo20
aynur.karakoc,Kampanya,C002,,,Antrepo20
aynur.karakoc,Kampanya,C003,,,Antrepo20
aynur.karakoc,Kampanya,F001,,,Antrepo20
aynur.karakoc,Kampanya,F002,,,Antrepo20
aynur.karakoc,Kampanya,S001,,,Antrepo20
aynur.karakoc,Kampanya,S002,,,Antrepo20
aynur.karakoc,Kampanya,S003,,,Antrepo20
aynur.karakoc,Kampanya,W001,,,Antrepo20
baharumar,Antrepo20,B002,,,Antrepo20
baharumar,Kampanya,B002,,,Antrepo20
bankaentegre,Antrepo20,A001,,,Antrepo20
bankaentegre,Antrepo20,A002,,,Antrepo20
bankaentegre,Antrepo20,A003,,,Antrepo20
bankaentegre,Antrepo20,B001,,,Antrepo20
bankaentegre,Antrepo20,B002,,,Antrepo20
bankaentegre,Antrepo20,B003,,,Antrepo20
bankaentegre,Antrepo20,B004,,,Antrepo20
bankaentegre,Antrepo20,C002,,,Antrepo20
bankaentegre,Antrepo20,C003,,,Antrepo20
bankaentegre,Antrepo20,F001,,,Antrepo20
bankaentegre,Antrepo20,F002,,,Antrepo20
bankaentegre,Antrepo20,S001,,,Antrepo20
bankaentegre,Antrepo20,S002,,,Antrepo20
bankaentegre,Antrepo20,S003,,,Antrepo20
bankaentegre,Antrepo20,W001,,,Antrepo20
bankaentegre,Kampanya,A001,,,Antrepo20
bankaentegre,Kampanya,A002,,,Antrepo20
bankaentegre,Kampanya,A003,,,Antrepo20
bankaentegre,Kampanya,B001,,,Antrepo20
bankaentegre,Kampanya,B002,,,Antrepo20
bankaentegre,Kampanya,B003,,,Antrepo20
bankaentegre,Kampanya,B004,,,Antrepo20
bankaentegre,Kampanya,C002,,,Antrepo20
bankaentegre,Kampanya,C003,,,Antrepo20
bankaentegre,Kampanya,F001,,,Antrepo20
bankaentegre,Kampanya,F002,,,Antrepo20
bankaentegre,Kampanya,S001,,,Antrepo20
bankaentegre,Kampanya,S002,,,Antrepo20
bankaentegre,Kampanya,S003,,,Antrepo20
bankaentegre,Kampanya,W001,,,Antrepo20
bankaentegre,Uretim20,K001,,,Antrepo20
bankaentegre,Uretim20,K002,,,Antrepo20
bankaentegre,Uretim20,K003,,,Antrepo20
bankaentegre,Uretim20,L001,,,Antrepo20
bankaentegre,Uretim20,L002,,,Antrepo20
bankaentegre,Uretim20,L003,,,Antrepo20
bankaentegre,Uretim20,R001,,,Antrepo20
bankaentegre,Uretim20,R002,,,Antrepo20
bankaentegre,Uretim20,R003,,,Antrepo20
Bayramkırelli,Antrepo20,A001,,,Antrepo20
Bayramkırelli,Antrepo20,A002,,,Antrepo20
Bayramkırelli,Antrepo20,A003,,,Antrepo20
Bayramkırelli,Antrepo20,B001,,,Antrepo20
Bayramkırelli,Antrepo20,B002,,,Antrepo20
Bayramkırelli,Antrepo20,B003,,,Antrepo20
Bayramkırelli,Antrepo20,C002,,,Antrepo20
Bayramkırelli,Antrepo20,C003,,,Antrepo20
Bayramkırelli,Antrepo20,F001,,,Antrepo20
Bayramkırelli,Antrepo20,F002,,,Antrepo20
Bayramkırelli,Antrepo20,S001,,,Antrepo20
Bayramkırelli,Antrepo20,S002,,,Antrepo20
Bayramkırelli,Antrepo20,S003,,,Antrepo20
Bayramkırelli,Antrepo20,W001,,,Antrepo20
Bayramkırelli,Kampanya,A001,,,Antrepo20
Bayramkırelli,Kampanya,A002,,,Antrepo20
Bayramkırelli,Kampanya,A003,,,Antrepo20
Bayramkırelli,Kampanya,B001,,,Antrepo20
Bayramkırelli,Kampanya,B002,,,Antrepo20
Bayramkırelli,Kampanya,B003,,,Antrepo20
Bayramkırelli,Kampanya,C002,,,Antrepo20
Bayramkırelli,Kampanya,C003,,,Antrepo20
Bayramkırelli,Kampanya,F001,,,Antrepo20
Bayramkırelli,Kampanya,F002,,,Antrepo20
Bayramkırelli,Kampanya,S001,,,Antrepo20
Bayramkırelli,Kampanya,S002,,,Antrepo20
Bayramkırelli,Kampanya,S003,,,Antrepo20
Bayramkırelli,Kampanya,W001,,,Antrepo20
Bayramkırelli,Uretim20,K001,,,Antrepo20
Bayramkırelli,Uretim20,K002,,,Antrepo20
Bayramkırelli,Uretim20,K003,,,Antrepo20
Bayramkırelli,Uretim20,L001,,,Antrepo20
Bayramkırelli,Uretim20,L002,,,Antrepo20
Bayramkırelli,Uretim20,L003,,,Antrepo20
Bayramkırelli,Uretim20,R001,,,Antrepo20
Bayramkırelli,Uretim20,R002,,,Antrepo20
Bayramkırelli,Uretim20,R003,,,Antrepo20
berke.kaban,Antrepo20,A001,,,Antrepo20
berke.kaban,Antrepo20,A002,,,Antrepo20
berke.kaban,Antrepo20,A003,,,Antrepo20
berke.kaban,Antrepo20,B001,,,Antrepo20
berke.kaban,Antrepo20,B002,,,Antrepo20
berke.kaban,Antrepo20,B003,,,Antrepo20
berke.kaban,Antrepo20,C002,,,Antrepo20
berke.kaban,Antrepo20,C003,,,Antrepo20
berke.kaban,Antrepo20,F001,,,Antrepo20
berke.kaban,Antrepo20,F002,,,Antrepo20
berke.kaban,Antrepo20,S001,,,Antrepo20
berke.kaban,Antrepo20,S002,,,Antrepo20
berke.kaban,Antrepo20,S003,,,Antrepo20
berke.kaban,Antrepo20,W001,,,Antrepo20
berke.kaban,Kampanya,A001,,,Antrepo20
berke.kaban,Kampanya,A002,,,Antrepo20
berke.kaban,Kampanya,A003,,,Antrepo20
berke.kaban,Kampanya,B001,,,Antrepo20
berke.kaban,Kampanya,B002,,,Antrepo20
berke.kaban,Kampanya,B003,,,Antrepo20
berke.kaban,Kampanya,C002,,,Antrepo20
berke.kaban,Kampanya,C003,,,Antrepo20
berke.kaban,Kampanya,F001,,,Antrepo20
berke.kaban,Kampanya,F002,,,Antrepo20
berke.kaban,Kampanya,S001,,,Antrepo20
berke.kaban,Kampanya,S002,,,Antrepo20
berke.kaban,Kampanya,S003,,,Antrepo20
berke.kaban,Kampanya,W001,,,Antrepo20
berke.kaban,Uretim20,K001,,,Antrepo20
berke.kaban,Uretim20,K002,,,Antrepo20
berke.kaban,Uretim20,K003,,,Antrepo20
berke.kaban,Uretim20,L001,,,Antrepo20
berke.kaban,Uretim20,L002,,,Antrepo20
berke.kaban,Uretim20,L003,,,Antrepo20
berke.kaban,Uretim20,R001,,,Antrepo20
berke.kaban,Uretim20,R002,,,Antrepo20
berke.kaban,Uretim20,R003,,,Antrepo20
busraelarslan,Antrepo20,A001,,,Antrepo20
busraelarslan,Antrepo20,A002,,,Antrepo20
busraelarslan,Antrepo20,A003,,,Antrepo20
busraelarslan,Antrepo20,B001,,,Antrepo20
busraelarslan,Antrepo20,B002,,,Antrepo20
busraelarslan,Antrepo20,B003,,,Antrepo20
busraelarslan,Antrepo20,B004,,,Antrepo20
busraelarslan,Antrepo20,C002,,,Antrepo20
busraelarslan,Antrepo20,C003,,,Antrepo20
busraelarslan,Antrepo20,F001,,,Antrepo20
busraelarslan,Antrepo20,F002,,,Antrepo20
busraelarslan,Antrepo20,S001,,,Antrepo20
busraelarslan,Antrepo20,S002,,,Antrepo20
busraelarslan,Antrepo20,S003,,,Antrepo20
busraelarslan,Antrepo20,W001,,,Antrepo20
busraelarslan,Kampanya,A001,,,Antrepo20
busraelarslan,Kampanya,A002,,,Antrepo20
busraelarslan,Kampanya,A003,,,Antrepo20
busraelarslan,Kampanya,B001,,,Antrepo20
busraelarslan,Kampanya,B002,,,Antrepo20
busraelarslan,Kampanya,B003,,,Antrepo20
busraelarslan,Kampanya,B004,,,Antrepo20
busraelarslan,Kampanya,C002,,,Antrepo20
busraelarslan,Kampanya,C003,,,Antrepo20
busraelarslan,Kampanya,F001,,,Antrepo20
busraelarslan,Kampanya,F002,,,Antrepo20
busraelarslan,Kampanya,S001,,,Antrepo20
busraelarslan,Kampanya,S002,,,Antrepo20
busraelarslan,Kampanya,S003,,,Antrepo20
busraelarslan,Kampanya,W001,,,Antrepo20
busraelarslan,Uretim20,K001,,,Antrepo20
busraelarslan,Uretim20,K002,,,Antrepo20
busraelarslan,Uretim20,K003,,,Antrepo20
busraelarslan,Uretim20,L001,,,Antrepo20
busraelarslan,Uretim20,L002,,,Antrepo20
busraelarslan,Uretim20,L003,,,Antrepo20
busraelarslan,Uretim20,R001,,,Antrepo20
busraelarslan,Uretim20,R002,,,Antrepo20
busraelarslan,Uretim20,R003,,,Antrepo20
cansu.demir,Antrepo20,A001,,,Antrepo20
cansu.demir,Antrepo20,A002,,,Antrepo20
cansu.demir,Antrepo20,A003,,,Antrepo20
cansu.demir,Antrepo20,B001,,,Antrepo20
cansu.demir,Antrepo20,B002,,,Antrepo20
cansu.demir,Antrepo20,B003,,,Antrepo20
cansu.demir,Antrepo20,C002,,,Antrepo20
