Uretici_KOD,Tanim,CariKod,DBName
,,,Antrepo20
001,,,Antrepo20
101,Cabani Shoes,,Antrepo20
102,,,Antrepo20
103,,,Antrepo20
104,Delessy Ayakkabı,,Antrepo20
105,Altis Ayakkabı,,Antrepo20
106,Anka Saracıye,,Antrepo20
107,Arto,320.02.002,Antrepo20
108,Asar Ayakkabı (Brant),,Antrepo20
109,Asorti-Marcha Ayakkabı,,Antrepo20
110,Baronum Ayakkabı,320.02.001,Antrepo20
111,Belini,,Antrepo20
112,Besa,,Antrepo20
113,Bgj Çanta,,Antrepo20
114,Biberoğlu Ayakkabı,,Antrepo20
115,Birkenstock,,Antrepo20
116,Bolero Ayakkabı,,Antrepo20
117,Bruma Ayakkabı,320.02.009,Antrepo20
118,Bülbül Ayakkabı,,Antrepo20
119,Bülent Aksin,320.03.194,Antrepo20
121,Cabanirog,,Antrepo20
122,Canilh Ayakkabı,,Antrepo20
123,Çantaş Saraciye,,Antrepo20
124,Capriolo Ayakkabı-(Aek),,Antrepo20
125,Carisma,,Antrepo20
126,Carlo Vento,320.02.003,Antrepo20
127,Carlo Verde,,Antrepo20
128,Çavusoğlu Çanta,,Antrepo20
129,Cebeci Ayakkabı,,Antrepo20
130,Clavo Ayakkabı,,Antrepo20
131,Collina Shoes,320.02.026,Antrepo20
132,Crocodile,320.02.025,Antrepo20
133,Ctm Ayakkabı (Papino),320.02.014,Antrepo20
134,D&E Ayakkabı,,Antrepo20
135,Danacı Ayakkabı,,Antrepo20
136,Deery Ayakkabı,,Antrepo20
137,Delessi Ayak,320.02.038,Antrepo20
138,Demet Ayakkabı,320.02.047,Antrepo20
139,Dempa Ayakkabı,,Antrepo20
140,Derimen  Ayakkabı,320.02.056,Antrepo20
141,Derin Mavi,,Antrepo20
142,Divum Ayakkabı-Nalbant,,Antrepo20
143,Dorf Ayakkabı,320.02.024,Antrepo20
144,Edo Ayakkabı (John Rıhardo),,Antrepo20
145,Effe Tre Shoes,,Antrepo20
146,Elile Ayakkabı,,Antrepo20
147,Elif Çanta,,Antrepo20
148,Ellanor Ayakkabı,,Antrepo20
149,Emin Ayakkabı ( Trust Shoes),,Antrepo20
150,Engindere Ayakkabı,,Antrepo20
151,Erdoğan Deri - Pegia,,Antrepo20
152,Erler,320.02.028,Antrepo20
153,Erzan Shoes-(Mendl Shoes),320.02.043,Antrepo20
154,Esilya,,Antrepo20
155,Esse (Önder Ayakkabı),320.02.069,Antrepo20
156,Faraciler,,Antrepo20
