FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
83,80,euromart,IADE FFF2024000000009 ,TL,,5168.1000000000,,,,,,,,,,,,,iade fatura,,,,,,,,,80,,,,,,
87,85,K 0001,KURTULUS HOCA NISAN MAYIS HAZIRAN 3 AYLIK VERILDI,TL,,60000.0000000000,,,,,,,,,,,,,,,,,,,,,,85,,,,,,
88,86,K 0002,MUAZ 01--07 AYLARI TOPLAM ,TL,,235000.0000000000,,,,,,,,,,,,,,,,,,,,,,86,,,,,,
89,87,K 0002,KURTUKUS HOCA OCAK SUBAT,TL,,40000.0000000000,,,,,,,,,,,,,,,,,,,,,,87,,,,,,
89,88,K 0002,HAKKI ABI PATENT,TL,,12000.0000000000,,,,,,,,,,,,,,,,,,,,,,88,,,,,,
89,89,K 0002,TRAFO BAKIM ,TL,,8500.0000000000,,,,,,,,,,,,,,,,,,,,,,89,,,,,,
89,90,K 0002,LİNDON A ATMIS ,TL,,10000.0000000000,,,,,,,,,,,,,,,,,,,,,,90,,,,,,
89,91,K 0002,KURBANLAR ,TL,,30000.0000000000,,,,,,,,,,,,,,,,,,,,,,91,,,,,,
88,92,K 0002,MESSİ ,TL,,100000.0000000000,,,,,,,,,,,,,,,,,,,,,,92,,,,,,
91,94,AAZB,LN001,TL,,1200000.0000000000,,,,,,,,,,,,,,,,,,,,,,94,KorgunDestek,2024-10-16 03:35:53.870000,Devir,,,
92,95,DSM,LN001,TL,,10393139.0400000000,,,,,,,,,,,,,,,,,,,,,,95,KorgunDestek,2024-10-16 03:35:53.910000,Devir,,,
92,96,euromart,LN001,TL,,103997.9300000000,,,,,,,,,,,,,,,,,,,,,,96,KorgunDestek,2024-10-16 03:35:53.917000,Devir,,,
91,97,GLOBAL,LN001,TL,,8162706.6600000000,,,,,,,,,,,,,,,,,,,,,,97,KorgunDestek,2024-10-16 03:35:53.923000,Devir,,,
92,98,K 0001,LN001,TL,,131938.8000000000,,,,,,,,,,,,,,,,,,,,,,98,KorgunDestek,2024-10-16 03:35:53.927000,Devir,,,
92,99,K 0002,LN001,TL,,890000.0000000000,,,,,,,,,,,,,,,,,,,,,,99,KorgunDestek,2024-10-16 03:35:53.930000,Devir,,,
92,100,K 0003 ,LN001,TL,,14415359.8100000000,,,,,,,,,,,,,,,,,,,,,,100,KorgunDestek,2024-10-16 03:35:53.933000,Devir,,,
92,101,K 0004,LN001,TL,,51276951.1300000000,,,,,,,,,,,,,,,,,,,,,,101,KorgunDestek,2024-10-16 03:35:53.940000,Devir,,,
92,102,K 0005 ,LN001,TL,,646385.0500000000,,,,,,,,,,,,,,,,,,,,,,102,KorgunDestek,2024-10-16 03:35:53.940000,Devir,,,
92,103,K 0006,LN001,TL,,26357000.0000000000,,,,,,,,,,,,,,,,,,,,,,103,KorgunDestek,2024-10-16 03:35:53.943000,Devir,,,
91,104,K 0007,LN001,TL,,89278971.3800000000,,,,,,,,,,,,,,,,,,,,,,104,KorgunDestek,2024-10-16 03:35:53.947000,Devir,,,
91,105,K 0008,LN001,TL,,317379.6200000000,,,,,,,,,,,,,,,,,,,,,,105,KorgunDestek,2024-10-16 03:35:53.950000,Devir,,,
91,106,K 0009,LN001,TL,,298412.6300000000,,,,,,,,,,,,,,,,,,,,,,106,KorgunDestek,2024-10-16 03:35:53.950000,Devir,,,
92,107,K 0010,LN001,TL,,8520272.8000000000,,,,,,,,,,,,,,,,,,,,,,107,KorgunDestek,2024-10-16 03:35:53.953000,Devir,,,
92,108,K 0011,LN001,TL,,252000.0000000000,,,,,,,,,,,,,,,,,,,,,,108,KorgunDestek,2024-10-16 03:35:53.957000,Devir,,,
91,109,K 0012,LN001,TL,,296673.9600000000,,,,,,,,,,,,,,,,,,,,,,109,KorgunDestek,2024-10-16 03:35:53.960000,Devir,,,
91,110,K 0013,LN001,TL,,126882.7900000000,,,,,,,,,,,,,,,,,,,,,,110,KorgunDestek,2024-10-16 03:35:53.960000,Devir,,,
91,111,K 0014,LN001,TL,,69280.4200000000,,,,,,,,,,,,,,,,,,,,,,111,KorgunDestek,2024-10-16 03:35:53.963000,Devir,,,
92,112,K 0015,LN001,TL,,201404.1500000000,,,,,,,,,,,,,,,,,,,,,,112,KorgunDestek,2024-10-16 03:35:53.967000,Devir,,,
91,113,K 0016,LN001,TL,,2103606.7400000000,,,,,,,,,,,,,,,,,,,,,,113,KorgunDestek,2024-10-16 03:35:53.967000,Devir,,,
92,114,K 0017,LN001,TL,,150000.0000000000,,,,,,,,,,,,,,,,,,,,,,114,KorgunDestek,2024-10-16 03:35:53.970000,Devir,,,
91,115,K 0018,LN001,TL,,19312.0000000000,,,,,,,,,,,,,,,,,,,,,,115,KorgunDestek,2024-10-16 03:35:53.973000,Devir,,,
92,116,knawat,LN001,TL,,307.9900000000,,,,,,,,,,,,,,,,,,,,,,116,KorgunDestek,2024-10-16 03:35:53.977000,Devir,,,
92,117,Nakit Cikis,LN001,TL,,12349.3900000000,,,,,,,,,,,,,,,,,,,,,,117,KorgunDestek,2024-10-16 03:35:53.980000,Devir,,,
92,118,P 0002,LN001,TL,,177506.8400000000,,,,,,,,,,,,,,,,,,,,,,118,KorgunDestek,2024-10-16 03:35:53.983000,Devir,,,
92,119,P 0003,LN001,TL,,153942.4000000000,,,,,,,,,,,,,,,,,,,,,,119,KorgunDestek,2024-10-16 03:35:53.987000,Devir,,,
92,120,P 0007,LN001,TL,,170221.8800000000,,,,,,,,,,,,,,,,,,,,,,120,KorgunDestek,2024-10-16 03:35:53.987000,Devir,,,
92,121,P 0008,LN001,TL,,244287.8400000000,,,,,,,,,,,,,,,,,,,,,,121,KorgunDestek,2024-10-16 03:35:53.990000,Devir,,,
92,122,P 0009,LN001,TL,,86500.0000000000,,,,,,,,,,,,,,,,,,,,,,122,KorgunDestek,2024-10-16 03:35:53.990000,Devir,,,
