FisNo,FisTar,Location,CM,CMKod,BelgeNo,Durum,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,Onay1,OnayTar1,insUN,insDT,updUN,updDT
6,2013-02-02 11:58:56.287000,KM01,M,,,,,,,,,,,ZBURNU,2013-02-02 11:58:56.293000,ZBURNU,2013-02-02 11:58:56.303000
111,2013-03-12 16:11:28.140000,KM01,M,,,,,,,,,,,ZBURNU,2013-03-12 16:11:28.140000,ZBURNU,2013-03-12 16:11:28.140000
116,2013-03-13 15:59:01.303000,KM01,M,,,,,,,,,,,ZBURNU,2013-03-13 15:59:01.303000,ZBURNU,2013-03-13 15:59:01.303000
158,2013-03-29 17:26:50.367000,KM01,M,,,,,,,,,,,ZBURNU,2013-03-29 17:26:50.367000,ZBURNU,2013-03-29 17:26:50.367000
210,2013-04-22 15:54:06.690000,KM01,M,,,,,,,,,,,ZBURNU,2013-04-22 15:54:06.690000,ZBURNU,2013-04-22 15:54:06.690000
332,2013-06-05 13:45:22.140000,KM01,M,,,,,,,,,,,ZBURNU,2013-06-05 13:45:22.140000,ZBURNU,2013-06-05 13:45:22.140000
339,2013-06-12 10:22:31.803000,KM01,M,,,,,,,,,,,ZBURNU,2013-06-12 10:22:31.803000,ZBURNU,2013-06-12 10:22:31.803000
436,2013-07-22 15:50:54.313000,KM01,M,,,,,,,,,,,ZBURNU,2013-07-22 15:50:54.313000,ZBURNU,2013-07-22 15:50:54.313000
437,2013-07-22 15:54:40.147000,KM01,M,,,,,,,,,,,ZBURNU,2013-07-22 15:54:40.147000,ZBURNU,2013-07-22 15:54:40.147000
439,2013-07-22 16:08:30.387000,KM01,M,,,,,,,,,,,ZBURNU,2013-07-22 16:08:30.387000,ZBURNU,2013-07-22 16:08:30.387000
466,2013-08-06 01:01:39.193000,KS003,M,,,,,,,,,,,ERBIL,2013-08-06 01:01:39.193000,ERBIL,2013-08-06 01:01:39.193000
467,2013-08-06 01:02:39.390000,KS003,M,,,,,,,,,,,ERBIL,2013-08-06 01:02:39.390000,ERBIL,2013-08-06 01:02:39.390000
513,2013-08-25 19:20:35.047000,KM01,M,,,,,,,,,,,ZBURNU,2013-08-25 19:20:35.047000,ZBURNU,2013-08-25 19:20:35.047000
532,2013-09-01 19:25:30.727000,KM01,M,,,,,,,,,,,ZBURNU,2013-09-01 19:25:30.727000,ZBURNU,2013-09-01 19:25:30.727000
534,2013-09-02 12:39:04,KS006,M,KS0060000000000,,,,,,,,,,laleli,2013-09-02 12:39:04,laleli,2013-09-02 12:39:04
569,2013-09-08 13:20:41.720000,KS006,M,,,,,,,,,,,laleli,2013-09-08 13:20:41.720000,laleli,2013-09-08 13:20:41.720000
570,2013-09-08 16:09:56.633000,KS006,M,,,,,,,,,,,laleli,2013-09-08 16:09:56.633000,laleli,2013-09-08 16:09:56.633000
573,2013-09-10 14:51:57.550000,KS002,M,KS0020000000762,,,,,,,,,,HALIL,2013-09-10 14:51:57.550000,HALIL,2013-09-10 14:51:57.550000
578,2013-09-11 13:47:11.323000,KS002,M,,,,,,,,,,,HALIL,2013-09-11 13:47:11.323000,HALIL,2013-09-11 13:47:11.323000
585,2013-09-12 20:52:48.433000,KS006,M,KS0060000000002,,,,,,,,,,laleli,2013-09-12 20:52:48.433000,laleli,2013-09-12 20:52:48.433000
598,2013-09-18 20:12:32.483000,KS002,M,KS0020000000768,,,,,,,,,,HALIL,2013-09-18 20:12:32.483000,HALIL,2013-09-18 20:12:32.483000
614,2013-09-19 21:36:04.063000,KS002,M,KS0020000000774,,,,,,,,,,HALIL,2013-09-19 21:36:04.063000,HALIL,2013-09-19 21:36:04.063000
620,2013-09-22 20:15:45.837000,KS002,M,KS0020000000778,,,,,,,,,,HALIL,2013-09-22 20:15:45.837000,HALIL,2013-09-22 20:15:45.837000
627,2013-09-23 13:40:21.210000,KS002,M,KS0020000000780,,,,,,,,,,HALIL,2013-09-23 13:40:21.210000,HALIL,2013-09-23 13:40:21.210000
632,2013-09-24 18:08:10.350000,KS002,M,,,,,,,,,,,HALIL,2013-09-24 18:08:10.350000,HALIL,2013-09-24 18:08:10.350000
638,2013-09-26 15:49:12.937000,KS002,M,,,,,,,,,,,HALIL,2013-09-26 15:49:12.937000,HALIL,2013-09-26 15:49:12.937000
639,2013-09-26 16:34:38.213000,KS002,M,KS0020000000786,,,,,,,,,,HALIL,2013-09-26 16:34:38.213000,HALIL,2013-09-26 16:34:38.213000
642,2013-09-27 18:24:37.790000,KS002,M,,,,,,,,,,,HALIL,2013-09-27 18:24:37.790000,HALIL,2013-09-27 18:24:37.790000
643,2013-09-27 18:28:54.943000,KS002,M,,,,,,,,,,,HALIL,2013-09-27 18:28:54.943000,HALIL,2013-09-27 18:28:54.943000
647,2013-09-28 14:11:25.187000,KS002,M,KS0020000000789,,,,,,,,,,HALIL,2013-09-28 14:11:25.187000,HALIL,2013-09-28 14:11:25.187000
650,2013-09-29 16:51:31.110000,KS002,M,KS0020000000791,,,,,,,,,,HALIL,2013-09-29 16:51:31.110000,HALIL,2013-09-29 16:51:31.110000
657,2013-09-30 23:50:53.113000,KS006,M,KS0060000000006,,,,,,,,,,laleli,2013-09-30 23:50:53.113000,laleli,2013-09-30 23:50:53.113000
659,2013-10-02 00:41:17.020000,KS002,M,,,,,,,,,,,HALIL,2013-10-02 00:41:17.020000,HALIL,2013-10-02 00:41:17.020000
674,2013-10-05 15:51:40.990000,KS002,M,KS0020000000802,,,,,,,,,,HALIL,2013-10-05 15:51:40.993000,HALIL,2013-10-05 15:51:40.993000
675,2013-10-05 19:30:52.830000,KM01,M,,,,,,,,,,,ZBURNU,2013-10-05 19:30:52.830000,ZBURNU,2013-10-05 19:30:52.830000
691,2013-10-10 18:46:36.023000,KS002,M,KS0020000000811,,,,,,,,,,HALIL,2013-10-10 18:46:36.023000,HALIL,2013-10-10 18:46:36.023000
705,2013-10-13 16:23:22.510000,KM01,M,,,,,,,,,,,ZBURNU,2013-10-13 16:23:22.510000,ZBURNU,2013-10-13 16:23:22.510000
707,2013-10-14 18:08:00.303000,KS002,M,KS0020000000816,,,,,,,,,,HALIL,2013-10-14 18:08:00.313000,HALIL,2013-10-14 18:08:00.323000
712,2013-10-17 22:34:12.100000,KS002,M,KS0020000000818,,,,,,,,,,HALIL,2013-10-17 22:34:12.100000,HALIL,2013-10-17 22:34:12.100000
713,2013-10-17 22:57:55.563000,KS002,M,,,,,,,,,,,HALIL,2013-10-17 22:57:55.563000,HALIL,2013-10-17 22:57:55.567000
718,2013-10-21 09:16:05.237000,KS002,M,KS0020000000821,,,,,,,,,,HALIL,2013-10-21 09:16:05.247000,HALIL,2013-10-21 09:16:05.253000
724,2013-10-22 12:42:11.483000,KS002,M,KS0020000000826,,,,,,,,,,HALIL,2013-10-22 12:42:11.483000,HALIL,2013-10-22 12:42:11.483000
725,2013-10-22 12:51:42.640000,KS002,M,KS0020000000825,,,,,,,,,,HALIL,2013-10-22 12:51:42.640000,HALIL,2013-10-22 12:51:42.640000
795,2013-11-16 14:40:02.147000,KS002,M,KS0020000000860,,,,,,,,,,BÜŞRA,2013-11-16 14:40:02.147000,BÜŞRA,2013-11-16 14:40:02.147000
799,2013-11-17 13:07:24.403000,KS002,M,KS0020000000863,,,,,,,,,,BÜŞRA,2013-11-17 13:07:24.403000,BÜŞRA,2013-11-17 13:07:24.403000
801,2013-11-17 14:32:12.493000,KS002,M,KS0020000000865,,,,,,,,,,BÜŞRA,2013-11-17 14:32:12.493000,BÜŞRA,2013-11-17 14:32:12.493000
805,2013-11-17 23:26:56.537000,KS006,M,KS0060000000013,,,,,,,,,,laleli,2013-11-17 23:26:56.537000,laleli,2013-11-17 23:26:56.537000
812,2013-11-19 13:31:02.697000,KS002,M,KS0020000000869,,,,,,,,,,BÜŞRA,2013-11-19 13:31:02.697000,BÜŞRA,2013-11-19 13:31:02.697000
826,2013-11-20 17:20:52.453000,KS006,M,,,,,,,,,,,laleli,2013-11-20 17:20:52.453000,laleli,2013-11-20 17:20:52.453000
866,2013-11-28 17:43:54.973000,KS006,M,,,,,,,,,,,laleli,2013-11-28 17:43:54.973000,laleli,2013-11-28 17:43:54.973000
878,2013-12-03 14:30:50.120000,KM03,M,,,,,,,,,,,SEMRA,2013-12-03 14:30:50.120000,SEMRA,2013-12-03 14:30:50.120000
881,2013-12-04 18:24:33.053000,KS002,M,KS0020000000831,,,,,,,,,,BERRIN,2013-12-04 18:24:33.053000,BERRIN,2013-12-04 18:24:33.053000
903,2013-12-08 19:22:22.190000,KS006,M,,,,,,,,,,,laleli,2013-12-08 19:22:22.190000,laleli,2013-12-08 19:22:22.190000
916,2013-12-12 17:47:20.627000,KS002,M,KS0020000000908,,,,,,,,,,BÜŞRA,2013-12-12 17:47:20.627000,BÜŞRA,2013-12-12 17:47:20.627000
925,2013-12-15 14:34:29.337000,KS002,M,KS0020000000911,,,,,,,,,,HALIL,2013-12-15 14:34:29.337000,HALIL,2013-12-15 14:34:29.337000
940,2013-12-19 17:10:30.567000,KS002,M,KS0020000000919,,,,,,,,,,BÜŞRA,2013-12-19 17:10:30.570000,BÜŞRA,2013-12-19 17:10:30.570000
948,2013-12-20 18:23:19.287000,KS002,M,KS0020000000923,,,,,,,,,,BÜŞRA,2013-12-20 18:23:19.287000,BÜŞRA,2013-12-20 18:23:19.287000
952,2013-12-21 23:12:59.930000,KS002,M,,,,,,,,,,,BÜŞRA,2013-12-21 23:12:59.930000,BÜŞRA,2013-12-21 23:12:59.930000
965,2013-12-27 15:14:36.440000,KS002,M,,,,,,,,,,,BÜŞRA,2013-12-27 15:14:36.440000,BÜŞRA,2013-12-27 15:14:36.440000
969,2013-12-28 13:32:55.173000,KS002,M,KS0020000000930,,,,,,,,,,BÜŞRA,2013-12-28 13:32:55.173000,BÜŞRA,2013-12-28 13:32:55.173000
974,2013-12-31 19:44:08.013000,KS006,M,KS0060000000016,,,,,,,,,,laleli,2013-12-31 19:44:08.013000,laleli,2013-12-31 19:44:08.013000
1013,2014-01-17 13:38:29.230000,KM01,M,,,,,,,,,,,ZBURNU,2014-01-17 13:38:29.230000,ZBURNU,2014-01-17 13:38:29.233000
1046,2014-01-27 11:52:46.023000,KS006,M,KS0060000000019,,,,,,,,,,laleli,2014-01-27 11:52:46.023000,laleli,2014-01-27 11:52:46.023000
1235,2014-03-23 16:28:05.183000,KM01,M,,,,,,,,,,,ZBURNU,2014-03-23 16:28:05.183000,ZBURNU,2014-03-23 16:28:05.183000
1332,2014-04-13 16:34:33.317000,KM01,M,,,,,,,,,,,ZBURNU,2014-04-13 16:34:33.317000,ZBURNU,2014-04-13 16:34:33.317000
1391,2014-05-03 15:22:45.387000,KM01,M,,,,,,,,,,,ZBURNU,2014-05-03 15:22:45.387000,ZBURNU,2014-05-03 15:22:45.387000
1396,2014-05-05 16:09:10.367000,KM01,M,,,,,,,,,,,ZBURNU,2014-05-05 16:09:10.367000,ZBURNU,2014-05-05 16:09:10.367000
1439,2014-05-13 15:49:18.533000,KM01,M,,,,,,,,,,,ZBURNU,2014-05-13 15:49:18.533000,ZBURNU,2014-05-13 15:49:18.533000
1586,2014-06-22 19:52:34.640000,KM01,M,,,,,,,,,,,ZBURNU,2014-06-22 19:52:34.640000,ZBURNU,2014-06-22 19:52:34.640000
1660,2014-07-23 15:59:01.220000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 15:59:01.220000,ZBURNU,2014-07-23 15:59:01.220000
1661,2014-07-23 16:00:45.247000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 16:00:45.247000,ZBURNU,2014-07-23 16:00:45.247000
1662,2014-07-23 16:02:07.447000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 16:02:07.447000,ZBURNU,2014-07-23 16:02:07.447000
1663,2014-07-23 16:09:20.597000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 16:09:20.597000,ZBURNU,2014-07-23 16:09:20.597000
1664,2014-07-23 16:20:50.873000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 16:20:50.873000,ZBURNU,2014-07-23 16:20:50.873000
1665,2014-07-23 16:23:46.983000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 16:23:46.983000,ZBURNU,2014-07-23 16:23:46.983000
1666,2014-07-23 16:24:23.497000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 16:24:23.497000,ZBURNU,2014-07-23 16:24:23.497000
1667,2014-07-23 16:31:39.513000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-23 16:31:39.513000,ZBURNU,2014-07-23 16:31:39.513000
1675,2014-07-29 13:49:14.687000,KM01,M,,,,,,,,,,,ZBURNU,2014-07-29 13:49:14.687000,ZBURNU,2014-07-29 13:49:14.687000
