Kod,Tanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
 EXTRALIGHT® Taban Günlük Erkek Bot 387E1208, EXTRALIGHT® Taban Günlük Erkek Bot 387E1208,1,,,,,,
 Tekstil Anatomik Tabanlık , Tekstil Anatomik Tabanlık ,2,,,,,,
116454-21Y433-1-Q78-SiyahTekstil_1,116454-21Y433-1-Q78-SiyahTekstil_1,3,,,,,,
Bağcıklı Fermuarlı Kaymaz Taban Erkek Günlük Bot 487M1213,Bağcıklı Fermuarlı Kaymaz Taban Erkek Günlük Bot 487M1213,4,,,,,,
Cabanı 136M1471 Bayan Ayakkabı,Cabanı Sneaker Kadın Ayakkabı 136M1471 ,5,,,,,,
Cabanı 1831 Portfoy Canta,Cabanı 1831 Portfoy Canta,6,,,,,,
Cabanı FLRS-FI055  Özel Tasarım Erkek  Sneaker Ayakkabı 212M1400 ,Cabanı FLRS-FI055  Özel Tasarım Erkek  Sneaker Ayakkabı 212M1400 ,7,,,,,,
Cabanı Kösele Taban Lazer Detaylı Bağcıklı Klasik  Erkek Ayakkabı 6992,Cabanı Kösele Taban Lazer Detaylı Bağcıklı Klasik  Erkek Ayakkabı 6992,8,,,,,,
Cabanı Prp-02 Perpetual Uniseks Lüks Terlik,Cabanı Prp-02 Perpetual Uniseks Lüks Terlik,9,,,,,,
Cabani  Donelt Gerçek Deri Loafer Erkek Ayakkabı 731,Cabani  Donelt Gerçek Deri Loafer Erkek Ayakkabı 731,10,,,,,,
Cabani  Gripper Jüpiter 157-S1 İş Ayakkabısı,Cabani  Gripper Jüpiter 157-S1 İş Ayakkabısı,11,,,,,,
Cabani  Özel Tasarım Triko Örme Fiyonk Detaylı Erkek Günlük Ayakkabı 714,Cabani  Özel Tasarım Triko Örme Fiyonk Detaylı Erkek Günlük Ayakkabı 714,12,,,,,,
Cabani  Tokalı Lazer Detaylı Erkek Ayakkabı 726,Cabani  Tokalı Lazer Detaylı Erkek Ayakkabı 726,13,,,,,,
Cabani 3 cm Gerçek Deri Özel Tasarım Kemer 019,Cabani 3 cm Gerçek Deri Özel Tasarım Kemer 019,14,,,,,,
Cabani 4 cm Hakiki Deri Erkek Kemer 040,Cabani 4 cm Hakiki Deri Erkek Kemer 040,15,,,,,,
Cabani 4 cm Özel Tasarım Croco Baskılı Erkek Kemer 430,Cabani 4 cm Özel Tasarım Croco Baskılı Erkek Kemer 430,16,,,,,,
Cabani 4 cm Özel Tasarım Erkek Kemer 430,Cabani 4 cm Özel Tasarım Erkek Kemer 430,17,,,,,,
Cabani Academy Gerçek Deri Yüksek Tabanlı Erkek Sneaker Ayakkabı 184M1166,Cabani Academy Gerçek Deri Yüksek Tabanlı Erkek Sneaker Ayakkabı 184M1166,18,,,,,,
Cabani Accademia Riaci Özel Tasarım Croco Baskılı Erkek Sneaker Ayakkabı 15100A118,Cabani Accademia Riaci Özel Tasarım Croco Baskılı Erkek Sneaker Ayakkabı 15100A118,19,,,,,,
