Bolum,tip,Tanim,ParaCinsi,Taksit,OzKod1,OzKod2,Pasif,DBName
AF,1,ALIS FIYATI TL 2. FIYAT,TL,0,,,,TANCA
AF,10,ALIS FIYATI TL (BOYNER),TL,0,BOYNER ICIN,,,TANCA
AF,11,ALIŞ FIYATI EURO 2,EU,0,,,,TANCA
AF,12,ALIS FIYATI TL 4. FIYAT,TL,0,,,,TANCA
AF,2,ALIS FIYATI DOLAR,US,0,,,,TANCA
AF,3,ALIS FIYATI EURO,EU,0,,,,TANCA
AF,4,ALIS FIYATI TL 1. FIYAT,TL,0,,,,TANCA
AF,5,ALIS FIYATI TL (AKTİF),TL,0,,,,TANCA
AF,6,AG.ORT.AL.FIY,TL,0,,,,TANCA
AF,7,ALIS FIYATI TL 3. FIYAT,TL,0,,,,TANCA
AF,8,ALIS FIFO FIYAT,TL,0,,,,TANCA
AF,9,SATIS BARKOD FIYAT (HD),TL,0,,,,TANCA
SF,1,BARKOD FIYATI TL,TL,0,,,,TANCA
SF,10,2. INDIRIMLI PSF,TL,0,,,,TANCA
SF,11,3. INDIRIMLI PSF,TL,0,,,,TANCA
SF,12,4. INDIRIMLI PSF,TL,0,,,,TANCA
SF,13,SATIS FIYATI EURO,EU,0,,,,TANCA
SF,14,TOPTAN SATIS USD,US,0,,,,TANCA
SF,15,CADIR PSF ,TL,0,,,,TANCA
SF,16,5. INDIRIMLI PSF,TL,0,,,,TANCA
SF,17,BOYNER SATIS FIYATI,TL,0,,,,TANCA
SF,18,6. INDIRIMLI FIYAT,TL,0,,,,TANCA
SF,19,% 50 FIYAT,TL,0,,,,TANCA
SF,2,TOPTAN SATIS TL,TL,0,,,,TANCA
SF,20,KAMPANYA FIYATI,TL,0,,,,TANCA
SF,21,BARKOD FIYATI EURO,EU,0,,,,TANCA
SF,22,VADELI SATIS FIYATI,TL,0,,,,TANCA
SF,23,VADELI SATIS EURO,EU,0,,,,TANCA
SF,24,7.INDIRIMLI FIYAT TIPI,TL,0,,,,TANCA
SF,25,LALELI PSF FIYATI TL,TL,0,,,,TANCA
SF,26,KAMPANYALI SATIŞ FİYATI,TL,0,,,,TANCA
SF,27,VALMENTİ PSF,TL,0,,,,TANCA
SF,28,BİRİM FİYAT,TL,0,,,,TANCA
SF,3,ILK PSF (AKTIF),TL,0,,,,TANCA
SF,4,"BAYİİ SATIŞ 1 TL (1,65)",TL,0,,,,TANCA
SF,5,"BAYİİ SATIŞ 2 TL (1,75)",TL,0,,,,TANCA
SF,6,BAYİİ SATIŞ 3 TL BOY,TL,0,,,,TANCA
SF,7,BAYİİ SATIŞ 4 TL PAY,TL,0,,,,TANCA
SF,8,BAYİİ FİYAT HESAPLAMA TL,TL,0,,,,TANCA
SF,9,1. INDIRIMLI PSF,TL,0,,,,TANCA
SI,001,Per.Sat.İskontosu,TL,0,,,,TANCA
SI,002,Per.Sat.İskontosu HV.,EU,0,,,,TANCA
