AreaCode,CityCode,AreaDescriptionTr,AreaDescriptionEN,LinkedArea,kgid,insUN,insDT,insApp,updUN,updDT,updApp
3308,48,BELDİBİ,BELDIBI,673,1,,,,,,
3309,48,BOZBURUN,BOZBURUN,673,2,,,,,,
3310,48,İÇMELER,ICMELER,673,3,,,,,,
3311,48,TURUNÇ,TURUNC,673,4,,,,,,
3312,48,BAFA,BAFA,674,5,,,,,,
3313,48,BEÇİN,BECIN,674,6,,,,,,
3314,48,ÖREN,OREN,674,7,,,,,,
3315,48,SELİMİYE,SELIMIYE,674,8,,,,,,
3316,48,AKYAKA,AKYAKA,677,9,,,,,,
3317,48,GÖKOVA,GOKOVA,677,10,,,,,,
3318,48,BENCİK,BENCIK,678,11,,,,,,
3319,48,BOZARMUT,BOZARMUT,678,12,,,,,,
3320,48,BOZÜYÜK,BOZUYUK,678,13,,,,,,
3321,48,TURGUT,TURGUT,678,14,,,,,,
3322,48,YEŞİLBAĞCILAR,YESILBAGCILAR,678,15,,,,,,
3323,49,KARAAĞAÇLI,KARAAGACLI,681,16,,,,,,
3324,49,KIRKÖY,KIRKOY,681,17,,,,,,
3325,49,KIZILAĞAÇ,KIZILAGAC,681,18,,,,,,
3326,49,KONUKBEKLER,KONUKBEKLER,681,19,,,,,,
3327,49,SERİNOVA,SERINOVA,681,20,,,,,,
3328,49,SUNGU,SUNGU,681,21,,,,,,
3329,49,YAĞCILAR,YAGCILAR,681,22,,,,,,
3330,49,YAYGIN,YAYGIN,681,23,,,,,,
3331,49,ELMAKAYA,ELMAKAYA,682,24,,,,,,
3332,49,ERENTEPE,ERENTEPE,682,25,,,,,,
3333,49,MOLLAKENT,MOLLAKENT,682,26,,,,,,
3334,49,RÜSTEMGEDİK,RUSTEMGEDIK,682,27,,,,,,
3335,49,SARIPINAR,SARIPINAR,682,28,,,,,,
3336,49,UZGÖRÜR,UZGORUR,682,29,,,,,,
3337,49,YEMİŞEN,YEMISEN,682,30,,,,,,
3338,49,YONCALI,YONCALI,682,31,,,,,,
3339,49,DÜZKIŞLA,DUZKISLA,683,32,,,,,,
3340,49,ALTINOVA,ALTINOVA,686,33,,,,,,
3341,49,KARAKALE,KARAKALE,686,34,,,,,,
3342,49,GÖLKORU,GOLKORU,684,35,,,,,,
3343,49,KONAKKURAN,KONAKKURAN,684,36,,,,,,
3344,50,ÇAT,CAT,687,37,,,,,,
3345,50,GÖRE,GORE,687,38,,,,,,
3346,50,GÖREME,GOREME,687,39,,,,,,
3347,50,KAVAK,KAVAK,687,40,,,,,,
3205,45,AKSELENDİ,AKSELENDI,627,41,,,,,,
3206,45,BALLICA,BALLICA,627,42,,,,,,
3207,45,BEYOBA,BEYOBA,627,43,,,,,,
3208,45,DAĞDERE,DAGDERE,627,44,,,,,,
3209,45,KAYALIOĞLU,KAYALIOGLU,627,45,,,,,,
3210,45,MECİDİYE,MECIDIYE,627,46,,,,,,
3211,45,MEDAR,MEDAR,627,47,,,,,,
3212,45,SÜLEYMANLI,SULEYMANLI,627,48,,,,,,
3213,45,ZEYTİNLİOVA,ZEYTINLIOVA,627,49,,,,,,
3214,45,KAVAKLIDERE,KAVAKLIDERE,628,50,,,,,,
3215,45,KEMALİYE,KEMALIYE,628,51,,,,,,
3216,45,KİLLİK,KILLIK,628,52,,,,,,
3217,45,PİYADELER,PIYADELER,628,53,,,,,,
3218,45,ULUDERBENT,ULUDERBENT,628,54,,,,,,
3219,45,YEŞİLYURT,YESILYURT,628,55,,,,,,
3220,45,BORLU,BORLU,629,56,,,,,,
3221,45,DURHASAN,DURHASAN,629,57,,,,,,
3222,45,İCİKLER,ICIKLER,629,58,,,,,,
3223,45,MAHMUTLAR,MAHMUTLAR,629,59,,,,,,
3224,45,ÇİÇEKLİ,CICEKLI,630,60,,,,,,
3225,45,GÜNEŞLİ,GUNESLI,630,61,,,,,,
3226,45,KAYACIK,KAYACIK,630,62,,,,,,
3227,45,BAKIR,BAKIR,631,63,,,,,,
3228,45,GELENBE,GELENBE,631,64,,,,,,
3229,45,İLYASLAR,ILYASLAR,631,65,,,,,,
3230,45,KARAKURT,KARAKURT,631,66,,,,,,
3231,45,GÖKÇEÖREN,GOKCEOREN,632,67,,,,,,
3232,45,SANDAL,SANDAL,632,68,,,,,,
3233,45,ADALA ( KARATAŞ ),ADALA ( KARATAS ),633,69,,,,,,
3234,45,DURASILLIGÖKEYÜP,DURASILLIGOKEYUP,633,70,,,,,,
3235,45,MERSİNLİ,MERSINLI,633,71,,,,,,
3236,45,POYRAZDAMLARI,POYRAZDAMLARI,633,72,,,,,,
3237,45,SARTMAHMUT,SARTMAHMUT,633,73,,,,,,
3238,45,TAYTAN,TAYTAN,633,74,,,,,,
3239,45,YILMAZ,YILMAZ,633,75,,,,,,
3240,45,ALİBEYLİ,ALIBEYLI,635,76,,,,,,
3241,45,BÜYÜKBELEN,BUYUKBELEN,635,77,,,,,,
3242,45,DİLEK,DILEK,635,78,,,,,,
3243,45,GÖKÇE,GOKCE,635,79,,,,,,
3244,45,GÜMÜLCELİ,GUMULCELI,635,80,,,,,,
3245,45,HACIRAHMANLI,HACIRAHMANLI,635,81,,,,,,
3246,45,HALİTPAŞA,HALITPASA,635,82,,,,,,
3247,45,İSHAKÇELEBİ,ISHAKCELEBI,635,83,,,,,,
3248,45,KOLDERE,KOLDERE,635,84,,,,,,
3249,45,KUMKUYUCAK,KUMKUYUCAK,635,85,,,,,,
3354,50,TATLARIN,TATLARIN,698,86,,,,,,
3355,50,AKARCA,AKARCA,688,87,,,,,,
3356,50,ÇALIŞ,CALIS,688,88,,,,,,
3357,50,GÖYNÜK,GOYNUK,688,89,,,,,,
3358,50,MAHMAT,MAHMAT,688,90,,,,,,
3359,50,SARILAR,SARILAR,688,91,,,,,,
3360,50,SUVERMEZ,SUVERMEZ,689,92,,,,,,
3361,50,YAZIHÜYÜK,YAZIHUYUK,689,93,,,,,,
3362,50,ABUUŞAĞI,ABUUSAGI,690,94,,,,,,
