EmirNo,SipNo,FisNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
4577,22502,8,6,OZKAN,2025-01-24 12:30:59.327000,KGShop,,,
4581,22519,2,2,gulsah,2024-03-13 21:52:12.577000,KGShop,,,
4582,22537,1,1,gulsah,2024-03-13 21:48:31.487000,KGShop,,,
4583,22542,3,3,OZKAN,2024-03-25 18:56:39.120000,KGShop,,,
4584,22543,4,4,k,2024-03-26 15:22:11.163000,KGShop,,,
4585,22576,5,5,UMUT,2024-06-12 11:59:30.350000,KGShop,,,
4591,22670,9,7,OZKAN,2025-03-17 16:01:42.560000,KGShop,,,
4593,22682,10,8,Samet,2025-04-07 18:05:36.687000,KGShop,,,
4596,22685,11,9,Samet,2025-04-07 19:33:59.803000,KGShop,,,
4597,22687,12,10,Samet,2025-04-07 19:54:34.773000,KGShop,,,
4598,22688,13,11,Samet,2025-04-07 19:57:27.183000,KGShop,,,
4600,22691,14,12,Samet,2025-04-07 20:29:31.977000,KGShop,,,
4600,22692,15,13,Samet,2025-04-07 20:29:35.553000,KGShop,,,
4601,22693,16,14,Samet,2025-04-08 01:37:51.213000,KGShop,,,
4601,22694,17,15,Samet,2025-04-08 01:38:14.627000,KGShop,,,
4602,22695,18,16,Samet,2025-04-08 16:55:20.100000,KGShop,,,
4603,22696,19,17,Samet,2025-04-08 17:37:35.187000,KGShop,,,
4603,22697,20,18,Samet,2025-04-08 17:37:49.683000,KGShop,,,
4603,22697,22,20,Samet,2025-04-10 12:20:47.503000,KGShop_SIPYAZDIR,,,
4604,22698,21,19,Samet,2025-04-10 11:52:03.613000,KGShop_SIPYAZDIR,,,
