inx,Sehir,DBName
1,İSTANBUL,TANCA
2,GAZİANTEP,TANCA
3,İZMİR,TANCA
4,Adana,TANCA
5,,TANCA
6,Çanakkale,TANCA
7,-,TANCA
8,Adıyaman,TANCA
9,Afyon,TANCA
10,Ağrı,TANCA
11,Aksaray,TANCA
12,Amasya,TANCA
13,Ankara,TANCA
14,Antalya,TANCA
15,Ardahan,TANCA
16,Artvin,TANCA
17,Aydın,TANCA
18,Balıkesir,TANCA
19,Bartın,TANCA
20,Bartyn,TANCA
21,Batman,TANCA
22,Bayburt,TANCA
23,Bilecik,TANCA
24,Bingöl,TANCA
25,Bitlis,TANCA
26,Bolu,TANCA
27,Burdur,TANCA
28,Bursa,TANCA
29,Çankırı,TANCA
30,Çorum,TANCA
31,Denizli,TANCA
32,Diyarbakır,TANCA
33,Düzce,TANCA
34,Edirne,TANCA
35,Elazığ,TANCA
36,Erzincan,TANCA
37,Erzurum,TANCA
38,Eski?ehir,TANCA
39,Eskişehir,TANCA
40,Giresun,TANCA
41,Gümüşhane,TANCA
42,Hakkari,TANCA
43,Hatay,TANCA
44,Iğdır,TANCA
45,Isparta,TANCA
46,İçel,TANCA
47,KahramanMaraş,TANCA
48,Karabük,TANCA
49,Karaman,TANCA
50,Kars,TANCA
51,Kastamonu,TANCA
52,Kayseri,TANCA
53,Kırıkkale,TANCA
54,Kırklareli,TANCA
55,Kırşehir,TANCA
56,Kilis,TANCA
57,KOCAELI,TANCA
58,Kocaeli,TANCA
59,Konya,TANCA
60,Kütahya,TANCA
61,Malatya,TANCA
62,Manisa,TANCA
63,Mardin,TANCA
64,Muğla,TANCA
65,Muş,TANCA
66,Nevşehir,TANCA
67,Niğde,TANCA
68,Ordu,TANCA
69,Osmaniye,TANCA
70,Rize,TANCA
71,Sakarya,TANCA
72,Samsun,TANCA
73,Siirt,TANCA
74,Sinop,TANCA
75,Sivas,TANCA
76,Şanlıurfa,TANCA
77,Şırnak,TANCA
78,Tekirdağ,TANCA
79,Tokat,TANCA
80,Trabzon,TANCA
81,Tunceli,TANCA
82,U?ak,TANCA
83,Uşak,TANCA
84,Van,TANCA
85,Yalova,TANCA
86,Yozgat,TANCA
87,Zonguldak,TANCA
