MKod,SendServerName,SendCatalog,BedKod,Title,SendKod,SendBedKod,SendTitle,kgid,insUN,insDT,insApp,updUN,updDT,updApp
147,KorgunDb,Uretim20,ZN,35,,,,1,,,,,,
148,KorgunDb,Uretim20,ZN,36,,,,2,,,,,,
149,KorgunDb,Uretim20,ZN,37,,,,3,,,,,,
150,KorgunDb,Uretim20,ZN,38,,,,4,,,,,,
151,KorgunDb,Uretim20,ZN,39,,,,5,,,,,,
152,KorgunDb,Uretim20,ZN,40,,,,6,,,,,,
153,KorgunDb,Uretim20,ZN,41,,,,7,,,,,,
155,KorgunDb,Uretim20,MR,38,,,,8,,,,,,
156,KorgunDb,Uretim20,MR,39,,,,9,,,,,,
157,KorgunDb,Uretim20,MR,40,,,,10,,,,,,
158,KorgunDb,Uretim20,MR,41,,,,11,,,,,,
159,KorgunDb,Uretim20,MR,42,,,,12,,,,,,
160,KorgunDb,Uretim20,MR,43,,,,13,,,,,,
161,KorgunDb,Uretim20,MR,44,,,,14,,,,,,
162,KorgunDb,Uretim20,MR,45,,,,15,,,,,,
168,KorgunDb,Uretim20,MR,46,,,,16,,,,,,
175,KorgunDb,Uretim20,KM,100,,,,17,,,,,,
176,KorgunDb,Uretim20,KM,105,,,,18,,,,,,
177,KorgunDb,Uretim20,KM,110,,,,19,,,,,,
178,KorgunDb,Uretim20,KM,115,,,,20,,,,,,
179,KorgunDb,Uretim20,KM,120,,,,21,,,,,,
180,KorgunDb,Uretim20,KM,125,,,,22,,,,,,
181,KorgunDb,Uretim20,KM,130,,,,23,,,,,,
182,KorgunDb,Uretim20,KM,135,,,,24,,,,,,
183,KorgunDb,Uretim20,KM,140,,,,25,,,,,,
184,KorgunDb,Uretim20,VL,Büyük,,,,26,,,,,,
185,KorgunDb,Uretim20,VL,Orta,,,,27,,,,,,
186,KorgunDb,Uretim20,VL,Kabin,,,,28,,,,,,
187,KorgunDb,Uretim20,VL,Battal,,,,29,,,,,,
190,KorgunDb,Uretim20,FL,30,,,,30,,,,,,
191,KorgunDb,Uretim20,FL,31,,,,31,,,,,,
192,KorgunDb,Uretim20,FL,32,,,,32,,,,,,
193,KorgunDb,Uretim20,FL,33,,,,33,,,,,,
194,KorgunDb,Uretim20,FL,34,,,,34,,,,,,
195,KorgunDb,Uretim20,FL,35,,,,35,,,,,,
196,KorgunDb,Uretim20,ZN,42,,,,36,,,,,,
197,KorgunDb,Uretim20,CR,39-42,,,,37,,,,,,
198,KorgunDb,Uretim20,CR,40-44,,,,38,,,,,,
199,KorgunDb,Uretim20,CR,43-46,,,,39,,,,,,
200,KorgunDb,Uretim20,GR,35,,,,40,,,,,,
201,KorgunDb,Uretim20,GR,36,,,,41,,,,,,
202,KorgunDb,Uretim20,GR,37,,,,42,,,,,,
203,KorgunDb,Uretim20,GR,38,,,,43,,,,,,
204,KorgunDb,Uretim20,GR,39,,,,44,,,,,,
205,KorgunDb,Uretim20,GR,40,,,,45,,,,,,
206,KorgunDb,Uretim20,MR,47,,,,46,,,,,,
207,KorgunDb,Uretim20,MR,48,,,,47,,,,,,
209,KorgunDb,Uretim20,UX,36,,,,48,,,,,,
210,KorgunDb,Uretim20,UX,37,,,,49,,,,,,
211,KorgunDb,Uretim20,UX,38,,,,50,,,,,,
212,KorgunDb,Uretim20,UX,39,,,,51,,,,,,
213,KorgunDb,Uretim20,UX,40,,,,52,,,,,,
214,KorgunDb,Uretim20,UX,41,,,,53,,,,,,
215,KorgunDb,Uretim20,UX,42,,,,54,,,,,,
216,KorgunDb,Uretim20,UX,43,,,,55,,,,,,
217,KorgunDb,Uretim20,UX,44,,,,56,,,,,,
218,KorgunDb,Uretim20,UX,45,,,,57,,,,,,
219,KorgunDb,Uretim20,UX,46,,,,58,,,,,,
220,KorgunDb,Uretim20,KM,145,,,,59,,,,,,
222,KorgunDb,Uretim20,PT,24,,,,60,,,,,,
223,KorgunDb,Uretim20,PT,25,,,,61,,,,,,
224,KorgunDb,Uretim20,PT,26,,,,62,,,,,,
225,KorgunDb,Uretim20,PT,27,,,,63,,,,,,
226,KorgunDb,Uretim20,PT,28,,,,64,,,,,,
227,KorgunDb,Uretim20,PT,29,,,,65,,,,,,
228,KorgunDb,Uretim20,PT,30,,,,66,,,,,,
229,KorgunDb,Uretim20,EU,38,,,,67,,,,,,
230,KorgunDb,Uretim20,EU,38.5,,,,68,,,,,,
231,KorgunDb,Uretim20,EU,39,,,,69,,,,,,
232,KorgunDb,Uretim20,EU,39.5,,,,70,,,,,,
233,KorgunDb,Uretim20,EU,40,,,,71,,,,,,
234,KorgunDb,Uretim20,EU,40.5,,,,72,,,,,,
235,KorgunDb,Uretim20,EU,41,,,,73,,,,,,
236,KorgunDb,Uretim20,EU,41.5,,,,74,,,,,,
237,KorgunDb,Uretim20,EU,42,,,,75,,,,,,
238,KorgunDb,Uretim20,EU,42.5,,,,76,,,,,,
239,KorgunDb,Uretim20,EU,43,,,,77,,,,,,
240,KorgunDb,Uretim20,EU,43.5,,,,78,,,,,,
241,KorgunDb,Uretim20,EU,44,,,,79,,,,,,
242,KorgunDb,Uretim20,EU,44.5,,,,80,,,,,,
243,KorgunDb,Uretim20,EU,45,,,,81,,,,,,
244,KorgunDb,Uretim20,EU,45.5,,,,82,,,,,,
245,KorgunDb,Uretim20,EU,46,,,,83,,,,,,
246,KorgunDb,Uretim20,EU,46.5,,,,84,,,,,,
247,KorgunDb,Uretim20,AD,Adet,,,,85,,,,,,
248,KorgunDb,Uretim20,STD,STD,,,,86,,,,,,
