EmirNo,SKOD,RKOD,BedKod,FisNo,FisHarinx,SendTar,StartTarih,Proses,AltProses,Personel,EndTarih,Giren,Cikan,scikan,Birim,WMakNum,LotNo,Fire,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
3534,102567,3280,156,16299,50461,2023-04-14 14:39:58.413000,2023-05-09 11:41:11.830000,30,,U30001,,1.0000000000,0E-10,0E-10,CIFT,0,050461,0E-10,1,78,,,,,,
3534,102567,3280,157,16299,50461,2023-04-14 14:39:58.413000,2023-05-09 11:41:11.830000,30,,U30001,,2.0000000000,0E-10,0E-10,CIFT,0,050461,0E-10,2,78,,,,,,
3534,102567,3280,158,16299,50461,2023-04-14 14:39:58.413000,2023-05-09 11:41:11.830000,30,,U30001,,3.0000000000,0E-10,0E-10,CIFT,0,050461,0E-10,3,78,,,,,,
3534,102567,3280,159,16299,50461,2023-04-14 14:39:58.413000,2023-05-09 11:41:11.830000,30,,U30001,,2.0000000000,0E-10,0E-10,CIFT,0,050461,0E-10,4,78,,,,,,
3534,102567,3280,160,16299,50461,2023-04-14 14:39:58.413000,2023-05-09 11:41:11.830000,30,,U30001,,1.0000000000,0E-10,0E-10,CIFT,0,050461,0E-10,5,78,,,,,,
3534,102567,3280,161,16299,50461,2023-04-14 14:39:58.413000,2023-05-09 11:41:11.830000,30,,U30001,,1.0000000000,0E-10,0E-10,CIFT,0,050461,0E-10,6,78,,,,,,
4218,121147,7205,156,18861,58517,2023-09-13 17:24:20.750000,2023-09-29 12:22:37.780000,30,,U30001,,3.0000000000,0E-10,0E-10,CIFT,0,4218,0E-10,7,101,,,,,,
4218,121147,7205,157,18861,58517,2023-09-13 17:24:20.750000,2023-09-29 12:22:37.780000,30,,U30001,,5.0000000000,0E-10,0E-10,CIFT,0,4218,0E-10,8,101,,,,,,
4218,121147,7205,158,18861,58517,2023-09-13 17:24:20.750000,2023-09-29 12:22:37.780000,30,,U30001,,4.0000000000,0E-10,0E-10,CIFT,0,4218,0E-10,9,101,,,,,,
4218,121147,7205,159,18861,58517,2023-09-13 17:24:20.750000,2023-09-29 12:22:37.780000,30,,U30001,,5.0000000000,0E-10,0E-10,CIFT,0,4218,0E-10,10,101,,,,,,
4218,121147,7205,160,18861,58517,2023-09-13 17:24:20.750000,2023-09-29 12:22:37.780000,30,,U30001,,4.0000000000,0E-10,0E-10,CIFT,0,4218,0E-10,11,101,,,,,,
4218,121147,7205,161,18861,58517,2023-09-13 17:24:20.750000,2023-09-29 12:22:37.780000,30,,U30001,,2.0000000000,0E-10,0E-10,CIFT,0,4218,0E-10,12,101,,,,,,
4218,121147,7205,162,18861,58517,2023-09-13 17:24:20.750000,2023-09-29 12:22:37.780000,30,,U30001,,1.0000000000,0E-10,0E-10,CIFT,0,4218,0E-10,13,101,,,,,,
