Bolum,tip,Tanim,ParaCinsi,Taksit,OzKod1,OzKod2,Pasif
AF,01,TOPTAN ALIS TL,TL,0,,,
AF,02,IRAK ALIS USD,US,0,,,
AF,03,IRAK ALIS TL,TL,0,,,
AF,04,TOPTAN ALIS TL,TL,0,,,
AF,05,KREDILI ERSEN,TL,0,,,
AF,06,TOPTAN ALIS USD YENI,US,0,,,
AF,07,MALIYET ALIS TL,TL,0,,,
AF,08,MALIYET ALIS USD,US,0,,,
AF,99,ERSEN1,TL,0,,,
AI,1,%20,YTL,0,,,
AI,2,%15,,0,,,
AI,3,%7,,0,,,
SF,01,TOPTAN SATIS TL,TL,0,,,
SF,02,TOPTAN SATIS USD,US,0,,,
SF,03,TOPTAN SATIS TL,TL,0,,,
SF,04,INDIRIMLI SATISTL,TL,0,,,
SF,05,PERAKENDE SATIS USD,US,0,,,
SF,06,INDIRIMLI SATIS TL,TL,0,,,
SF,07,TOPTAN SATIS VADELI TL,US,0,,,
SF,08,PERAKENDE SATIŞ TL,TL,0,,,
SF,09,PESIN SATIS TL,TL,0,,,
SF,10,INDIRIMLI PESIN SATIS TL,TL,0,,,
SF,100,FRANCHISE INDIRIMLI TENG2,KZT,0,,,
SF,11,BUYER TENGE,KZT,0,,,
SF,12,BUYER DOLAR,US,0,,,
SF,13,ORTA FIYAT TL,TL,0,,,
SF,14,KREDILI SATIS,TL,0,,,
SF,15,ERBIL ESKI TOPTAN,US,0,,,
SF,16,IRAK MAGAZA SEVK,US,0,,,
SF,17,IRAK FRANC PERAKENDE DIN,IQD,0,,,
SF,18,IRAK FRANC PERAKENDE USD,US,0,,,
SF,19,%25 İNDİRİM USD,US,0,,,
SF,20,FRANCHISE PERAKENDE DOLAR,US,0,,,
SF,21,FRANCHISE PERAKENDE TENGE,KZT,0,,,
SF,22,BALKON VADELİ TL,TL,0,,,
SF,23,FIRTINA,US,0,,,
SF,24,BİTİR_KAMPANYA,US,0,,,
SF,25,FRANCHISE IND %50 TENGE,KZT,0,,,
SF,26,FRANCHISE INDIRIMLI USD,US,0,,,
SF,29,PSF SATIS FIYATI USD,US,0,,,
SF,30,PSF SATIS FIYATI TL,TL,0,,,
SF,31,%30 İNDİRİM USD,US,0,,,
SF,32,%35 İNDİRİM USD,US,0,,,
SF,33,%40 İNDİRİM USD,US,0,,,
SF,34,%50 İNDİRİM USD,US,0,,,
SF,35,PAZARLAMA TOPTAN USD,US,0,,,
SF,36,SATIS FIYATI $,US,0,,,
SF,37,SATIS FIYATI TL,TL,0,,,
SF,38,PAZARLAMA %20 INDIRIM TL,TL,0,,,
SF,39,PAZARLAMA %20 INDIRIM $,US,0,,,
SF,40,PAZARLAMA TOPTAN TL,TL,0,,,
SF,41,PAZARLAMA TOPTAN KOLI USD,US,0,,,
SF,42,PAZARLAMA TOPTAN KOLI TL,TL,0,,,
SF,43,"BAGDAT TOPTAN SATIS USD
",US,0,,,
SF,44,"BAGDAT PERKANEDE  USD
",US,0,,,
SF,45,"BAGDAT PERKANDE  DINAR
",IQD,0,,,
SF,46,BAGDAT TOPTAN  USD,US,0,,,
SF,47,BAGDAT TOPTAN KOLI USD,US,0,,,
SF,48,"""",TL,0,,,
SF,49,ATES TOPTAN KOLI USD,US,0,,,
SF,50,PAZARLAMA MAGAZA SEVK USD,US,0,,,
SF,51,PAZARLAMA MAGAZA SEVK TL,TL,0,,,
SF,52,SATIS KOLI  USD,US,0,,,
SF,53,SATIS KOLI TL,TL,0,,,
SF,54,IRAK FRANC IND PRKDN DIN,IQD,0,,,
SF,55,FUAR,US,0,,,
SF,56,IRAK FRANCHISE TOPTAN,US,0,,,
SF,57,IRAK FRANC ESKI TOPTAN,US,0,,,
SF,79,KASIRGA,US,0,,,
SF,88,ATES KAZAKHSTAN,KZT,0,,,
SF,89,ERSEN1,US,0,,,
SF,99,ATES,US,0,,,
SI,ISK,İSKONTO,TL,0,,,
SI,KK,TEK CEKIM,US,0,,,
SI,N1,NAKIT ,US,0,,,
