EmirNo,USKOD,URKod,UBedKod,UFisNo,UFisHarinx,Proses,Parcainx,Tip,HSKod,HRKod,HBedKod,HMiktar,HBirim,HLocation,HLotNo,HSeriNo,HFOran,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
4579,1111,7,274,22519,63448,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,1,1223,gulsah,2024-02-23 00:55:49.680000,KGShop,gulsah,2024-02-23 00:55:49.690000,KGShop
4579,1111,7,275,22519,63448,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,2,1223,gulsah,2024-02-23 00:55:49.680000,KGShop,gulsah,2024-02-23 00:55:49.690000,KGShop
4579,1111,7,276,22519,63448,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,3,1223,gulsah,2024-02-23 00:55:49.680000,KGShop,gulsah,2024-02-23 00:55:49.690000,KGShop
4579,1111,7,277,22519,63448,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,4,1223,gulsah,2024-02-23 00:55:49.680000,KGShop,gulsah,2024-02-23 00:55:49.690000,KGShop
4579,1111,7,278,22519,63448,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,5,1223,gulsah,2024-02-23 00:55:49.680000,KGShop,gulsah,2024-02-23 00:55:49.690000,KGShop
4580,1111,7,274,22519,63449,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,6,1224,gulsah,2024-02-23 00:56:01.667000,KGShop,gulsah,2024-02-23 00:56:01.670000,KGShop
4580,1111,7,275,22519,63449,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,7,1224,gulsah,2024-02-23 00:56:01.667000,KGShop,gulsah,2024-02-23 00:56:01.670000,KGShop
4580,1111,7,276,22519,63449,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,8,1224,gulsah,2024-02-23 00:56:01.667000,KGShop,gulsah,2024-02-23 00:56:01.670000,KGShop
4580,1111,7,277,22519,63449,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,9,1224,gulsah,2024-02-23 00:56:01.667000,KGShop,gulsah,2024-02-23 00:56:01.670000,KGShop
4580,1111,7,278,22519,63449,02,1,G,B,0,155,1.0000000000,CIFT,CH001,,,0E-10,10,1224,gulsah,2024-02-23 00:56:01.667000,KGShop,gulsah,2024-02-23 00:56:01.670000,KGShop
