Kinx,SatTip,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
4,0,490,4,Samet,2025-05-16 13:12:06.573000,Paramet,,,
4,2,491,4,Samet,2025-05-16 13:12:06.573000,Paramet,,,
4,3,492,4,Samet,2025-05-16 13:12:06.577000,Paramet,,,
4,4,493,4,Samet,2025-05-16 13:12:06.580000,Paramet,,,
5,0,361,5,Samet,2025-02-06 14:52:15.643000,Paramet,,,
5,2,362,5,Samet,2025-02-06 14:52:15.647000,Paramet,,,
5,3,363,5,Samet,2025-02-06 14:52:15.650000,Paramet,,,
5,4,364,5,Samet,2025-02-06 14:52:15.653000,Paramet,,,
6,0,417,6,Samet,2025-02-06 17:15:44.120000,Paramet,,,
6,2,418,6,Samet,2025-02-06 17:15:44.120000,Paramet,,,
6,3,419,6,Samet,2025-02-06 17:15:44.127000,Paramet,,,
6,4,420,6,Samet,2025-02-06 17:15:44.127000,Paramet,,,
7,0,442,7,Samet,2025-02-06 17:32:20.460000,Paramet,,,
7,2,443,7,Samet,2025-02-06 17:32:20.463000,Paramet,,,
7,3,444,7,Samet,2025-02-06 17:32:20.463000,Paramet,,,
7,4,445,7,Samet,2025-02-06 17:32:20.467000,Paramet,,,
8,0,482,8,harun,2025-04-29 11:46:33.287000,Paramet,,,
8,2,483,8,harun,2025-04-29 11:46:33.290000,Paramet,,,
8,3,484,8,harun,2025-04-29 11:46:33.290000,Paramet,,,
8,4,485,8,harun,2025-04-29 11:46:33.293000,Paramet,,,
