Deger,DBName
C,TANCA
CK11,TANCA
CK15,TANCA
CK22,TANCA
CK30,TANCA
CK42,TANCA
CK44,TANCA
CK45,TANCA
CK52,TANCA
CK76,TANCA
KT01,TANCA
KT02,TANCA
KT03,TANCA
KT04,TANCA
KT05,TANCA
KT06,TANCA
KT07,TANCA
KT09,TANCA
KT10,TANCA
KT100,TANCA
KT102,TANCA
KT103,TANCA
KT104,TANCA
KT105,TANCA
KT106,TANCA
KT107,TANCA
KT109,TANCA
KT110,TANCA
KT111,TANCA
KT112,TANCA
KT113,TANCA
KT114,TANCA
KT117,TANCA
KT119,TANCA
KT12,TANCA
KT120,TANCA
KT121,TANCA
KT122,TANCA
KT123,TANCA
KT124,TANCA
KT126,TANCA
KT127,TANCA
KT128,TANCA
KT129,TANCA
KT13,TANCA
KT130,TANCA
KT131,TANCA
KT132,TANCA
KT133,TANCA
KT134,TANCA
KT135,TANCA
KT136,TANCA
KT137,TANCA
KT138,TANCA
KT139,TANCA
KT140,TANCA
KT141,TANCA
KT142,TANCA
KT143,TANCA
KT144,TANCA
KT145,TANCA
KT146,TANCA
KT147,TANCA
KT148,TANCA
KT149,TANCA
KT15,TANCA
KT151,TANCA
KT152,TANCA
KT153,TANCA
KT154,TANCA
KT155,TANCA
KT157,TANCA
KT16,TANCA
KT160,TANCA
KT161,TANCA
KT162,TANCA
KT163,TANCA
KT164,TANCA
KT165,TANCA
KT166,TANCA
KT167,TANCA
KT168,TANCA
KT169,TANCA
KT17,TANCA
KT170,TANCA
KT171,TANCA
KT172,TANCA
KT173,TANCA
KT179,TANCA
KT18,TANCA
KT181,TANCA
KT19,TANCA
KT20,TANCA
KT21,TANCA
KT22,TANCA
KT23,TANCA
KT24,TANCA
KT26,TANCA
KT27,TANCA
KT29,TANCA
KT30,TANCA
KT31,TANCA
KT32,TANCA
KT33,TANCA
KT35,TANCA
KT36,TANCA
KT38,TANCA
KT39,TANCA
KT41,TANCA
KT44,TANCA
KT46,TANCA
KT48,TANCA
KT49,TANCA
KT51,TANCA
KT52,TANCA
KT53,TANCA
KT54,TANCA
KT55,TANCA
KT56,TANCA
KT57,TANCA
KT58,TANCA
KT63,TANCA
KT64,TANCA
KT65,TANCA
KT66,TANCA
KT67,TANCA
KT68,TANCA
KT70,TANCA
KT71,TANCA
KT72,TANCA
KT73,TANCA
KT74,TANCA
KT76,TANCA
KT77,TANCA
KT78,TANCA
KT80,TANCA
KT81,TANCA
KT82,TANCA
KT84,TANCA
KT85,TANCA
KT86,TANCA
KT87,TANCA
KT88,TANCA
KT90,TANCA
KT92,TANCA
KT93,TANCA
KT94,TANCA
KT95,TANCA
KT96,TANCA
KT98,TANCA
KT99,TANCA
ST03,TANCA
ta,TANCA
TS002,TANCA
