SevkNo,SevkTip,SevkTur,SevkTar,GCount,Location,SendLocation,ReturnSite,BelgeNo,HarTar,Durum,GeriDonMsj,SevkSekil,SevkNum,insUN,insDT,updUN,updDT,SevkAdres,SevkAdresAdi,CreaterApp,kgid,insApp,updApp
1,g,gt,2022-10-20 00:00:00,0,LN001,LN001,euromart,,2022-10-20 00:00:00,*,,,,Zeki,2022-10-20 12:46:50.273000,Lindon,2022-10-21 19:26:46.167000,,,,1,,
3,g,gt,2022-10-21 00:00:00,0,LN001,LN001,euromart,,2022-10-21 00:00:00,*,,,,Zeki,2022-10-21 10:39:55.627000,Lindon,2022-10-24 10:56:47.427000,,,,3,,
4,g,gt,2022-10-21 00:00:00,0,LN001,LN001,euromart,,2022-10-21 00:00:00,*,,,,Lindon,2022-10-21 19:26:02.190000,Lindon,2022-10-24 12:33:11.263000,,,,4,,
5,g,gt,2022-10-24 00:00:00,0,LN001,LN001,knawat,,2022-10-24 00:00:00,*,,,,Zeki,2022-10-24 15:30:58.553000,Yasar,2022-10-25 12:07:22.497000,,,,5,,
8,g,gt,2022-10-25 00:00:00,0,LN001,LN001,euromart,,2022-10-25 00:00:00,*,,,,Zeki,2022-10-25 12:29:00.440000,Lindon,2022-10-25 18:08:23.930000,,,,8,,
10,g,gt,2022-10-25 00:00:00,0,LN001,LN001,euromart,,2022-10-25 00:00:00,*,,,,Zeki,2022-10-25 18:54:27.840000,Zeki,2022-10-25 18:54:35.437000,,,,10,,
11,g,gt,2022-10-26 00:00:00,0,LN001,LN001,euromart,,2022-10-26 00:00:00,*,,,,Zeki,2022-10-26 12:05:03.917000,Lindon,2022-10-26 18:07:57.297000,,,,11,,
12,g,gt,2022-10-27 00:00:00,0,LN001,LN001,euromart,,2022-10-27 00:00:00,*,,,,Zeki,2022-10-27 15:04:41.607000,Lindon,2022-10-27 16:57:15.100000,,,,12,,
13,g,gt,2022-10-28 00:00:00,0,LN001,LN001,euromart,,2022-10-28 00:00:00,*,,,,Zeki,2022-10-28 16:48:35.447000,Lindon,2022-10-28 18:23:47.820000,,,,13,,
14,g,gt,2022-10-31 00:00:00,0,LN001,LN001,euromart,,2022-10-31 00:00:00,*,,,,Zeki,2022-10-31 10:41:07.863000,Lindon,2022-10-31 13:19:41.487000,,,,14,,
15,g,gt,2022-11-01 00:00:00,0,LN001,LN001,euromart,,2022-11-01 00:00:00,*,,,,Zeki,2022-11-01 10:32:16.017000,Lindon,2022-11-01 17:15:24.080000,,,,15,,
16,g,gt,2022-11-02 00:00:00,0,LN001,LN001,euromart,,2022-11-02 00:00:00,*,,,,Zeki,2022-11-02 15:04:11.030000,Lindon,2022-11-02 16:14:20.010000,,,,16,,
17,g,gt,2022-11-03 00:00:00,0,LN001,LN001,euromart,,2022-11-03 00:00:00,*,,,,Zeki,2022-11-03 11:55:09.650000,Lindon,2022-11-03 16:06:14.797000,,,,17,,
18,g,gt,2022-11-04 00:00:00,0,LN001,LN001,euromart,,2022-11-04 00:00:00,*,,,,Zekib,2022-11-04 16:12:58.093000,Lindon,2022-11-04 18:25:24.387000,,,,18,,
19,g,gt,2022-11-07 00:00:00,0,LN001,LN001,euromart,,2022-11-07 00:00:00,*,,,,Zeki,2022-11-07 15:28:04.743000,Lindon,2022-11-07 17:37:08.280000,,,,19,,
20,g,gt,2022-11-08 00:00:00,0,LN001,LN001,euromart,,2022-11-08 00:00:00,*,,,,Zeki,2022-11-08 14:08:18.037000,Lindon,2022-11-08 18:11:41.720000,,,,20,,
21,g,gt,2022-11-09 00:00:00,0,LN001,LN001,euromart,,2022-11-09 00:00:00,*,,,,Zeki,2022-11-09 10:49:16.330000,Lindon,2022-11-09 19:04:39.447000,,,,21,,
22,g,gt,2022-11-10 00:00:00,0,LN001,LN001,euromart,,2022-11-10 00:00:00,*,,,,Zeki,2022-11-10 14:44:18.517000,Lindon,2022-11-10 17:54:27.163000,,,,22,,
24,g,gt,2022-11-11 00:00:00,0,LN001,LN001,euromart,,2022-11-11 00:00:00,*,,,,Zeki,2022-11-11 11:03:17.910000,Lindon,2022-11-11 19:19:12.680000,,,,24,,
25,g,gt,2022-11-14 00:00:00,0,LN001,LN001,euromart,,2022-11-14 00:00:00,*,,,,Zeki,2022-11-14 15:59:51.623000,Lindon,2022-11-14 19:02:52.493000,,,,25,,
26,g,gt,2022-11-15 00:00:00,0,LN001,LN001,euromart,,2022-11-15 00:00:00,*,,,,Zeki,2022-11-15 13:38:41.963000,Lindon,2022-11-15 17:40:17.923000,,,,26,,
27,g,gt,2022-11-16 00:00:00,0,LN001,LN001,euromart,,2022-11-16 00:00:00,*,,,,Zeki,2022-11-16 12:35:09.573000,Lindon,2022-11-16 16:58:09.253000,,,,27,,
28,g,gt,2022-11-17 00:00:00,0,LN001,LN001,euromart,,2022-11-17 00:00:00,*,,,,Zeki,2022-11-17 12:09:36.830000,Zeki,2022-11-17 14:30:49.660000,,,,28,,
29,g,gt,2022-11-18 00:00:00,0,LN001,LN001,euromart,,2022-11-18 00:00:00,*,,,,Zeki,2022-11-18 16:15:54.987000,Lindon,2022-11-19 08:52:33.440000,,,,29,,
30,g,gt,2022-11-21 00:00:00,0,LN001,LN001,euromart,,2022-11-21 00:00:00,*,,,,Zeki,2022-11-21 10:59:38.857000,Lindon,2022-11-21 21:08:46.627000,,,,30,,
31,g,gt,2022-11-22 00:00:00,0,LN001,LN001,euromart,,2022-11-22 00:00:00,*,,,,Zeki,2022-11-22 14:37:21.097000,Lindon,2022-11-22 18:20:29.893000,,,,31,,
32,g,gt,2022-11-23 00:00:00,0,LN001,LN001,euromart,,2022-11-23 00:00:00,*,,,,Zeki,2022-11-23 15:57:35.600000,Lindon,2022-11-23 17:30:48.750000,,,,32,,
33,g,gt,2022-11-24 00:00:00,0,LN001,LN001,euromart,,2022-11-24 00:00:00,*,,,,Zeki,2022-11-24 12:52:46.743000,Lindon,2022-11-24 16:11:36.020000,,,,33,,
34,g,gt,2022-11-25 00:00:00,0,LN001,LN001,euromart,,2022-11-25 00:00:00,*,,,,Zeki,2022-11-25 12:48:50.220000,Lindon,2022-11-25 20:12:40.453000,,,,34,,
35,g,gt,2022-11-28 00:00:00,0,LN001,LN001,euromart,,2022-11-28 00:00:00,*,,,,Zeki,2022-11-28 13:17:45.893000,Lindon,2022-11-29 13:33:28.433000,,,,35,,
36,g,gt,2022-11-29 00:00:00,0,LN001,LN001,euromart,,2022-11-29 00:00:00,*,,,,Zeki,2022-11-29 10:55:57.197000,Lindon,2022-11-29 13:40:48.803000,,,,36,,
39,g,gt,2022-11-30 00:00:00,0,LN001,LN001,euromart,,2022-11-30 00:00:00,*,,,,Zeki,2022-11-30 16:08:19.683000,Lindon,2022-11-30 18:10:48.637000,,,,39,,
40,g,gt,2022-12-01 00:00:00,0,LN001,LN001,euromart,,2022-12-01 00:00:00,*,,,,Zeki,2022-12-01 10:27:29.500000,Lindon,2022-12-01 15:48:49.910000,,,,40,,
41,g,gt,2022-12-02 00:00:00,0,LN001,LN001,euromart,,2022-12-02 00:00:00,*,,,,Zeki,2022-12-02 10:46:49.727000,Lindon,2022-12-02 13:53:01.883000,,,,41,,
42,g,gt,2022-12-05 00:00:00,0,LN001,LN001,euromart,,2022-12-05 00:00:00,*,,,,Zeki,2022-12-05 11:50:50.543000,Lindon,2022-12-05 13:28:06.007000,,,,42,,
43,g,gt,2022-12-06 00:00:00,0,LN001,LN001,euromart,,2022-12-06 00:00:00,*,,,,Zeki,2022-12-06 14:00:41.733000,Lindon,2022-12-06 14:41:43.247000,,,,43,,
