Uretici_KOD,Tanim,CariKod
001,ÇELİK,320 001
002,OZTUL,320 002
003,SOVENSO ,320 003
004,HASELLE,320 004
005,MERT AYK,320 005
006,GUİZA AYK,320 006
007,SELCUK,320 007
008,BESSA SHOES TUNCAY,320 008
009,DELIYS,320 009
010,BARO AYAKKABI,320 010
011,MINARDI,320 011
012,YALÇIN OZGUL TERLIK,320 012
013,PATIS,320 013
014,MODERNO AYK,320 014
015,ESİLYA AYK,320 015
016,TORBO STARS SHOES,320 016
017,MERANDES AYAKKABI ,320 017
018,EKOL,320 018
019,BRANDIES SHOES ,320 019
020,DOCENT,320 020
021,WEST TO WEST,320 021
022,ESILYA ÖMER BEY,320 022
023,GUTAN,320 023
024,VİNİCCİ AYK,320 024
025,SIGOTTO ,320 025
026,ESKO,320 026
027,SERBEY,320 027
028,CLASICO,320 028
029,Z.M,320 029
030,LIOSE,320 030
031,BEKA,320 031
032,OZAN AYAKKABI,320 032
033,DOLPSKY,320 033
034,BONTIMES,320 034
035,FİORETTİ,320 035
036,çelenbi,320 036
037,MODELLE,320 037
038,Bİ BALANCE,320 038
039,ROSELINDA,320 039
040,BELLAGARDE ÖZEN,320 040
041,MELL BUTTI,320 041
042,YUDI,320 042
043,ALFERA,320 043
044,ANTONELLA,320 044
045,PERFETTO,320 045
046,ERNAZ,320 046
047,EVEREK AYAKKABI,320 047
048,LUCIANO MONETTI SHOES,320 048
049,EMRE SUBASI,320 049
050,CEFIRS,320 050
051,MEHMET HINIS,320 051
052,C G CENGİZ GÜMÜŞ,320 052
053,RUCCİ  AYK,320 053
054,HAEL SHOES,320 054
055,MEGO,320 055
056,MEGI HAKAN,320 056
057,NUR SHOES,320 057
058,REYON,320 058
059,PUSULA AYK.,320 059
060,ÖZ ASLAN AYK,320 060
061 ,İBARRALUCCİ,320 061
062,EM-Mİ LİFE AYK,320 062
063 ,INOVASYON ZAREX AYK,320 063
064,PİEDİ AYK,320 064
065,BİRDAL AYAKKABI,320 065
066,FATİH,320 066
067,MAY FUR AYK,320 067
068,ZEY&RA AYK,320 068
069,DİLDE AYK,320 069
070,BENA AYK,320 070
071,HG AYAKKABI,320 071
072,ÇAGLAR AYK,320 072
073,CUCA AYK,320 073
074,BAY ÇAKAS AYK,320 074
075,ERSİN AYK,320 075
076,BUMS AYK,320 076
077,VERONA AYK,320 077
078,CAHIT,320 078
079,İKİZLER AYK,320 079
081,EMEK,320 081
086,NESA,320 086
090,NIGHT BLUE,320 090
097,SASHA LIFE,320 097
099,FURY AYAKKABI,320 099
111,DALISH,320 111
112,KNB,320 112
119,CONTINI ZIKO,320 119
120,MECEY SHOES,320 120
121,DAKKAMIN,320 121
122,TURKER ,320 122
128,MELISIMA,320 128
140,CAMPINO,320 140
169,BELLUCCI,320 169
171,STIL LAYD,320 171
173,TASKOPRU,320 173
174,REYHAN,320 174
175,ROTABELLI ,320 175
177,BESTELLO,320 177
181,BY LIFE,320 181
185,JESIKA BELLA,320 185
204,MIS LIZA,320 204
206,YAĞMUR,320 206
208,CEYHUN BEADY,320 208
210,LIVA,320 210
211,BESA TL,320 211
241,VALIENTE ,320 241
243,BESA,320 243
248,GOZDE,320 248
251,ELIT,320 251
252 ,FATİH JANET,320 252
272,SELFIRON,320 272
275,DINIESTA,320 275
276,KISAS,320 276
293,OZGUR BUYUKUSTUN,320 293
303,DESTAN,320 303
304,HD AYAKKABI,320 304
308,DESEN,320 308
309,ULAS,320 309
310,RİO CALVİNO,320 310
314,DERMANDO,320 314
315,REDMON,320 315
316,MIS CAPRIS,320 316
320,SÜRENLER AYK,320 320
325 ,MERVE AYK FEMİ,320 325 
369,IRMAK,320 369
379,FERHAT KOC ANKARALI,320 379
385 ,DEBİDİVA,320 385
387,DE MARCHA,320 387
391,SALDA ,320 391
392,SERKAN YALGI,320 392
393,SALVA ,320 393
394,EGE USD,320 394
395,DUNE FABIANI,320 395
396,GOLD BRAND,320 396
397,MEDUSS WORLD,320 397
398,KENDO SHOES,320 398
400,BONAMOOR,320 400
401,UCEL,320 401
402,MARCO WEST,320 402
403,DONEDELLI,320 403
404,SURENLER,320 404
405,NIVOX,320 405
406,ZIYES,320 406
407,CABULLI ,320 407
408,SESTINI,320 408
409,ALBI,320 409
410,LUX,320 410
411,SHOESKA,320 411
412,PRİZMA LIFE,320 412
413,KAHYA ,320 413
414,MELİSE ALMAZ,320 414
415,ASF AYK,320 415
418,EGE TL,320 418
427,DELIYS TL,320 427
443,REYHAN,320 443
444,CONRADSPOR,320 444
450,HALIME,320 450
451,JESTELLE,320 451
480 ,DESİNA AYK,320 480
481,UÇAR AYK,320 481
482,RUGANO AYK,320 482
483,ERDO,320 483
506,GUMUS OKCE,320 506
528,NERO AYK,320 528
535,ONAR,320 535
540,FLEXİST,320 540
545,MORE AYK.,320 545
