ModulName,OptRealName,OptVisible,OptTableConnect,Protect,kgid,insUN,insDT,insApp,updUN,updDT,updApp
Cari,btOzKod1,*,Par_Cari_OzKod1,G,1,,,,,,
Cari,btOzKod10,*,Par_Cari_OzKod10,G,2,,,,,,
Cari,btOzKod2,*,Par_CariTip,G,3,,,,,,
Cari,btOzKod3,*,Par_Cari_OzKod3,G,4,,,,,,
Cari,btOzKod4,*,Par_Cari_OzKod4,G,5,,,,,,
Cari,btOzKod5,*,Par_Cari_OzKod5,G,6,,,,,,
Cari,btOzKod6,*,,G,7,,,,,,
Cari,btOzKod7,*,,G,8,,,,,,
Cari,btOzKod8,*,,G,9,,,,,,
Cari,btOzKod9,*,Par_Cari_OzKod9,G,10,,,,,,
Musteri,btOzKod1,*,,G,11,,,,,,
Musteri,btOzKod10,*,,G,12,,,,,,
Musteri,btOzKod2,*,,G,13,,,,,,
Musteri,btOzkod3,*,,G,14,,,,,,
Musteri,btOzKod4,*,,G,15,,,,,,
Musteri,btOzKod5,*,,G,16,,,,,,
Musteri,btOzKod6,*,,G,17,,,,,,
Musteri,btOzKod7,*,,G,18,,,,,,
Musteri,btOzKod8,*,,G,19,,,,,,
Musteri,btOzKod9,*,,G,20,,,,,,
Siparis,btOzKod1,*,,G,71,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod10,*,,G,72,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod2,*,,G,73,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod3,*,,G,74,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod4,*,,G,75,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod5,*,,G,76,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod6,*,,G,77,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod7,*,,G,78,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod8,*,,G,79,dbo,2024-08-07 10:35:52.643000,Update,,,
Siparis,btOzKod9,*,,G,80,dbo,2024-08-07 10:35:52.643000,Update,,,
Stok,btOzKod1,*,Par_Stok_OzKod1,G,21,,,,k,2024-02-14 14:55:21.423000,
Stok,btOzKod10,*,,G,22,,,,dbo,2023-11-15 11:28:42.770000,
Stok,btOzKod11,*,,G,23,,,,dbo,2023-11-15 11:28:58.503000,
Stok,btOzKod12,*,,G,24,,,,dbo,2023-11-15 11:28:43.910000,
Stok,btOzKod13,*,,G,25,,,,dbo,2023-11-15 11:28:45.130000,
Stok,btOzKod14,*,,G,26,,,,dbo,2023-11-15 11:28:47.270000,
Stok,btOzKod15,*,Par_Stok_OzKod15,G,27,,,,dbo,2024-07-23 11:28:36.550000,
Stok,btOzKod16,*,,G,28,,,,dbo,2023-11-15 11:28:46.240000,
Stok,btOzKod17,*,,G,29,,,,dbo,2023-11-15 11:28:48.127000,
Stok,btOzKod18,*,,G,30,,,,dbo,2023-11-15 11:28:48.990000,
Stok,btOzKod19,*,,G,31,,,,dbo,2023-11-15 11:28:49.863000,
Stok,btOzKod2,*,,G,32,,,,dbo,2023-11-15 11:28:52.127000,
Stok,btOzKod20,*,,G,33,,,,dbo,2023-11-15 11:28:51.070000,
Stok,btOzKod21,*,,G,34,,,,,,
Stok,btOzKod22,*,Par_Stok_OzKod22,G,35,,,,dbo,2024-07-23 11:28:48.740000,
Stok,btOzKod23,*,,G,36,,,,,,
Stok,btOzKod24,*,,G,37,,,,,,
Stok,btOzKod25,*,,G,38,,,,,,
Stok,btOzKod26,*,,G,39,,,,,,
Stok,btOzKod27,*,Par_Stok_OzKod27,G,40,,,,dbo,2024-08-05 20:28:41.987000,
Stok,btOzKod28,*,,G,41,,,,,,
Stok,btOzKod29,*,,G,42,,,,,,
Stok,btOzKod3,*,,G,43,,,,dbo,2023-11-15 11:28:53.177000,
Stok,btOzKod30,*,,G,44,,,,,,
Stok,btOzKod31,*,,G,45,,,,,,
Stok,btOzKod32,*,,G,46,,,,,,
Stok,btOzKod33,*,,G,47,,,,,,
Stok,btOzKod34,*,,G,48,,,,,,
Stok,btOzKod35,*,,G,49,,,,,,
Stok,btOzKod36,*,,G,50,,,,,,
Stok,btOzKod37,*,,G,51,,,,,,
Stok,btOzKod38,*,,G,52,,,,,,
Stok,btOzKod39,*,,G,53,,,,,,
Stok,btOzKod4,*,,G,54,,,,dbo,2023-11-15 11:28:54.107000,
Stok,btOzKod40,*,,G,55,,,,,,
Stok,btOzKod41,*,,G,56,,,,,,
Stok,btOzKod42,*,,G,57,,,,,,
Stok,btOzKod43,*,,G,58,,,,,,
Stok,btOzKod44,*,,G,59,,,,,,
Stok,btOzKod45,*,,G,60,,,,,,
Stok,btOzKod46,*,,G,61,,,,,,
Stok,btOzKod47,*,,G,62,,,,,,
Stok,btOzKod48,*,,G,63,,,,,,
Stok,btOzKod49,*,,G,64,,,,,,
Stok,btOzKod5,*,,G,65,,,,dbo,2023-11-15 11:28:59.507000,
Stok,btOzKod50,*,,G,66,,,,,,
Stok,btOzKod6,*,,G,67,,,,dbo,2023-11-15 11:28:55.193000,
Stok,btOzKod7,*,,G,68,,,,dbo,2023-11-15 11:28:57.300000,
Stok,btOzKod8,*,,G,69,,,,dbo,2023-11-15 11:29:00.663000,
Stok,btOzKod9,*,,G,70,,,,,,
