UserName,HKEY,FullPath,Value,kgid
dbo,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\ColumnTags\Lokasyon Listesi;Location;LName,1;1,179
dbo,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\SizeAndCoors\Lokasyon Listesi;Location;LName,134;533;500;390,180
dbo,HKEY_CURRENT_USER,\Software\Korgun Software\AppVerName,KGShop,178
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Banka Fiş Listesi;FisNo;Tarih;Banka;Sube;Hesap;EvrakNo,0;1;2;3;4;5,1019
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Banka Hesapları Listesi;Banka;BankaTanim;sube;SubeTanim;HesapKod;HesapTanim;Iban;ParaCinsi,0;1;2;3;4;5;6;7,749
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Banka Hesapları Listesi;Banka;BankaTanim;sube;SubeTanim;HesapKod;IBAN;HesapTanim;ParaCinsi,0;1;2;3;4;5;6;7,754
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Banka Kartları Listesi;BankaKod;Tanim;www,0;1;2,3389
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cari İşlem Özel Kod 3;iOzkod3,0,2691
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cari Listesi;cname;ckod;Unvan,0;1;2,966
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cari Listesi;CName;CKod;Unvan;OzKod1;OzKod2;OzKod3;OzKod4;OzKod5,0;1;2;3;4;5;6;7,765
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Cari Listesi;CName;CKod;Unvan;OzKod1;OzKod2;OzKod3;OzKod4;OzKod5;OzKod6;OzKod7;OzKod8;OzKod9;OzKod10;iptal,0;1;2;3;4;5;6;7;8;9;10;11;12;13,3368
Furkan,HKEY_CURRENT_USER,\Software\Korgun Software\_NewListQ\Columnindexes\Gider Tipleri;Gider_Tip;Tanim,0;1,1045
