UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc,kgid,insUN,insDT,insApp,updUN,updDT,updApp
2derya,LINDON,,,,291,,,,,,
2derya,LINDON,*,,,1,,,,,,
2derya,LINDON,LN001,,,743,dbo,2024-10-16 08:06:46.600000,Paramet,,,
adem,LINDON,,,,765,dbo,2024-11-03 10:45:14.933000,,,,
adem,LINDON,*,,,766,dbo,2024-11-03 10:45:14.933000,,,,
adem,LINDON,LN001,,,767,dbo,2024-11-03 10:45:14.933000,,,,
Ahmet,LINDON,,,,292,,,,,,
Ahmet,LINDON,*,,,2,,,,,,
Ahmet,LINDON,LN001,,,61,,,,,,
AhmetEnes,LINDON,,,,293,,,,,,
AhmetEnes,LINDON,*,,,3,,,,,,
AhmetEnes,LINDON,LN001,,,62,,,,,,
AhmetEnes,LINDON,LN002,,,103,,,,,,
AhmetEnes,LINDON,LN010,,,173,,,,,,
AhmetEnes,LINDON,LN011,,,193,,,,,,
AhmetEnes,LINDON,LN999,,,273,,,,,,
Ali,LINDON,,,,294,,,,,,
Ali,LINDON,*,,,4,,,,,,
Ali,LINDON,LN001,,,744,dbo,2024-10-16 08:07:06.637000,Paramet,,,
AliCem,LINDON,,,,295,,,,,,
AliCem,LINDON,*,,,5,,,,,,
AliCem,LINDON,LN001,,,63,,,,,,
ATAKAN,LINDON,,,,296,,,,,,
ATAKAN,LINDON,*,,,6,,,,,,
ATAKAN,LINDON,LN001,,,64,,,,,,
ATAKAN,LINDON,LN002,,,104,,,,,,
ATAKAN,LINDON,LN003,,,124,,,,,,
ATAKAN,LINDON,LN004,,,142,,,,,,
ATAKAN,LINDON,LN005,,,159,,,,,,
ATAKAN,LINDON,LN010,,,174,,,,,,
ATAKAN,LINDON,LN011,,,194,,,,,,
ATAKAN,LINDON,LN012,,,212,,,,,,
ATAKAN,LINDON,LN013,,,228,,,,,,
ATAKAN,LINDON,LN014,,,243,,,,,,
ATAKAN,LINDON,LN015,,,258,,,,,,
ATAKAN,LINDON,LN999,,,274,,,,,,
Atik,LINDON,,,,297,,,,,,
Atik,LINDON,*,,,7,,,,,,
Atik,LINDON,LN001,,,65,,,,,,
Ayse,LINDON,,,,298,,,,,,
Ayse,LINDON,*,,,8,,,,,,
Ayse,LINDON,LN001,,,749,dbo,2024-10-16 08:11:57.847000,Paramet,,,
baris,LINDON,,,,299,,,,,,
baris,LINDON,*,,,9,,,,,,
baris,LINDON,LN001,,,66,,,,,,
Batın,LINDON,,,,300,,,,,,
Batın,LINDON,*,,,10,,,,,,
Batın,LINDON,LN001,,,67,,,,,,
cengizhan,LINDON,,,,301,,,,,,
cengizhan,LINDON,*,,,11,,,,,,
cengizhan,LINDON,LN001,,,68,,,,,,
coklu2,LINDON,,,,302,,,,,,
coklu2,LINDON,*,,,12,,,,,,
