SipNo,SipHarinx,Konum,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,Durum,TerminTarihi,LotNo,OTVOran,SipharinxB,locked,SipPicture,Proje_D_Id,OzKod1,OzKod2,OzKod3,BagTeklifHarinx
21,22,F,007- 1469,YARIM KÜRKLÜ,16.0,CIFT,US,72.0,0.00,2.0,0.00,*,,000022,,,,,,,,,
21,23,F,007- 6080,,16.0,CIFT,US,60.0,0.00,2.0,0.00,*,,000023,,,,,,,,,
21,24,F,007- 5099,,16.0,CIFT,US,55.0,0.00,2.0,0.00,*,,000024,,,,,,,,,
21,25,F,007- 3014,,16.0,CIFT,US,64.0,0.00,2.0,0.00,*,,000025,,,,,,,,,
21,26,F,007- 9015,,16.0,CIFT,US,75.0,0.00,2.0,0.00,*,,000026,,,,,,,,,
21,27,F,007- 6011,,16.0,CIFT,US,63.0,0.00,2.0,0.00,*,,000027,,,,,,,,,
21,28,F,007- 9013,,8.0,CIFT,US,73.0,0.00,2.0,0.00,*,,000028,,,,,,,,,
21,29,F,007- 2062,,16.0,CIFT,US,53.0,0.00,2.0,,*,,000029,,,,,,,,,
21,30,F,007- 2102,,24.0,CIFT,US,51.0,0.00,2.0,,*,,000030,,,,,,,,,
21,31,F,007- 2001,,16.0,CIFT,US,63.0,0.00,2.0,,*,,000031,,,,,,,,,
21,32,F,013- 8084,,16.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000032,,,,,,,,,
21,33,F,013- 8070,,24.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000033,,,,,,,,,
21,34,F,013- 8069,,16.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000034,,,,,,,,,
21,35,F,013- 8001,,16.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000035,,,,,,,,,
21,37,F,013- 8071,,16.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000037,,,,,,,,,
21,38,F,013- 8022,,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000038,,,,,,,,,
21,39,F,013- 8068,,16.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000039,,,,,,,,,
21,40,F,013- 8098,,24.0,CIFT,US,48.0,0.00,0.0,0.00,*,,000040,,,,,,,,,
21,42,F,013- 8012,,16.0,CIFT,US,48.0,0.00,0.0,0.00,*,,000042,,,,,,,,,
21,43,F,013- 8101,,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000043,,,,,,,,,
21,44,F,013- 8103,,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000044,,,,,,,,,
21,45,F,013- 7441,,16.0,CIFT,US,69.0,0.00,0.0,0.00,*,,000045,,,,,,,,,
21,48,F,013- 8120,,8.0,CIFT,US,70.0,0.00,0.0,0.00,*,,000048,,,,,,,,,
21,49,F,013- 8099,,16.0,CIFT,US,67.0,0.00,0.0,0.00,*,,000049,,,,,,,,,
21,50,F,013- 8074,,16.0,CIFT,US,49.0,0.00,0.0,0.00,*,,000050,,,,,,,,,
21,51,F,013- 8090,,16.0,CIFT,US,50.0,0.00,0.0,0.00,*,,000051,,,,,,,,,
21,53,F,013- 7287,,24.0,CIFT,US,43.0,0.00,0.0,0.00,*,,000053,,,,,,,,,
21,54,F,013- RG530,,24.0,CIFT,US,55.0,0.00,0.0,0.00,*,,000054,,,,,,,,,
21,55,F,013- P4416,,16.0,CIFT,US,57.0,0.00,0.0,0.00,*,,000055,,,,,,,,,
21,58,F,013- 2120,,16.0,CIFT,US,39.0,0.00,0.0,0.00,*,,000058,,,,,,,,,
21,59,F,011- 24-244,,32.0,CIFT,US,53.0,0.00,0.0,0.00,*,,000059,,,,,,,,,
21,60,F,011- 23-52,,16.0,CIFT,US,60.0,0.00,0.0,0.00,*,,000060,,,,,,,,,
21,61,F,008- 1029,,8.0,CIFT,US,68.0,0.00,0.0,0.00,*,,000061,,,,,,,,,
21,62,F,008- 1031-1,,8.0,CIFT,US,68.0,0.00,0.0,0.00,*,,000062,,,,,,,,,
21,64,F,008- KIRMIZI,,8.0,CIFT,US,68.0,0.00,0.0,0.00,*,,000064,,,,,,,,,
21,65,F,008- 3021,,8.0,CIFT,US,115.0,0.00,0.0,0.00,*,,000065,,,,,,,,,
21,66,F,008- 2016,,8.0,CIFT,US,92.0,0.00,0.0,0.00,*,,000066,,,,,,,,,
21,67,F,008- 2024,,8.0,CIFT,US,96.0,0.00,0.0,0.00,*,,000067,,,,,,,,,
21,68,F,008- 2035,,8.0,CIFT,US,105.0,0.00,0.0,0.00,*,,000068,,,,,,,,,
21,71,F,008- 3020,,8.0,CIFT,US,120.0,0.00,0.0,0.00,*,,000071,,,,,,,,,
21,72,F,008- 1023-1,,16.0,CIFT,US,67.0,0.00,0.0,0.00,*,,000072,,,,,,,,,
21,74,F,010- 6325,,16.0,CIFT,US,62.0,0.00,0.0,0.00,*,,000074,,,,,,,,,
