SatNo,Odinx,OdTip,ParaCinsi,Tutar,OdTar,MuhKod,MM,Komisyon,KaporaMuhKod,KaporaMM,Kapora,HCKod
11,16,N,US,100.0,2022-07-04 20:04:29,,,,,,,
12,17,N,US,50.0,2022-07-05 20:25:05,,,,,,,
13,18,N,US,120.0,2022-07-05 20:44:11,,,,,,,
14,19,N,US,200.0,2022-07-07 21:56:56,,,,,,,
15,20,N,TL,3049.94,2022-07-07 22:05:26,,,,,,,
16,21,N,US,304.0,2022-07-14 16:29:23,,,,,,,
17,22,N,US,62.0,2022-07-14 16:30:49,,,,,,,
18,23,N,US,90.0,2022-07-17 12:25:53,,,,,,,
19,24,N,US,35.0,2022-07-17 12:28:16,,,,,,,
20,25,N,TL,1740.04,2022-07-17 18:08:11,,,,,,,
21,26,N,TL,1043.95,2022-07-17 18:11:16,,,,,,,
22,27,N,TL,1305.95,2022-07-17 18:13:34,,,,,,,
23,28,N,TL,1350.02,2022-07-17 18:14:37,,,,,,,
24,29,N,US,97.0,2022-07-17 18:15:19,,,,,,,
25,30,N,US,90.0,2022-07-17 18:15:52,,,,,,,
26,31,N,US,90.0,2022-07-17 18:16:21,,,,,,,
27,32,N,US,90.0,2022-07-17 18:18:02,,,,,,,
28,33,N,US,60.0,2022-07-17 18:18:32,,,,,,,
29,34,N,US,70.0,2022-07-17 18:19:34,,,,,,,
30,35,N,US,92.37,2022-07-17 18:21:02,,,,,,,
31,36,N,TL,1993.81,2022-07-18 14:23:09,,,,,,,
32,37,N,EU,58.0,2022-07-19 21:53:19,,,,,,,
33,38,N,US,100.0,2022-07-19 21:54:52,,,,,,,
33,39,N,TL,139.96,2022-07-19 21:54:58,,,,,,,
34,40,N,TL,699.98,2022-07-20 20:38:08,,,,,,,
35,41,N,US,175.0,2022-07-20 20:40:45,,,,,,,
36,42,N,TL,1049.53,2022-07-20 20:43:05,,,,,,,
37,43,N,US,200.0,2022-07-20 20:44:08,,,,,,,
38,44,N,TL,1759.16,2022-07-21 20:59:27,,,,,,,
39,45,N,TL,1372.19,2022-07-21 21:00:32,,,,,,,
40,46,N,US,95.0,2022-07-21 21:01:16,,,,,,,
41,47,N,EU,110.0,2022-07-24 15:32:33,,,,,,,
42,48,N,TL,1685.58,2022-07-24 15:33:26,,,,,,,
43,49,N,US,60.0,2022-07-24 17:04:49,,,,,,,
44,50,N,TL,1383.95,2022-07-25 16:02:58,,,,,,,
45,51,N,US,52.0,2022-07-25 16:06:28,,,,,,,
46,52,N,US,59.0,2022-07-26 20:16:10,,,,,,,
47,53,N,TL,714.62,2022-07-27 12:03:05,,,,,,,
48,54,N,TL,999.92,2022-07-31 15:53:07,,,,,,,
