BarCode,SKOD,Tanim,RKOD,Renk,BedKod,Beden
8683630190543,MCLNA TM1799,221 TM1799 ERK AYK,12929979,MULTI 1,8,46
8683630190550,MCLNA TM1799,221 TM1799 ERK AYK,12929979,MULTI 1,9,47
8683630190567,MCLNA TM1799,221 TM1799 ERK AYK,12929979,MULTI 1,58,48
8683630190574,MCLNA TM1799,221 TM1799 ERK AYK,12929979,MULTI 1,81,49
8683630190581,MCLNA TM1799,221 TM1799 ERK AYK,12929979,MULTI 1,196,50
8683630190598,MCLNA TM1799,221 TM1799 ERK AYK,12929979,MULTI 1,635,38
M18000000,MCLNA TM189,221 TMT189 ERK AYK,0,,0,
M19841019,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,1,39
M19841020,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,2,40
M19841021,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,3,41
M19841022,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,4,42
M19841023,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,5,43
M19841024,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,6,44
M19841025,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,7,45
M19841026,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,8,46
M19841027,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,9,47
M19841060,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,58,48
M19841083,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,81,49
1000048804,MCLNA TM199,221 TM199 ERK AYK,8417518,AYK,196,50
M21841001,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,1,39
M21841002,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,2,40
M21841003,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,3,41
M21841004,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,4,42
M21841005,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,5,43
M21841006,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,6,44
M21841007,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,7,45
M21841008,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,8,46
M21841009,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,9,47
M21841058,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,58,48
M21841081,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,81,49
1000048805,MCLNA TM219,221 TM219 ERK BOT,8417518,AYK,196,50
000000229,MCLNA TM229,221 TMT229 ERK BOT,0,,0,
000000249,MCLNA TM249,221 TMT249 ERK BOT,0,,0,
M25000001,MCLNA TM259,221 TM259 ERK AYK,0,,1,39
M25000002,MCLNA TM259,221 TM259 ERK AYK,0,,2,40
M25000003,MCLNA TM259,221 TM259 ERK AYK,0,,3,41
M25000004,MCLNA TM259,221 TM259 ERK AYK,0,,4,42
M25000005,MCLNA TM259,221 TM259 ERK AYK,0,,5,43
M25000006,MCLNA TM259,221 TM259 ERK AYK,0,,6,44
M25000007,MCLNA TM259,221 TM259 ERK AYK,0,,7,45
M25000008,MCLNA TM259,221 TM259 ERK AYK,0,,8,46
M25000009,MCLNA TM259,221 TM259 ERK AYK,0,,9,47
M25000058,MCLNA TM259,221 TM259 ERK AYK,0,,58,48
M25000081,MCLNA TM259,221 TM259 ERK AYK,0,,81,49
1000048806,MCLNA TM259,221 TM259 ERK AYK,0,,196,50
TM2900001,MCLNA TM299,221 TM299 ERK AYK,0,,1,39
TM2900002,MCLNA TM299,221 TM299 ERK AYK,0,,2,40
TM2900003,MCLNA TM299,221 TM299 ERK AYK,0,,3,41
TM2900004,MCLNA TM299,221 TM299 ERK AYK,0,,4,42
TM2900005,MCLNA TM299,221 TM299 ERK AYK,0,,5,43
TM2900006,MCLNA TM299,221 TM299 ERK AYK,0,,6,44
