SevkNo,SevkHarinx,SipLocation,SipHarinx,fatno,fatharinx,skod,miktar,Birim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
107,1554,LN001,1128,1715,24278,LNRCNKB1120,1.0000000000,Çift,1554,,,,,,
107,1555,LN001,1129,1715,24277,LNRCNKM603,1.0000000000,Çift,1555,,,,,,
107,1556,LN001,1130,1715,24276,LNRCNNT7053,2.0000000000,Çift,1556,,,,,,
107,1557,LN001,1131,1715,24275,RCNCNT360,1.0000000000,Çift,1557,,,,,,
107,1558,LN001,1132,1715,24274,LNRCNT1975,1.0000000000,Çift,1558,,,,,,
107,1559,LN001,1133,1715,24273,LNRCNKD2021,1.0000000000,Çift,1559,,,,,,
107,1560,LN001,1134,1715,24272,LNRCNKRS035,1.0000000000,Çift,1560,,,,,,
107,1561,LN001,1135,1715,24271,LNRCNR189,2.0000000000,Çift,1561,,,,,,
107,1562,LN001,1136,1715,24270,RCN146,1.0000000000,Çift,1562,,,,,,
107,1563,LN001,1137,1715,24269,LNRCNKM189,1.0000000000,Çift,1563,,,,,,
107,1564,LN001,1138,1715,24268,LNRCNNT243,1.0000000000,Çift,1564,,,,,,
107,1565,LN001,1139,1715,24267,LNRCNKCS816S,1.0000000000,Çift,1565,,,,,,
107,1566,LN001,1140,1715,24266,RCN1DRG1057,2.0000000000,Çift,1566,,,,,,
107,1567,LN001,1141,1715,24265,RCNWLG072,4.0000000000,Çift,1567,,,,,,
107,1568,LN001,1142,1715,24264,LNRCNKM107,1.0000000000,Çift,1568,,,,,,
107,1569,LN001,1143,1715,24263,LNRCNKLCZ3020,1.0000000000,Çift,1569,,,,,,
107,1570,LN001,1144,1715,24262,LNRCNKHC15,1.0000000000,Çift,1570,,,,,,
107,1571,LN001,1145,1715,24261,RCNCNT365,1.0000000000,Çift,1571,,,,,,
107,1572,LN001,1146,1715,24260,RCN152,1.0000000000,Çift,1572,,,,,,
107,1573,LN001,1147,1715,24259,LNRCNDPF140,1.0000000000,Çift,1573,,,,,,
107,1574,LN001,1148,1715,24258,LNRCNGLS304,1.0000000000,Çift,1574,,,,,,
107,1575,LN001,1149,1715,24257,LNRCN958,1.0000000000,Çift,1575,,,,,,
732,14171,LN001,8892,7592,63319,LNRCNXSPX6,3.0000000000,Çift,14171,,,,,,
732,14172,LN001,8893,7592,63318,LNRCNTWG720,1.0000000000,Çift,14172,,,,,,
732,14173,LN001,8894,7592,63317,LNRCNKM299,2.0000000000,Çift,14173,,,,,,
732,14174,LN001,8895,7592,63316,LNRCNKVT3000,1.0000000000,Çift,14174,,,,,,
732,14175,LN001,8896,7592,63315,LNRCNKCS815Y,1.0000000000,Çift,14175,,,,,,
732,14176,LN001,8897,7592,63314,LNRCN383,1.0000000000,Çift,14176,,,,,,
732,14177,LN001,8898,7592,63313,LNRCNKM360,8.0000000000,Çift,14177,,,,,,
732,14178,LN001,8899,7592,63312,RCN716,1.0000000000,Çift,14178,,,,,,
732,14179,LN001,8900,7592,63311,LNRCNKETL502,1.0000000000,Çift,14179,,,,,,
732,14180,LN001,8901,7592,63310,LNRCNKETL634,1.0000000000,Çift,14180,,,,,,
733,14181,LN001,8902,7593,63334,RCN716,6.0000000000,Çift,14181,,,,,,
733,14182,LN001,8903,7593,63333,LNRCNKM360,36.0000000000,Çift,14182,,,,,,
733,14183,LN001,8904,7593,63332,LNRCNKCS815Y,6.0000000000,Çift,14183,,,,,,
733,14184,LN001,8905,7593,63331,LNRCNKKSP01,2.0000000000,Çift,14184,,,,,,
733,14185,LN001,8906,7593,63330,LNRCNXSPX5,3.0000000000,Çift,14185,,,,,,
733,14186,LN001,8907,7593,63329,LNRCNKM299,12.0000000000,Çift,14186,,,,,,
733,14187,LN001,8908,7593,63328,LNRCNTWG720,8.0000000000,Çift,14187,,,,,,
733,14188,LN001,8909,7593,63327,LNRCNKLCZ217,1.0000000000,Çift,14188,,,,,,
733,14189,LN001,8910,7593,63326,LNRCN383,12.0000000000,Çift,14189,,,,,,
733,14190,LN001,8911,7593,63325,LNRCNKPSJ333,5.0000000000,Çift,14190,,,,,,
733,14191,LN001,8912,7593,63324,LNRCNT63,1.0000000000,Çift,14191,,,,,,
733,14192,LN001,8913,7593,63323,LNRCNXSPX6,1.0000000000,Çift,14192,,,,,,
733,14193,LN001,8914,7593,63322,LNRCNTWG285,2.0000000000,Çift,14193,,,,,,
