ID,STanim,RTanim,BTanim,Pay,Payda,BelgeNo,PosNo,Parcali,BosHucre,DT,Location,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,1,3,0,5115,0,0,2024-11-13 17:41:52.997000,CA001,1,Samet,2024-11-13 17:41:52.997000,KGWMSREST,,,
2,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,2,3,0,5115,0,0,2024-11-13 17:41:54.430000,CA001,2,Samet,2024-11-13 17:41:54.430000,KGWMSREST,,,
3,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,3,3,0,5115,0,0,2024-11-13 17:41:56.200000,CA001,3,Samet,2024-11-13 17:41:56.200000,KGWMSREST,,,
4,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,1,3,0,5115,0,1,2024-11-13 17:42:08.403000,CA001,4,Samet,2024-11-13 17:42:08.403000,KGWMSREST,,,
5,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,2,3,0,5115,0,1,2024-11-13 17:43:29.440000,CA001,5,Samet,2024-11-13 17:43:29.440000,KGWMSREST,,,
6,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,3,3,0,5115,0,0,2024-11-13 17:43:45.667000,CA001,6,Samet,2024-11-13 17:43:45.667000,KGWMSREST,,,
7,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,3,3,0,5115,0,0,2024-11-13 17:47:31.723000,CA001,7,Samet,2024-11-13 17:47:31.723000,KGWMSREST,,,
8,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,3,3,0,5115,0,1,2024-11-13 17:47:37.387000,CA001,8,Samet,2024-11-13 17:47:37.387000,KGWMSREST,,,
9,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,25,30,0,5116,0,0,2024-11-13 17:53:01.073000,CA001,9,Samet,2024-11-13 17:53:01.073000,KGWMSREST,,,
10,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,26,30,0,5116,0,0,2024-11-13 17:53:02.633000,CA001,10,Samet,2024-11-13 17:53:02.633000,KGWMSREST,,,
11,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,20,30,0,5116,0,0,2024-11-13 17:53:05.380000,CA001,11,Samet,2024-11-13 17:53:05.380000,KGWMSREST,,,
12,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,20,30,0,5116,0,0,2024-11-13 17:53:06.970000,CA001,12,Samet,2024-11-13 17:53:06.970000,KGWMSREST,,,
13,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,21,30,0,5116,0,0,2024-11-13 17:53:08.517000,CA001,13,Samet,2024-11-13 17:53:08.517000,KGWMSREST,,,
