Uretici_KOD,MARKA,Tanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
001,002,12,185,UMUT,2024-02-14 09:12:30.703000,KGShop,,,
100001,100001,SAMET,189,Samet,2024-09-25 14:55:53.180000,KGShop,,,
100002,100002,cahit,190,Samet,2024-09-25 15:23:26.880000,KGShop,,,
101,Cabani,Cabani,1,,,,,,
104,101,Cabani,2,,,,,,
105,North Wild,North Wild,3,,,,,,
107,Cabani,,4,,,,,,
110,Cabani,Cabani,5,,,,,,
117,Cabani,Cabani,6,,,,,,
118,Cabani,Cabani,7,,,,,,
119,Cabani,Cabani,8,,,,,,
122,Cabani,Cabani,9,,,,,,
123,Cantaş,Cantaş,10,,,,,,
126,Cabani,Cabani,11,,,,,,
128,CCS,CCS,12,,,,,,
128,NG,NG,13,,,,,,
131,Cabani,Cabani,14,,,,,,
132,Cabani,Cabani,15,,,,,,
133,Cabani,Cabani,16,,,,,,
137,Cabani,Cabani,17,,,,,,
138,Cabani,Cabani,18,,,,,,
140,Cabani,Cabani,19,,,,,,
143,Cabani,Cabani,20,,,,,,
148,Cabani,Cabani,21,,,,,,
150,BUENO,BUENO,187,Guray,2024-03-08 13:21:53.590000,KGShop,,,
150,BUENO-X,BUENO-X,188,Guray,2024-03-08 13:22:08.250000,KGShop,,,
152,Cabani,Cabani,22,,,,,,
153,Cabani,Cabani,23,,,,,,
155,Cabani,,24,,,,,,
158,Cabani,Cabani,25,,,,,,
159,Cabani,Cabani,26,,,,,,
163,Cabani,Cabani,27,,,,,,
164,Cabani,Cabani,28,,,,,,
165,Cabani,Cabani,29,,,,,,
166,Cabani,Cabani,30,,,,,,
172,Cabani,Cabani,31,,,,,,
173,Cabani,,32,,,,,,
174,Cabani,Cabani,33,,,,,,
177,Cabani,Cabani,34,,,,,,
187,Cabani,,35,,,,,,
200,Cabani,Cabani,36,,,,,,
200002,DENEME,DENEME,192,CAHIT,2024-09-27 09:19:40.973000,KGShop,,,
208,Cabani,Cabani,37,,,,,,
209,Cabani,,38,,,,,,
212,Cabani,Cabani,39,,,,,,
213,Cabani,Cabani,40,,,,,,
218,Cabani,Cabani,41,,,,,,
222,Cabani,Cabani,42,,,,,,
225,Nıppon,Nıppon,43,,,,,,
237,Cabani,Cabani,44,,,,,,
238,Cabani,,45,,,,,,
240,Cabani,,46,,,,,,
