SipNo,AvTip,Coninx,Odinx,Fisinx,EvrakNo,Tutar,ParaCinsi,Vade,Tanim,PortfoyNo
248,k,69,0,,,,,,,
259,k,100,0,,,,,,,
265,k,72,0,,,,,,,
266,k,73,0,,,,,,,
281,k,75,0,,,,,,,
281,k,603,0,,,,,,,
282,k,74,0,,,,,,,
284,k,77,0,,,,,,,
285,k,78,0,,,,,,,
286,k,83,0,,,,,,,
288,k,79,0,,,,,,,
290,k,80,0,,,,,,,
291,k,81,0,,,,,,,
293,k,94,0,,,,,,,
326,k,85,0,,,,,,,
327,k,86,0,,,,,,,
338,k,90,0,,,,,,,
340,k,91,0,,,,,,,
341,k,104,0,,,,,,,
341,k,588,0,,,,,,,
341,k,1330,0,,,,,,,
351,k,567,0,,,,,,,
355,k,95,0,,,,,,,
356,k,106,0,,,,,,,
356,k,462,0,,,,,,,
358,k,450,0,,,,,,,
361,k,101,0,,,,,,,
362,k,102,0,,,,,,,
363,k,103,0,,,,,,,
397,k,908,0,,,,,,,
399,k,199,0,,,,,,,
405,k,105,0,,,,,,,
405,k,564,0,,,,,,,
407,k,107,0,,,,,,,
408,k,108,0,,,,,,,
409,k,1240,0,,,,,,,
426,k,241,0,,,,,,,
450,k,141,0,,,,,,,
454,k,133,0,,,,,,,
460,k,134,0,,,,,,,
461,k,123,0,,,,,,,
462,k,2807,0,,,,,,,
468,k,132,0,,,,,,,
469,k,130,0,,,,,,,
470,k,131,0,,,,,,,
470,k,1333,0,,,,,,,
470,k,1334,0,,,,,,,
471,k,122,0,,,,,,,
472,k,114,0,,,,,,,
473,k,119,0,,,,,,,
474,k,125,0,,,,,,,
474,k,1243,0,,,,,,,
475,k,116,0,,,,,,,
476,k,126,0,,,,,,,
491,k,115,0,,,,,,,
492,k,118,0,,,,,,,
492,k,491,0,,,,,,,
493,k,138,0,,,,,,,
494,k,117,0,,,,,,,
504,k,135,0,,,,,,,
512,k,127,0,,,,,,,
513,k,128,0,,,,,,,
525,k,200,0,,,,,,,
526,k,129,0,,,,,,,
557,k,560,0,,,,,,,
577,k,137,0,,,,,,,
577,k,204,0,,,,,,,
578,k,136,0,,,,,,,
610,k,142,0,,,,,,,
610,k,181,0,,,,,,,
639,k,139,0,,,,,,,
640,k,140,0,,,,,,,
640,k,676,0,,,,,,,
645,k,681,0,,,,,,,
647,k,673,0,,,,,,,
649,k,1316,0,,,,,,,
649,k,2799,0,,,,,,,
650,k,180,0,,,,,,,
651,k,177,0,,,,,,,
652,k,178,0,,,,,,,
653,k,168,0,,,,,,,
655,k,166,0,,,,,,,
705,k,1036,0,,,,,,,
706,k,448,0,,,,,,,
707,k,182,0,,,,,,,
707,k,679,0,,,,,,,
712,k,184,0,,,,,,,
