Korgun_UserGrupID,UserName,P_KulGrupID,DBName
2994,8572,3,korgun_parameter
3011,8603,3,korgun_parameter
3035,8139,3,korgun_parameter
3042,8556,3,korgun_parameter
3048,VALMENTICIFTLIK,1,korgun_parameter
3051,iade1,3,korgun_parameter
3053,iade2,3,korgun_parameter
3064,V3401,1,korgun_parameter
3096,SAHINYESIL,12,korgun_parameter
3122,8785,14,korgun_parameter
3257,VLMNTMARMARAPRK,1,korgun_parameter
72,MERTERMYDN,1,TANCA
286,RONESANS,1,TANCA
316,x,3,TANCA
361,BAHARIYE,1,TANCA
411,KADIOGLU,1,TANCA
465,URFACD,1,TANCA
547,EDREMIT,1,TANCA
639,CADIRFYT,3,TANCA
793,GORDIONX,3,TANCA
865,ICERENKOYBAYAN,1,TANCA
918,CADIRBDUZU,1,TANCA
920,CADIRSULTANGAZI,1,TANCA
925,CADIRBOSTANCI,1,TANCA
927,CADIRCORLU,1,TANCA
929,CADIRGEBZE,1,TANCA
930,CADIRHARAMIDERE,1,TANCA
932,CADIRISTINYE,1,TANCA
933,CADIRKOZZY,1,TANCA
945,CDROPTIMUM,1,TANCA
946,CADIRUMRANIYE,1,TANCA
947,CADIRVIALAND,1,TANCA
957,CKMETRO,1,TANCA
959,CKTERRACITY,1,TANCA
1021,ICERENKOY,1,TANCA
1022,IDEALTEPE,1,TANCA
1034,HAKKID,15,TANCA
1038,HYILDIRIM,7,TANCA
1082,STOKBAK,3,TANCA
1084,STOKBAK2,3,TANCA
1086,STOKBAK3,3,TANCA
1087,STOKBAK4,3,TANCA
1106,umut,3,TANCA
1142,TNCOZDILEK,1,TANCA
1179,LGUNES,14,TANCA
1181,MBUZ,5,TANCA
1182,RDONUS,5,TANCA
1183,RSEVEN,5,TANCA
1221,CADIRBAGDAT,1,TANCA
1224,ePrim,15,TANCA
1231,CADIRBAYRAMPASA,1,TANCA
1232,CADIRGOKTURK,1,TANCA
1273,SETMAN,14,TANCA
1322,ITUKAN,3,TANCA
1323,KORPAK,4,TANCA
1331,SENAY,9,TANCA
1332,SENAYC,9,TANCA
1374,irfanPPR,14,TANCA
1377,MCAGLAYAN,1,TANCA
1378,MCAGLAYAN,2,TANCA
1380,testk,3,TANCA
1459,2776,9,TANCA
1461,3148,9,TANCA
1527,AKMERKEZ,1,TANCA
1528,AKSARAY,1,TANCA
1542,ATASHRPALKIDS,1,TANCA
1543,ATLASPARK,1,TANCA
1547,BALIKESIR10,1,TANCA
1553,BRANDIUM,1,TANCA
1555,CADIRESENYURT,1,TANCA
1556,CADIRKALE,1,TANCA
1561,CAPITOL,1,TANCA
1567,CGRMRK1,12,TANCA
1568,CGRMRK2,12,TANCA
1569,CGRMRK3,12,TANCA
1570,CGRMRK4,12,TANCA
1571,CGRMRK5,12,TANCA
1574,CKCAPI,1,TANCA
1580,DOGUBEYAZIT,1,TANCA
1586,EMAARSQUARE,1,TANCA
1589,ESPARK,1,TANCA
1590,FATIH,1,TANCA
1604,KASTAMONUCADDE,1,TANCA
1615,KOZZY,1,TANCA
1620,HILLTOWNKIDS,1,TANCA
1625,ISPARTA,1,TANCA
1629,KUTAHYA,1,TANCA
1630,LULEBURGAZ,1,TANCA
1635,MARDINEMIRGAN,1,TANCA
1637,MERKEZ,1,TANCA
1638,METRO,1,TANCA
1639,METROGARDEN,1,TANCA
1650,NAZILLI,1,TANCA
1652,VIASEL,1,TANCA
1653,NEVSEHIR,1,TANCA
1658,ZONGULDAK,1,TANCA
1659,OKMEYDANI,1,TANCA
1662,ORDU,1,TANCA
1670,TANCAKIDSMALLOF,1,TANCA
1671,TANCAKIDSSANKO,1,TANCA
1672,TANCAKIDSVADI,1,TANCA
1673,TANCAKIDSZAFER,1,TANCA
1677,TANCAKIDSAKASYA,1,TANCA
1678,TNCMARAS,1,TANCA
1681,BRTNC,1,TANCA
1682,TNCCANPARK,1,TANCA
1683,TNCIZMIROPT,1,TANCA
1685,PELICAN,1,TANCA
1686,PENDORYA,1,TANCA
