UserName,CatalogName,AccessKasa,ReadLoc,WriteLoc,kgid,insUN,insDT,insApp,updUN,updDT,updApp
dbo,LINDON,K001,,,1,,,,,,
dbo,LINDON,K002,,,2,,,,,,
dbo,lındon,K003,,,3,,,,,,
dbo,LINDON,K004,,,4,,,,,,
dbo,lındon,K005,,,5,,,,,,
dbo,LINDON,K006,,,6,,,,,,
dbo,lındon,K007,,,7,,,,,,
dbo,LINDON,K008,,,8,,,,,,
dbo,lındon,K009,,,9,,,,,,
dbo,LINDON,K010,,,10,,,,,,
dbo,LINDON,KS01,,,11,,,,,,
FAB,LINDON,K001,,,12,,,,,,
Furkan,LINDON,K001,,,13,,,,,,
furkan,lındon,K002,,,14,,,,,,
furkan,lındon,K003,,,15,,,,,,
furkan,lındon,K004,,,16,,,,,,
furkan,lındon,K005,,,17,,,,,,
furkan,lındon,K006,,,18,,,,,,
furkan,lındon,K007,,,19,,,,,,
furkan,lındon,K008,,,20,,,,,,
furkan,lındon,K009,,,21,,,,,,
KorgunDestek,LINDON,K001,,,22,,,,,,
KorgunDestek,LINDON,K002,,,23,,,,,,
KorgunDestek,LINDON,K003,,,24,,,,,,
KorgunDestek,LINDON,K004,,,25,,,,,,
KorgunDestek,LINDON,K005,,,26,,,,,,
KorgunDestek,LINDON,K006,,,27,,,,,,
KorgunDestek,LINDON,K007,,,28,,,,,,
KorgunDestek,LINDON,K008,,,29,,,,,,
KorgunDestek,LINDON,K009,,,30,,,,,,
KorgunDestek,LINDON,K010,,,31,,,,,,
KorgunDestek,LINDON,KS01,,,32,,,,,,
KRG,LINDON,K001,,,33,,,,,,
KRG,LINDON,KS01,,,34,,,,,,
Lima,LINDON,K001,,,35,,,,,,
Lindon,LINDON,K001,,,36,,,,,,
selim,LINDON,K001,,,41,,,,,,
selim,LINDON,K002,,,42,,,,,,
selim,LINDON,K003,,,43,,,,,,
selim,LINDON,K004,,,44,,,,,,
selim,LINDON,K005,,,45,,,,,,
selim,LINDON,K006,,,46,,,,,,
selim,LINDON,K007,,,47,,,,,,
selim,LINDON,K008,,,48,,,,,,
selim,LINDON,K009,,,49,,,,,,
selim,LINDON,K010,,,50,,,,,,
selim,LINDON,KS01,,,51,,,,,,
WMSApp,LINDON,K001,,,37,,,,,,
Zeki,LINDON,K001,,,38,,,,,,
zeki,LINDON,K010,,,39,,,,,,
Zekib,LINDON,K001,,,40,,,,,,
