inx,Tanim,Bolum,UserName
1,TAKIP,miSiparisYon1,hamzas
4,TAKIP,miSiparisYon1,Ilknuro
5,TAKIP,miSiparisYon1,Mehmeta
7,MUSTERI,miSiparisYon1,hamzas
10,LOT_TAKIP,miSiparisYon2,mehmeta
11,RAPOR_1,miCariYonet,ılknuro
12,RAPOR_2,miCariYonet,ılknuro
13,KRITER,miSiparisYon1,Mehmeta
14,KRITER,miSiparisYon1,Mehmeta
15,SIPARISLI,miCariYonet,Şölenk
16,CARI_RAPOR,miCariYonet,Şölenk
17,GELMESI_GEREKEN,miSiparisYon2,hamzas
18,RAPOR_01,miSiparisYon1,Hamzas
19,KALAN,miSiparisYon2,Hamzas
20,RPR_1,miSiparisYon1,şölenk
21,DEPO,miSiparisYon1,hamzas
22,URETICI_KALAN,miSiparisYon2,Hamzas
23,RPR_1,miSiparisYon1,Hamzas
24,RPR_1,miSiparisYon1,mehmeta
26,URETICI_NET_KALAN,miSiparisYon2,hamzas
28,ATOLYEKALAN,miSiparisYon2,şölenk
29,SIPARISDURUM1,miSiparisYon2,hamzas
31,BITEN_MALLAR,miSiparisYon1,mehmeta
32,SATIS_FIYATI,miSiparisYon1,hamzas
33,SATIS_FIYATI,miSiparisYon1,hamzas
34,URETICI_TARIHLI_KALAN,miSiparisYon2,HAMZAS
35,SATIS,miSiparisYon2,hamzas
38,STOKKALAN,miStokYonetim,hamzas
44,IMALATCI,miCariYonet,Hamzas
46,TARIHLIKALAN,miSiparisYon2,hamzas
47,KRITER_STOKMEVCUT_MODEL,miSiparisYon1,satisa
48,MODEL,miirsaliyeYon,hamzas
49,KRITER01,miirsaliyeYon,hamzas
50,SONDURUM,miSiparisYon2,hamzas
52,BI,miSiparisYon1,hamzas
54,DEPO_KOLI_YENI,miSiparisYon1,mehmeta
56,HAFTAURTGELNRPR,miirsaliyeYon,alik
57,CARIHESAPRPR,miCariYonet,alik
58,03_BITENMALLAR,miSiparisYon1,mehmeta
59,URETICIKALAN,miSiparisYon2,mehmeta
60,BITENMALLAR,miSiparisYon1,mehmeta
65,KRITER(45),miSiparisYon2,sultana
66,HAFTAURTGELNRPR(56),miirsaliyeYon,sultana
67,CARIHESAPRPR(57),miCariYonet,sultana
73,ATOLYEKALAN(55),miSiparisYon2,Gulgonca
74,KRITER55,miSiparisYon2,Gulgonca
79,HAFTAURTGELN(56),miirsaliyeYon,gulgonca
80,CARIHESAPRPR(57),miCariYonet,gulgonca
83,KRITER,miSiparisYon2,alik
84,KRITER2,miirsaliyeYon,alik
85,KRITERGML,miCariYonet,alik
86,KRITER1,miCariYonet,mehmeta
87,PAZARLAMAANALIZ,miSiparisYon1,alik
88,MUSTERIKIZLAR,miCariYonet,alik
89,MUSTERIKIZLAR,miCariYonet,SULTANA
90,ALINAN_SIPARIS,miSiparisYon1,alik
92,KALANSIPARISLER,miSiparisYon2,mehmeta
93,CARIHESAPSULTAN,miCariYonet,Sultana
94,GMLCARIHSPSLT,miCariYonet,Sultana
95,MUSTERIBORCKIZLAR,miCariYonet,alik
96,CARIHSRP200,miCariYonet,alik
97,GELENLERHFTLKHAZIR,miirsaliyeYon,alik
99,RENK,miSiparisYon2,alik
100,ALISLARTUM,miFaturaYon,alik
101,SATISTUM,miFaturaYon,alik
102,KASATUM,miKasaYon,alik
107,KRITER,miirsaliyeYon,mehmeta
108,CARI_SATIS,miFaturaYon,alik
109,GRUP_SATIS,miFaturaYon,alik
110,ATOLYEKALAN,miSiparisYon2,Depo
111,GMLALISRAPOR,miFaturaYon,Depo
112,DEPOMUSTERIKALAN,miSiparisYon1,Depo
113,MUSTERIBORCDURUMU,miCariYonet,Depo
114,KAPANANSIPARISLER,miSiparisYon1,Depo
115,TUMUATOLYEDENGELENSIPARISLER,miSiparisYon1,Depo
116,BITENMALLAR,miSiparisYon1,Depo
119,PERSONELSIPARIS,miSiparisYon1,alik
120,SIPARISYONETIM,miSiparisYon1,ahmetc
121,STOKRAPORU,miStokYonetim,ahmetc
127,DEPOSTOKKALAN,miSiparisYon1,depo
131,ACIK_OLAN_SIPARISLER,miSiparisYon1,hakank
132,PERAKENDE_STOGUNDAN,miStokislemYon,hakank
133,DEPO_KALAN_YENI,miSiparisYon1,depo
139,SATINALMAANALIZ,miSiparisYon2,muhasebe1
140,ACIK_OLAN_SIPARISLER,miSiparisYon2,HAKANK
141,KRITER,miSiparisYon1,hakank
142,MUSTERI_LISTESI,miCariYonet,muhasebe1
143,MUSTERI_LISTESI,miCariYonet,muhasebe1
145,TOPTAN_PRIM_HESAPLAMA,miFaturaYon,muhasebe1
147,GECILMEYEN_SIPARISLER,miSiparisYon1,muhasebe1
148,GECILMEYEN_SIPARISLER,miSiparisYon1,Ali
149,ATOLYE_KALAN,miSiparisYon2,ali
150,SATIS_TUM,miFaturaYon,ali
