SKOD,Tip,iskonto,exCheck,iskontoTut
04 19-4,,0.00,,
126  9172,,0.00,,
126 3407,,0.00,,
126 3407-A,,0.00,,
126 4057,,0.00,,
126 7892,,0.00,,
126 7900,,0.00,,
126 8742,,0.00,,
126 8769,,0.00,,
126 8769-A,,0.00,,
126 8782,,0.00,,
126 8791,,0.00,,
126 8792,,0.00,,
126 8792A,,0.00,,
126 8793,,0.00,,
126 8812,,0.00,,
126 8815,,0.00,,
126 8815-A,,0.00,,
126 8819,,0.00,,
126 8821,,0.00,,
126 8829,,0.00,,
126 8829-A,,0.00,,
126 8832,,0.00,,
126 8834,,0.00,,
126 8835,,0.00,,
126 8838,,0.00,,
126 8843,,0.00,,
126 8854,,0.00,,
126 8860,,0.00,,
126 8862,,0.00,,
126 8868,,0.00,,
126 8868-A,,0.00,,
126 8870,,0.00,,
126 8871,,0.00,,
126 8877,,0.00,,
126 8879,,0.00,,
126 8881,,0.00,,
126 8892,,0.00,,
126 8892-A,,0.00,,
126 8893,,0.00,,
126 8898,,0.00,,
126 8899 ,,0.00,,
126 8900,,0.00,,
126 8907,,0.00,,
126 8908,,0.00,,
126 8911,,0.00,,
126 8915,,0.00,,
126 8917,,0.00,,
126 8924,,0.00,,
126 8929,,0.00,,
126 8931,,0.00,,
126 8935,,0.00,,
126 8936,,0.00,,
126 8939,,0.00,,
126 8947,,0.00,,
126 8947-A,,0.00,,
126 8951,,0.00,,
126 8953 ,,0.00,,
126 8954,,0.00,,
126 8960,,0.00,,
126 8962,,0.00,,
126 8965,,0.00,,
126 8970,,0.00,,
126 8973,,0.00,,
126 8975,,0.00,,
126 8975A,,0.00,,
126 8981,,0.00,,
126 8982,,0.00,,
126 8988,,0.00,,
126 8989,,0.00,,
126 8990,,0.00,,
126 8992,,0.00,,
126 8993,,0.00,,
126 8995,,0.00,,
126 8996,,0.00,,
126 8999,,0.00,,
126 9003,,0.00,,
126 9004,,0.00,,
126 9006,,0.00,,
126 9007,,0.00,,
126 9010,,0.00,,
126 9011,,0.00,,
126 9012,,0.00,,
126 9013,,0.00,,
126 9016,,0.00,,
126 9020,,0.00,,
126 9021,,0.00,,
126 9022,,0.00,,
126 9024,,0.00,,
126 9025,,0.00,,
126 9027,,0.00,,
126 9028,,0.00,,
126 9029,,0.00,,
126 9030,,0.00,,
126 9031,,0.00,,
126 9031-A,,0.00,,
126 9032,,0.00,,
126 9033,,0.00,,
126 9034,,0.00,,
126 9035,,0.00,,
126 9036,,0.00,,
126 9037,,0.00,,
126 9038,,0.00,,
126 9039,,0.00,,
126 9040,,0.00,,
126 9041,,0.00,,
126 9042,,0.00,,
126 9044,,0.00,,
126 9045,,0.00,,
126 9046,,0.00,,
126 9055,,0.00,,
126 9056,,0.00,,
126 9058,,0.00,,
126 9059,,0.00,,
126 9060,,0.00,,
126 9061 ,,0.00,,
126 9062,,0.00,,
126 9063,,0.00,,
126 9064,,0.00,,
126 9065,,0.00,,
126 9066,,0.00,,
126 9066-A,,0.00,,
126 9067,,0.00,,
126 9068,,0.00,,
126 9068-A,,0.00,,
126 9070,,0.00,,
126 9070-A,,0.00,,
126 9070-B,,0.00,,
126 9071,,0.00,,
126 9072,,0.00,,
126 9073,,0.00,,
126 9074 ,,0.00,,
126 9076,,0.00,,
126 9077,,0.00,,
126 9077-A,,0.00,,
126 9078,,0.00,,
126 9079,,0.00,,
126 9080,,0.00,,
126 9080-A,,0.00,,
126 9081,,0.00,,
126 9081-A,,0.00,,
126 9082,,0.00,,
126 9083,,0.00,,
126 9083-A,,0.00,,
126 9084,,0.00,,
126 9084-A,,0.00,,
126 9085,,0.00,,
126 9085-A,,0.00,,
126 9086,,0.00,,
126 9087,,0.00,,
126 9088,,0.00,,
126 9089,,0.00,,
126 9090,,0.00,,
126 9091,,0.00,,
126 9092,,0.00,,
126 9093,,0.00,,
126 9094,,0.00,,
126 9095,,0.00,,
126 9096,,0.00,,
126 9097,,0.00,,
126 9098,,0.00,,
126 9099,,0.00,,
126 9099-A,,0.00,,
126 9100,,0.00,,
126 9101,,0.00,,
126 9102,,0.00,,
126 9103,,0.00,,
126 9104,,0.00,,
126 9105,,0.00,,
126 9106,,0.00,,
126 9107,,0.00,,
126 9107-A,,0.00,,
126 9108,,0.00,,
126 9109,,0.00,,
126 9110,,0.00,,
126 9110-A,,0.00,,
126 9111,,0.00,,
126 9112 ,,0.00,,
126 9114,,0.00,,
126 9115,,0.00,,
126 9116,,0.00,,
126 9117,,0.00,,
126 9118,,0.00,,
126 9119,,0.00,,
