inx,Tanim,Bolum,UserName
1,KRITER,miStokYonetim,GEDİKPAŞA
2,KRITER,miCariYon,ZEYNEP
3,KRITER,miCariYonet,zburnu
4,VEZNECILER,miPerKZYon,suheyla
5,ZEYTINBURNU,miPerKZYon,suheyla
6,DRAMAN,miPerKZYon,suheyla
7,TOPTAN,miStokKZYon,SUHEYLA
8,VEZNECILER,miPerKZYon,MERVE
10,ZEYTINBURNU,miPerKZYon,BEKIR
11,DRAMAN,miPerKZYon,BEKIR
12,TOPTAN22,miStokKZYon,SUHEYLA
13,ZBURNU,miPerKZYon,ZBURNU
15,MAGAZA_SATIS_TAKIP,miPerYonetim,ERSEN
17,TOPTANMERKEZ,miPerKZYon,bekır
22,ALACAK+TL,miCariYonet,BEKIR
23,MUSTERIALACAK,miCariYonet,BEKIR
24,VEZNRAPOR,miPerKZYon,NURAN
25,ERBIL,miPerKZYon,bekır
26,SATICIKARRAPORU,miFaturaYon,KORGUN
27,SATICIISKONTO,miFaturaYon,KORGUN
28,SATICIISKONTO,miFaturaYon,bekır
29,SATICIKARRAPORU,miFaturaYon,bekır
30,SIPARISANALIZ,miSiparisYon2,SEDA
31,ERBIL,miStokYonetim,bekır
41,6AYONCESI,miCekYon,ERSEN
42,6AYSONRASI,miCekYon,ERSEN
43,ZEYTINBURNU,miPerKZYon,ersen
44,TOPTANKARLILIK,miStokKZYon,BEKIR
45,HAWLERMOL,miPerKZYon,HAWLERMOL
46,HAWLERMOL,miStokYonetim,HAWLERMOL
48,RAYMOOL,miStokYonetim,RAYMOOL
49,RAYMOOLDOGRU,miPerKZYon,RAYMOOL
50,ERBLYEN,miPerKZYon,erbil
52,TOPTAN,miStokYonetim,bekır
53,VEZNECILER,miStokYonetim,bekır
57,KARLILIKRAPORU,miPerKZYon,TABLAMOL
58,MAGAZA_KAR,miirsaliyeYon,BEKIR
59,SATINALMA,miSiparisYon2,SERKAN
61,GELENMAL,miirsaliyeYon,SERKAN
65,KRITER,SatTakip,ZBURNU
66,KARLILIKYENI,miStokKZYon,bekır
68,KARLILIK,miPerKZYon,ERBIL
69,KRITER,miStokYonetim,ERBIL
70,TOPTAN,miStokYonetim,web
77,KRITER,miSiparisYon1,SERKAN
78,PAZARLAMA,miSiparisYon1,SERKAN
79,MALIYET,miPerYonetim,korgun
83,MUSTERISIPARIS,miSiparisYon1,web
84,BORC+USD,miCariYonet,BEKIR
91,MUSTERIALACAK120,miCariYonet,web
92,MUSTERIALACAK150,miCariYonet,web
93,ALACAK+TL,miCariYonet,web
94,ALACAK+USD,miCariYonet,web
95,FIRMA+BORCLARI+USD,miCariYonet,OZGUR
96,FIRMA+BORCLARI+TL,miCariYonet,OZGUR
97,FIRMA+ALACAK+TL,miCariYonet,OZGUR
98,FIRMA+ALACAK+USD,miCariYonet,OZGUR
104,TOPTAN+STOK,miStokYonetim,OZGUR
105,VEZ+ZB+DRAMAN+STOK,miStokYonetim,OZGUR
106,ERBIL+RAYMOLL+STOK,miStokYonetim,OZGUR
112,MAGAZA+SSIP,miSiparisYon2,OZGUR
113,MUSTERI+SIPARIS,miSiparisYon1,OZGUR
116,TOPTAN+KAR,miStokKZYon,web
117,TOPTAN+KAR,miStokKZYon,OZGUR
118,KAR,miPerKZYon,HALIL
120,SASSA,miSiparisYon1,BEKIR
121,KRITER,miCariYonet,GOKHAN
123,ALIS,miirsaliyeYon,BEKIR
125,ERBIL,miKasaYon,web
128,FAMILYKARLILIK,miPerKZYon,FAMILYMOOL
130,ALACAK+USD,miCariYonet,BEKIR
131,TOPTANKARLILIK,miStokKZYon,KÖKSAL
132,VZN/ZYN/DR,miPerKZYon,KÖKSAL
133,ERBIL/RAY/FLM/LALELI,miPerKZYon,KÖKSAL
135,TOPTAN,miStokYonetim,KÖKSAL
136,RAYMOOL,miKasaYon,web
139,FAMILYMOOL,miKasaYon,web
140,BORCUMUZ+TL,miCariYonet,KÖKSAL
141,BORCUMUZ+USD,miCariYonet,KÖKSAL
142,FIRMAALACAKLARIMIZ+TL,miCariYonet,KÖKSAL
143,FIRMAALACAKLARIMIZ+USD,miCariYonet,KÖKSAL
144,MUSTERIALACAK+120,miCariYonet,KÖKSAL
145,MUSTERIALACAK+150,miCariYonet,KÖKSAL
146,VEZNECILER,miKasaYon,web
147,TOPTAN,miKasaYon,web
148,ZEYTINBURNU,miKasaYon,web
149,DRAMAN,miKasaYon,web
150,FAMILYMOOL,miStokYonetim,FAMILYMOOL
153,USDBORC,miCariYonet,GOKHAN
158,AYLIK+VAD+CEK+USD,miCekYon,web
159,AYLIK+VAD+CEK+TL,miCekYon,web
161,DRAMANTAKSITTAHSIL,miTakSatYonetim,web
162,TOPTANTAHSILATLAR,miKasaYon,web
166,BORC+USD,miCariYonet,web
171,SIPARIS,miSiparisYon2,BÜŞRA
173,KARZARAR,miPerKZYon,SEDAT
175,KARLILIK,miPerKZYon,FEYZA
177,VZN/ZB/DRKARLILIK,miPerKZYon,HULYA
178,ALIS,miirsaliyeYon,HULYA
179,LALELI/ERBIL/RAYMOOL/FAMILYKARLILIK,miPerKZYon,HULYA
180,TOPTAN,miStokYonetim,HULYA
181,VZN/ZB/DR,miStokYonetim,HULYA
182,LALELI/ERBIL/RAYMOOL/FAMILY,miStokYonetim,HULYA
184,BORC+TLL,miCariYonet,HULYA
185,BORC+USDD,miCariYonet,HULYA
186,BORC+TL,miCariYonet,web
188,MAGAZA+KAR,miPerKZYon,HAMIDIYE
189,HAMIDIYE,miKasaYon,web
192,KARLILIK,miPerKZYon,FUNDA
197,KRITER444,miPerKZYon,PERAKENDE
198,PERAKENDEKAR,miPerKZYon,PERAKENDE
200,KRITER,miFaturaYon,PERAKENDE
201,VZNKAR,miFaturaYon,PERAKENDE
204,HAMIDIYEKAR,miPerKZYon,hamidiye
205,HAMIDIYEFATKAR,miFaturaYon,hamidiye
207,LALELIKAR,miPerKZYon,LALELİ
208,LALELISATISKAR,miFaturaYon,LALELİ
209,LALELIKARLILIK,miPerKZYon,OZGUR
210,ERBIL+RYM+FM,miPerKZYon,web
211,VZN+ZB+DR+LALE+HMD,miStokYonetim,web
216,ZBURNUFATURALIKAR,miFaturaYon,zburnu
217,MAGAZA+URUN+SATIS,miPerYonetim,web
219,VZN+ZB+DR+LALE+HMD,miPerKZYon,web
221,KRITER1,miSiparisYon2,ERSEN
222,KRITER1,miSiparisYon1,ersen
224,VZN_KAR,miPerYonetim,web
225,TOPTAN,miEn_Filter,web
226,VZN+ZB+DR+LALE+HMD,miEn_Filter,web
227,ERBIL+RYM+FAMILY,miStokYonetim,web
228,ALIS,miStokGCYon,web
231,SIPARISLER,miSiparisYon2,web
233,DAHILI+IRSALIYE,miirsaliyeYon,FUNDA
238,SATICI_KAR_RAPORU,miFaturaYon,HLL
240,SATICI_KAR_RAPORU,miFaturaYon,OZGUR
241,SATICI_KAR_RAPORU,miFaturaYon,FUNDA
242,TOPTANSATIS+KAR,miFaturaYon,web
244,GELEN+MAL,miirsaliyeYon,web
247,TOPTAN+KAR,miFaturaYon,OZGUR
248,KRITER,miPerYonetim,BAHMET
250,KRITER,miFaturaYon,FUNDA
251,SIPARIS,miSiparisYon2,BEKIR
252,FIRMA+BORC+TL,miCariYonet,BAHMET
253,FIRMA+BORC+USD,miCariYonet,BAHMET
254,MUSTERIALACAK+150,miCariYonet,BAHMET
255,GELEN+MAL,miirsaliyeYon,BAHMET
256,MUSTERISIPARIS,miSiparisYon1,BAHMET
257,SIPARISLER,miSiparisYon2,BAHMET
260,VZN+ZB+DR+LALELI+HMD,miPerKZYon,BAHMET
261,ERBIL+RAYMOL+FAMILY,miPerKZYon,BAHMET
263,TOPTAN+KAR,miStokKZYon,BAHMET
264,ALACAKDEKONTU+TL,miCariYon,web
265,ALACAKDEKONTU+USD,miCariYon,web
