kgid,mkgid,RKod,Asorti,Miktar,insUN,insDT,insApp,updUN,updDT,updApp
6808,156522,126,A001,100.0000000000,Samet,2024-11-11 16:40:00.080000,KGShop,,,
6809,156523,126,A001,250.0000000000,Samet,2024-11-11 16:40:00.147000,KGShop,,,
6810,156524,1036,0015,1.0000000000,harun,2024-11-28 10:20:30.887000,KGShop,,,
6815,157580,7,M072,2.0000000000,OZKAN,2025-01-24 12:47:55.540000,KGShop,,,
6816,157581,7,M074,3.0000000000,OZKAN,2025-01-24 12:47:59.867000,KGShop,,,
6817,157583,2582,M008,10000.0000000000,Samet,2025-03-04 12:31:30.887000,KGShop,,,
6818,157589,8104,MR7,57.0000000000,harun,2025-03-26 10:42:37.090000,KGShop,,,
6820,157620,1772,M001,0.7000000000,Samet,2025-04-07 18:06:02.657000,KGShop,,,
6821,157628,1751,M026,0.5000000000,Samet,2025-04-07 19:33:58.980000,KGShop,,,
6822,157629,2236,M004,1.2500000000,Samet,2025-04-07 19:33:59.070000,KGShop,,,
6823,157634,126,A017,1.0000000000,Samet,2025-04-07 19:54:34.730000,KGShop,,,
6824,157639,96,A017,33.0000000000,Samet,2025-04-07 19:57:27.160000,KGShop,,,
6825,157668,3464,M012,1.0000000000,Samet,2025-04-07 20:29:31.900000,KGShop,,,
6826,157669,3464,M012,0.8333333333,Samet,2025-04-07 20:29:35.540000,KGShop,,,
6827,157670,198,M014,0.9166666667,Samet,2025-04-08 01:37:50.543000,KGShop,,,
6828,157671,198,M024,0.9500000000,Samet,2025-04-08 01:38:14.523000,KGShop,,,
6829,157691,1718,M001,3.0000000000,Samet,2025-04-08 16:55:19.333000,KGShop,,,
6830,157692,1718,M008,4.0000000000,Samet,2025-04-08 16:55:23.390000,KGShop,,,
6835,157697,717,M024,2.0000000000,Samet,2025-04-08 18:24:26.180000,KGShop,,,
6836,157698,5989,M016,0.1000000000,Samet,2025-04-08 18:24:26.197000,KGShop,,,
6837,157730,4845,M016,1.0000000000,Samet,2025-04-10 11:52:02.930000,KGShop_SIPYAZDIR,,,
6838,157731,5272,M001,3.0000000000,Samet,2025-04-10 11:52:02.977000,KGShop_SIPYAZDIR,,,
6839,157732,3387,M012,3.0000000000,Samet,2025-04-10 12:20:46.840000,KGShop_SIPYAZDIR,,,
6840,158733,1,A003,3.0000000000,Samet,2025-04-17 14:16:01.560000,KGShop_UPDATE,,,
6841,158734,1,A003,5.0000000000,Samet,2025-04-17 14:16:01.590000,KGShop_UPDATE,,,
6842,160013,8105,A001,1999999.0000000000,Samet,2025-05-22 12:27:35.097000,KGShop_efatdeneme,,,
