FisTip,FisNo,Location,HucreNo,BelgeNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,666,LN001,10101,,3,,,,,,
0,673,LN001,10107,,7,,,,,,
0,675,LN001,10108,,8,,,,,,
0,690,LN001,10117,,18,,,,,,
0,692,LN001,10118,,19,,,,,,
0,699,LN001,10119,,21,,,,,,
0,705,LN001,10124,,24,,,,,,
0,715,LN001,10129,,31,,,,,,
0,738,LN001,10139,,40,,,,,,
0,748,LN001,10145,,42,,,,,,
0,749,LN001,10146,,43,,,,,,
0,751,LN001,10140,,44,,,,,,
0,819,LN001,10157,,58,,,,,,
0,859,LN001,10159,,69,,,,,,
0,918,LN001,10173,,74,,,,,,
0,1101,LN001,10034,,5136,,,,,,
0,1121,LN001,10045,,6065,DeryaYD,2024-10-17 13:04:18.800000,KGWMSREST,,,
0,1153,LN001,10068,,7659,Yasar,2024-11-02 10:14:51.643000,KGWMSREST,,,
0,1183,LN001,10087,,10451,kadirglobal,2024-11-12 23:49:46.297000,KGWMSREST,,,
0,1187,LN001,10091,,10644,kadirglobal,2024-11-14 10:36:33.277000,KGWMSREST,,,
0,1194,LN001,10090,,10819,DeryaYD,2024-11-14 20:08:02.130000,KGWMSREST,,,
0,1195,LN001,10096,,10820,muhammedglobal,2024-11-14 22:17:38.143000,KGWMSREST,,,
0,1196,LN001,10097,,10821,kadirglobal,2024-11-15 00:42:05.977000,KGWMSREST,,,
0,1199,LN001,10178,,11110,EmelYD,2024-11-16 14:09:31.110000,KGWMSREST,,,
0,1205,LN001,10088,,11144,DeryaYD,2024-11-17 00:12:49.847000,KGWMSREST,,,
0,1207,Ln001,10181,,11200,DeryaYD,2024-11-17 18:26:07.197000,KGWMSREST,,,
0,1211,Ln001,10182,,11201,DeryaYD,2024-11-17 19:08:09.903000,KGWMSREST,,,
0,1214,LN001,10185,,11508,DeryaYD,2024-11-18 19:48:09.473000,KGWMSREST,,,
0,1215,LN001,10186,,11509,DeryaYD,2024-11-18 19:59:45.290000,KGWMSREST,,,
