ISOCODE,Tanim,DBName
AED,Dirham,LINDON
AFN,Afghani,LINDON
ALL,Lek,LINDON
AMD,Dram,LINDON
ANG,Netherlands Antillian Guilder,LINDON
AOA,Kwanza,LINDON
ARS,Argentine Peso,LINDON
AUD,Australian Dollar,LINDON
AWG,Aruban Guilder,LINDON
AZM,Azerbaijanian Manat,LINDON
BAM,Convertible Mark,LINDON
BBD,Barbados Dollar,LINDON
BDT,Taka,LINDON
BGN,Bulgarian Lev,LINDON
BHD,Bahraini Dinar,LINDON
BIF,Burundi Franc,LINDON
BMD,Bermuda Dollar,LINDON
BND,Brunei Dollar,LINDON
BOB,Boliviano,LINDON
BRL,Brazilian Real,LINDON
BSD,Bahamian Dollar,LINDON
BTN,Ngultrum,LINDON
BWP,Pula,LINDON
BYR,Belarussian Ruble,LINDON
BZD,Belize Dollar,LINDON
CAD,Canadian Dollar,LINDON
CDF,Franc Congolais,LINDON
CHF,Swiss Franc,LINDON
CLP,Chilean Peso,LINDON
CNY,Yuan Renminbi,LINDON
COP,Colombian Peso,LINDON
CRC,Costa Rican Colon,LINDON
CUP,Cuban Peso,LINDON
CVE,Cape Verde Escudo,LINDON
CYP,Cyprus Pound,LINDON
CZK,Czech Koruna,LINDON
DJF,Djibouti Franc,LINDON
DKK,Danish Krone,LINDON
DOP,Dominican Peso,LINDON
DZD,Algerian Dinar,LINDON
EEK,Kroon,LINDON
EGP,Egyptian Pound,LINDON
ERN,Nakfa,LINDON
ETB,Ethopian Birr,LINDON
EUR,Euro,LINDON
FJD,Fiji Dollar,LINDON
FKP,Falkland Islands Pound,LINDON
GBP,Pound Sterling,LINDON
GEL,Lari,LINDON
GHC,Cedi,LINDON
GIP,Gibraltar Pound,LINDON
GMD,Dalasi,LINDON
GNF,Guinea Franc,LINDON
GTQ,Quetzal,LINDON
GYD,Guyana Dollar,LINDON
HKD,Honk Kong Dollar,LINDON
HNL,Lempira,LINDON
HRK,Kuna,LINDON
HTG,Gourde,LINDON
HUF,Forint,LINDON
IDR,Rupiah,LINDON
ILS,New Israeli Sheqel,LINDON
INR,Indian Rupee,LINDON
IQD,Iraqi Dinar,LINDON
IRR,Iranian Rial,LINDON
ISK,Iceland Krona,LINDON
JMD,Jamaican Dollar,LINDON
JOD,Jordanian Dinar,LINDON
JPY,Yen,LINDON
KES,Kenyan Shilling,LINDON
KGS,Som,LINDON
KHR,Riel,LINDON
KMF,Comoro Franc,LINDON
KPW,North Korean Won,LINDON
KRW,Won,LINDON
KWD,Kuwaiti Dinar,LINDON
KYD,Cayman Islands Dollar,LINDON
KZT,Tenge,LINDON
LAK,Kip,LINDON
LBP,Lebanese Pound,LINDON
LKR,Sri Lanka Rupee,LINDON
LRD,Liberian Dollar,LINDON
LSL,Loti,LINDON
LTL,Lithuanian Litas,LINDON
LVL,Latvian Lats,LINDON
LYD,Libyan Dinar,LINDON
MAD,Morrocan Dirham,LINDON
MDL,Moldovan Leu,LINDON
MGF,Malagasy Franc,LINDON
MKD,Denar,LINDON
MMK,Kyat,LINDON
MNT,Tugrik,LINDON
MOP,Pataca,LINDON
MRO,Ouguiya,LINDON
MTL,Maltese Lira,LINDON
MUR,Mauritius Rupee,LINDON
MVR,Rufiyaa,LINDON
MWK,Kwacha,LINDON
MXN,Mexican Peso,LINDON
MYR,Malaysian Ringgit,LINDON
MZM,Metical,LINDON
NAD,Namibia Dollar,LINDON
NGN,Naira,LINDON
NIO,Cordoba Oro,LINDON
NOK,Norwegian Krone,LINDON
NPR,Nepalese Rupee,LINDON
NZD,New Zealand Dollar,LINDON
OMR,Rial Omani,LINDON
PAB,Balboa,LINDON
PEN,Nuevo Sol,LINDON
PGK,Kina,LINDON
PHP,Philippine Peso,LINDON
PKR,Pakistan Rupee,LINDON
PLN,Zloty,LINDON
PYG,Guarani,LINDON
QAR,Qatari Rial,LINDON
ROL,Leu,LINDON
RUB,Russian Ruble,LINDON
RWF,Rwanda Franc,LINDON
SAR,Saudi Riyal,LINDON
SBD,Solomon Islands Dollar,LINDON
SCR,Seychelles Rupee,LINDON
SDD,Sudanese Dinar,LINDON
SEK,Swedish Krona,LINDON
SGD,Singapore Dollar,LINDON
SHP,St. Helena Pound,LINDON
SIT,Tolar,LINDON
SKK,Slovak Koruna,LINDON
SLL,Leone,LINDON
SOS,Somali Shilling,LINDON
SRG,Suriname Guilder,LINDON
STD,Dobra,LINDON
SVC,El Salvador Colon,LINDON
SYP,Syrian Pound,LINDON
SZL,Lilangeni,LINDON
THB,Baht,LINDON
TJS,Somoni,LINDON
TMM,Manat,LINDON
TND,Tunisian Dinar,LINDON
TOP,Pa'anga,LINDON
TRY,Türk Lirası,LINDON
TTD,Trinidad and Tobago Dollar,LINDON
TWD,New Taiwan Dollar,LINDON
TZS,Tanzanian Shilling,LINDON
UAH,Hryvnia,LINDON
UGX,Uganda Shilling,LINDON
USD,Amerikan Doları,LINDON
UYU,Peso Uruguayo,LINDON
UZS,Uzbekistan Sum,LINDON
VEB,Bolivar,LINDON
VND,Dong,LINDON
VUV,Vatu,LINDON
WST,Tala,LINDON
XAF,CFA Franc,LINDON
XAG,Silver,LINDON
XAU,Gold,LINDON
XCD,East Carribean Dollar,LINDON
XDR,SDR,LINDON
XOF,CFA Franc,LINDON
XPD,Palladium,LINDON
XPF,CFP Franc,LINDON
XPT,Platinum,LINDON
YER,Yemeni Rial,LINDON
YUM,New Dinar,LINDON
ZAR,Rand,LINDON
ZMK,Kwacha,LINDON
ZWD,Zimbabwe Dollar,LINDON
AED,Dirham,LINDONSENTOS
AFN,Afghani,LINDONSENTOS
ALL,Lek,LINDONSENTOS
AMD,Dram,LINDONSENTOS
ANG,Netherlands Antillian Guilder,LINDONSENTOS
AOA,Kwanza,LINDONSENTOS
ARS,Argentine Peso,LINDONSENTOS
AUD,Australian Dollar,LINDONSENTOS
AWG,Aruban Guilder,LINDONSENTOS
AZM,Azerbaijanian Manat,LINDONSENTOS
BAM,Convertible Mark,LINDONSENTOS
BBD,Barbados Dollar,LINDONSENTOS
BDT,Taka,LINDONSENTOS
BGN,Bulgarian Lev,LINDONSENTOS
BHD,Bahraini Dinar,LINDONSENTOS
BIF,Burundi Franc,LINDONSENTOS
BMD,Bermuda Dollar,LINDONSENTOS
BND,Brunei Dollar,LINDONSENTOS
