Company,Location,CKod
01,,
01,-,1.000524.030
01,-,1.01030.030
01,-,1.01031.030
01,-,335.002.054
01,-,335.002.055
01,-,335.002.056
01,-,N0130
01,-,N0132
01,-,N0133
01,-,N0134
01,-,N0135
01,-,N0136
01,-,N0137
01,-,N0138
01,-,N1658
01,-,N1921
01,KM01,300
01,KM01,999
01,KS001,1.000001.030
01,KS001,1.000002.030
01,KS001,1.000003.030
01,KS001,1.000004.025
01,KS001,1.000005.030
01,KS001,1.000006.030
01,KS001,1.000007.030
01,KS001,1.000008.050
01,KS001,1.000009.030
01,KS001,1.000010.030
01,KS001,1.000011.030
01,KS001,1.000012.030
01,KS001,1.000013.030
01,KS001,1.000014.030
01,KS001,1.000015.030
01,KS001,1.000016.030
01,KS001,1.000017.050
01,KS001,1.000018.030
01,KS001,1.000019.050
01,KS001,1.000020.030
01,KS001,1.000021.030
01,KS001,1.000022.030
01,KS001,1.000023.030
01,KS001,1.000024.030
01,KS001,1.000025.030
01,KS001,1.000026.030
01,KS001,1.000027.030
01,KS001,1.000028.030
01,KS001,1.000029.030
01,KS001,1.000030.030
01,KS001,1.000031.050
01,KS001,1.000032.050
01,KS001,1.000033.030
01,KS001,1.000034.030
01,KS001,1.000035.030
01,KS001,1.000036.030
01,KS001,1.000037.030
01,KS001,1.000038.030
01,KS001,1.000039.030
01,KS001,1.000040.030
01,KS001,1.000041.030
01,KS001,1.000042.030
01,KS001,1.000043.030
01,KS001,1.000044.030
01,KS001,1.000045.030
01,KS001,1.000046.030
01,KS001,1.000047.030
01,KS001,1.000048.030
01,KS001,1.000049.030
01,KS001,1.000050.030
01,KS001,1.000051.030
01,KS001,1.000052.030
01,KS001,1.000053.030
01,KS001,1.000054.030
01,KS001,1.000055.030
01,KS001,1.000056.030
01,KS001,1.000057.030
01,KS001,1.0000577.030
01,KS001,1.000058.030
01,KS001,1.000059.030
01,KS001,1.000060.030
01,KS001,1.000061.030
01,KS001,1.000062.030
01,KS001,1.000063.030
01,KS001,1.000064.050
01,KS001,1.000065.030
01,KS001,1.000066.030
01,KS001,1.000067.030
01,KS001,1.000068.030
01,KS001,1.000069.030
01,KS001,1.000070.030
01,KS001,1.000071.030
01,KS001,1.000072.030
01,KS001,1.000073.050
01,KS001,1.000074.030
01,KS001,1.000075.030
01,KS001,1.000076.030
01,KS001,1.000077.030
01,KS001,1.000078.030
01,KS001,1.000079.030
01,KS001,1.000080.030
01,KS001,1.000081.030
01,KS001,1.000082.030
01,KS001,1.000083.030
01,KS001,1.000084.030
01,KS001,1.000085.030
01,KS001,1.000086.030
01,KS001,1.000087.030
01,KS001,1.000088.030
01,KS001,1.000089.030
01,KS001,1.000090.030
01,KS001,1.000091.030
01,KS001,1.000092.050
01,KS001,1.000093.050
01,KS001,1.000094.030
01,KS001,1.000095.030
01,KS001,1.000096.030
01,KS001,1.000097.030
01,KS001,1.000098.030
01,KS001,1.000099.030
01,KS001,1.000100.030
01,KS001,1.000101.030
01,KS001,1.000102.050
01,KS001,1.000103.030
01,KS001,1.000104.030
01,KS001,1.000105.030
01,KS001,1.000106.030
01,KS001,1.000107.030
01,KS001,1.000108.030
01,KS001,1.000109.030
01,KS001,1.000110.030
01,KS001,1.000111.030
01,KS001,1.000112.030
01,KS001,1.000113.030
01,KS001,1.000114.030
01,KS001,1.000115.030
01,KS001,1.000116.030
01,KS001,1.000117.030
01,KS001,1.000118.030
01,KS001,1.000119.030
01,KS001,1.000120.030
01,KS001,1.000121.030
01,KS001,1.000122.030
01,KS001,1.000123.030
01,KS001,1.000124.030
01,KS001,1.000125.050
01,KS001,1.000126.030
01,KS001,1.000127.030
01,KS001,1.000128.030
01,KS001,1.000129.030
01,KS001,1.000130.030
01,KS001,1.000131.030
01,KS001,1.000132.030
01,KS001,1.000133.030
01,KS001,1.000134.030
01,KS001,1.000135.030
01,KS001,1.000136.030
01,KS001,1.000137.050
01,KS001,1.000138.030
01,KS001,1.000139.030
01,KS001,1.000140.030
01,KS001,1.000141.030
01,KS001,1.000142.030
01,KS001,1.000143.030
01,KS001,1.000144.030
01,KS001,1.000144.050
01,KS001,1.000145.030
01,KS001,1.000146.030
01,KS001,1.000147.030
01,KS001,1.000148.030
01,KS001,1.000149.030
01,KS001,1.000150.030
01,KS001,1.000151.030
01,KS001,1.000152.030
01,KS001,1.000153.030
01,KS001,1.000154.030
01,KS001,1.000155.030
01,KS001,1.000156.030
01,KS001,1.000157.030
01,KS001,1.000158.030
01,KS001,1.000159.030
01,KS001,1.000160.030
01,KS001,1.000161.050
01,KS001,1.000162.050
01,KS001,1.000164.050
01,KS001,1.000168.030
01,KS001,1.000169.030
01,KS001,1.000170.030
01,KS001,1.000171.030
01,KS001,1.000173.050
01,KS001,1.000174.030
01,KS001,1.000175.030
01,KS001,1.000176.030
01,KS001,1.000177.030
01,KS001,1.000178.030
01,KS001,1.000181.050
01,KS001,1.000182.050
01,KS001,1.000183.050
01,KS001,1.000185.030
01,KS001,1.000186.030
01,KS001,1.000189.030
01,KS001,1.000190.030
01,KS001,1.000191.030
01,KS001,1.000192.030
01,KS001,1.000193.050
01,KS001,1.000194.030
01,KS001,1.000195.030
01,KS001,1.000198.050
01,KS001,1.000200.030
01,KS001,1.000202.030
01,KS001,1.000206.030
01,KS001,1.000207.030
01,KS001,1.000209.030
01,KS001,1.000210.030
01,KS001,1.000211.030
01,KS001,1.000213.030
01,KS001,1.000214.050
01,KS001,1.000215.030
01,KS001,1.000216.030
01,KS001,1.000217.030
01,KS001,1.000218.030
01,KS001,1.000219.050
01,KS001,1.000221.050
01,KS001,1.000222.050
01,KS001,1.000223.030
01,KS001,1.000224.030
01,KS001,1.000226.050
01,KS001,1.000227.030
01,KS001,1.000229.030
01,KS001,1.000230.030
01,KS001,1.000231.030
01,KS001,1.000232.050
01,KS001,1.000233.030
01,KS001,1.000234.030
01,KS001,1.000235.030
01,KS001,1.000236.030
01,KS001,1.000237.030
01,KS001,1.000238.030
01,KS001,1.000239.030
01,KS001,1.000240.030
01,KS001,1.000241.030
01,KS001,1.000244.030
01,KS001,1.000246.050
01,KS001,1.000247.050
01,KS001,1.000248.030
01,KS001,1.000249.030
01,KS001,1.000250.030
01,KS001,1.000251.030
01,KS001,1.000253.030
01,KS001,1.000254.030
01,KS001,1.000255.030
01,KS001,1.000259.030
01,KS001,1.000260.030
01,KS001,1.000261.030
01,KS001,1.000262.030
01,KS001,1.000264.030
01,KS001,1.000265.030
01,KS001,1.000266.050
01,KS001,1.000268.030
01,KS001,1.000269.030
01,KS001,1.000270.030
01,KS001,1.000271.050
01,KS001,1.000272.030
01,KS001,1.000273.030
01,KS001,1.000274.030
01,KS001,1.000277.030
01,KS001,1.000279.050
01,KS001,1.000281.030
01,KS001,1.000282.030
01,KS001,1.000283.030
01,KS001,1.000284.050
01,KS001,1.000285.050
01,KS001,1.000286.030
01,KS001,1.000287.030
01,KS001,1.000288.050
01,KS001,1.000289.030
01,KS001,1.000290.030
01,KS001,1.000291.030
01,KS001,1.000292.030
01,KS001,1.000293.030
01,KS001,1.000294.030
01,KS001,1.000295.030
01,KS001,1.000296.030
01,KS001,1.000297.030
01,KS001,1.000298.030
01,KS001,1.000299.030
01,KS001,1.000300.030
01,KS001,1.000301.030
01,KS001,1.000302.030
01,KS001,1.000304.030
01,KS001,1.000305.050
01,KS001,1.000306.050
01,KS001,1.000307.030
01,KS001,1.000308.030
01,KS001,1.000309.030
01,KS001,1.000310.030
01,KS001,1.000312.030
01,KS001,1.000316.030
01,KS001,1.000319.050
01,KS001,1.000320.030
01,KS001,1.000321.030
01,KS001,1.000322.030
01,KS001,1.000323.030
01,KS001,1.000325.030
01,KS001,1.000327.030
01,KS001,1.000328.030
01,KS001,1.000329.030
01,KS001,1.000332.030
01,KS001,1.000333.030
01,KS001,1.000334.030
