Ulke,Sehir,ilce,kgid,insUN,insDT,insApp,updUN,updDT,updApp
,,,2542,harun,2025-01-29 20:22:51.967000,KGShop,,,
A Arabistan,,,20,,,,dbo,2024-04-24 12:29:48.910000,
Afganistan,,,1,,,,,,
Afganistan,Ghazni,,2,,,,,,
Almanya,,,3,,,,,,
Almanya,,Ataşehir,2541,harun,2024-08-01 09:47:53.887000,KGShop,,,
Almanya,Amberg,Nümberg,4,,,,,,
Amerika Birle?ik Devletleri,,,5,,,,,,
Amerika Birle?ik Devletleri,Florida,,6,,,,,,
Amerika Birle?ik Devletleri,Florida,Tamarac,7,,,,,,
Amerika Birle?ik Devletleri,Pennsylvania,,8,,,,,,
Amerika Birleşik Devletleri,,,9,,,,,,
Amerika Birleşik Devletleri,California,Odunpazarı,10,,,,,,
Amerika Birleşik Devletleri,Florida,Tamarac,11,,,,,,
Amerika Birleşik Devletleri,Georgia,,12,,,,,,
Amerika Birleşik Devletleri,KahramanMaraş,,13,,,,,,
Amerika Birleşik Devletleri,Massachusetts,,14,,,,,,
Amerika Birleşik Devletleri,New York,,15,,,,,,
Andorra,,,16,,,,,,
Andorra,Les Escaldes,,17,,,,,,
Angola,,,18,,,,,,
Antartika,,,19,,,,,,
Arjantin,,,21,,,,,,
Arnavutluk,,,22,,,,,,
Arnavutluk,İstanbul,,23,,,,,,
Arnavutluk,Sakarya,,24,,,,,,
Arnavutluk,Zonguldak,,25,,,,,,
Aruba,,,26,,,,,,
Avustralya,,,27,,,,,,
Avustralya,Melbourne,,28,,,,,,
Avusturya,,,29,,,,,,
Azerbeycan,,,30,,,,,,
Azerbeycan,Baku,,31,,,,,,
Azerbeycan,Baku,BAKU ,32,,,,,,
Azerbeycan,Edirne,,33,,,,,,
Azerbeycan,İstanbul,,34,,,,,,
Azerbeycan,Sumqayıt,,35,,,,,,
Azerbeycan,Z,,36,,,,,,
Bahreyn,,,37,,,,,,
Bangladeş,,,38,,,,,,
Belçika,,,39,,,,,,
Benin,,,40,,,,,,
Beyaz Rusya,,,41,,,,,,
Birle?ik Arap Emirlikleri,,,42,,,,,,
Birleşik Arap Emirlikleri,,,43,,,,,,
Birleşik Arap Emirlikleri,DUBAİ,,44,,,,,,
Birleşik Arap Emirlikleri,Sharjah,,45,,,,,,
Bolivya,,,46,,,,,,
Bosna Hersek,,,47,,,,,,
Botswana,,,48,,,,,,
Brezilya,,,49,,,,,,
Brezilya,Rio De Janeiro,St Starion,50,,,,,,
Brunei,,,51,,,,,,
Bulgaristan,,,52,,,,,,
Burkina Faso,,,53,,,,,,
Burundi,,,54,,,,,,
Cayman Islands,,,55,,,,,,
Cezayir,,,56,,,,,,
Cezayir,İstanbul,,57,,,,,,
Cibuti,,,58,,,,,,
Çad,,,59,,,,,,
Çek Cumhuriyeti,,,60,,,,,,
Çin,,,61,,,,,,
Danimarka,,,62,,,,,,
Dominica,,,63,,,,,,
Ekvator,,,64,,,,,,
Ekvator Ginesi,,,65,,,,,,
El Salvador,,,66,,,,,,
Endonezya,,,67,,,,,,
Eritre,,,68,,,,,,
Ermenistan,,,69,,,,,,
Estonya,,,70,,,,,,
Estonya,Tallinn,,71,,,,,,
Etiyopya,,,72,,,,,,
Etiyopya,Addis Ababa,,73,,,,,,
Etiyopya,Balti,,74,,,,,,
Etiyopya,ı,,75,,,,,,
Etiyopya,İstanbul,,76,,,,,,
Falkland Adaları,,,77,,,,,,
Faroe Adaları,,,78,,,,,,
Fildişi Sahili,,,79,,,,,,
Filipinler,,,80,,,,,,
Filistin,,,81,,,,,,
