kod,name1,name2,DBName
01,ADANA,ADANA,Antrepo20
02,ADIYAMAN,ADIYAMAN,Antrepo20
03,AFYONKARAHİSAR,AFYONKARAHİSAR,Antrepo20
04,AĞRI,AĞRI,Antrepo20
05,AMASYA,AMASYA,Antrepo20
06,ANKARA,ANKARA,Antrepo20
07,ANTALYA,ANTALYA,Antrepo20
08,ARTVİN,ARTVİN,Antrepo20
09,AYDIN,AYDIN,Antrepo20
10,BALIKESİR,BALIKESİR,Antrepo20
11,BİLECİK,BİLECİK,Antrepo20
12,BİNGÖL,BİNGÖL,Antrepo20
13,BİTLİS,BİTLİS,Antrepo20
14,BOLU,BOLU,Antrepo20
15,BURDUR,BURDUR,Antrepo20
16,BURSA,BURSA,Antrepo20
17,ÇANAKKALE,ÇANAKKALE,Antrepo20
18,ÇANKIRI,ÇANKIRI,Antrepo20
19,ÇORUM,ÇORUM,Antrepo20
20,DENİZLİ,DENİZLİ,Antrepo20
21,DİYARBAKIR,DİYARBAKIR,Antrepo20
22,EDİRNE,EDİRNE,Antrepo20
23,ELAZIĞ,ELAZIĞ,Antrepo20
24,ERZİNCAN,ERZİNCAN,Antrepo20
25,ERZURUM,ERZURUM,Antrepo20
26,ESKİŞEHİR,ESKİŞEHİR,Antrepo20
27,GAZİANTEP,GAZİANTEP,Antrepo20
28,GİRESUN,GİRESUN,Antrepo20
29,GÜMÜŞHANE,GÜMÜŞHANE,Antrepo20
30,HAKKARİ,HAKKARİ,Antrepo20
31,HATAY,HATAY,Antrepo20
32,ISPARTA,ISPARTA,Antrepo20
33,MERSİN,MERSİN,Antrepo20
34,İSTANBUL,İSTANBUL,Antrepo20
35,İZMİR,İZMİR,Antrepo20
36,KARS,KARS,Antrepo20
37,KASTAMONU,KASTAMONU,Antrepo20
38,KAYSERİ,KAYSERİ,Antrepo20
39,KIRKLARELİ,KIRKLARELİ,Antrepo20
40,KIRŞEHİR,KIRŞEHİR,Antrepo20
41,KOCAELİ,İZMİT,Antrepo20
42,KONYA,KONYA,Antrepo20
43,KÜTAHYA,KÜTAHYA,Antrepo20
44,MALATYA,MALATYA,Antrepo20
45,MANİSA,MANİSA,Antrepo20
46,KAHRAMANMARAŞ,KAHRAMANMARAŞ,Antrepo20
47,MARDİN,MARDİN,Antrepo20
48,MUĞLA,MUĞLA,Antrepo20
49,MUŞ,MUŞ,Antrepo20
50,NEVŞEHİR,NEVŞEHİR,Antrepo20
51,NİĞDE,NİĞDE,Antrepo20
52,ORDU,ORDU,Antrepo20
53,RİZE,RİZE,Antrepo20
54,SAKARYA,ADAPAZARI,Antrepo20
55,SAMSUN,SAMSUN,Antrepo20
56,SİİRT,SİİRT,Antrepo20
57,SİNOP,SİNOP,Antrepo20
58,SİVAS,SİVAS,Antrepo20
59,TEKİRDAĞ,TEKİRDAĞ,Antrepo20
60,TOKAT,TOKAT,Antrepo20
61,TRABZON,TRABZON,Antrepo20
62,TUNCELİ,TUNCELİ,Antrepo20
63,ŞANLIURFA,ŞANLIURFA,Antrepo20
64,UŞAK,UŞAK,Antrepo20
65,VAN,VAN,Antrepo20
66,YOZGAT,YOZGAT,Antrepo20
67,ZONGULDAK,ZONGULDAK,Antrepo20
68,AKSARAY,AKSARAY,Antrepo20
69,BAYBURT,BAYBURT,Antrepo20
70,KARAMAN,KARAMAN,Antrepo20
71,KIRIKKALE,KIRIKKALE,Antrepo20
72,BATMAN,BATMAN,Antrepo20
73,ŞIRNAK,ŞIRNAK,Antrepo20
74,BARTIN,BARTIN,Antrepo20
75,ARDAHAN,ARDAHAN,Antrepo20
76,IĞDIR,IĞDIR,Antrepo20
77,YALOVA,YALOVA,Antrepo20
78,KARABÜK,KARABÜK,Antrepo20
79,KİLİS,KİLİS,Antrepo20
80,OSMANİYE,OSMANİYE,Antrepo20
81,DÜZCE,DÜZCE,Antrepo20
01,ADANA,ADANA,Cabani20
02,ADIYAMAN,ADIYAMAN,Cabani20
03,AFYONKARAHİSAR,AFYONKARAHİSAR,Cabani20
04,AĞRI,AĞRI,Cabani20
05,AMASYA,AMASYA,Cabani20
06,ANKARA,ANKARA,Cabani20
07,ANTALYA,ANTALYA,Cabani20
08,ARTVİN,ARTVİN,Cabani20
09,AYDIN,AYDIN,Cabani20
10,BALIKESİR,BALIKESİR,Cabani20
11,BİLECİK,BİLECİK,Cabani20
12,BİNGÖL,BİNGÖL,Cabani20
13,BİTLİS,BİTLİS,Cabani20
14,BOLU,BOLU,Cabani20
15,BURDUR,BURDUR,Cabani20
16,BURSA,BURSA,Cabani20
17,ÇANAKKALE,ÇANAKKALE,Cabani20
18,ÇANKIRI,ÇANKIRI,Cabani20
19,ÇORUM,ÇORUM,Cabani20
20,DENİZLİ,DENİZLİ,Cabani20
21,DİYARBAKIR,DİYARBAKIR,Cabani20
22,EDİRNE,EDİRNE,Cabani20
23,ELAZIĞ,ELAZIĞ,Cabani20
24,ERZİNCAN,ERZİNCAN,Cabani20
25,ERZURUM,ERZURUM,Cabani20
26,ESKİŞEHİR,ESKİŞEHİR,Cabani20
27,GAZİANTEP,GAZİANTEP,Cabani20
28,GİRESUN,GİRESUN,Cabani20
29,GÜMÜŞHANE,GÜMÜŞHANE,Cabani20
30,HAKKARİ,HAKKARİ,Cabani20
31,HATAY,HATAY,Cabani20
32,ISPARTA,ISPARTA,Cabani20
33,MERSİN,MERSİN,Cabani20
34,İSTANBUL,İSTANBUL,Cabani20
35,İZMİR,İZMİR,Cabani20
36,KARS,KARS,Cabani20
37,KASTAMONU,KASTAMONU,Cabani20
38,KAYSERİ,KAYSERİ,Cabani20
39,KIRKLARELİ,KIRKLARELİ,Cabani20
40,KIRŞEHİR,KIRŞEHİR,Cabani20
41,KOCAELİ,İZMİT,Cabani20
42,KONYA,KONYA,Cabani20
43,KÜTAHYA,KÜTAHYA,Cabani20
44,MALATYA,MALATYA,Cabani20
45,MANİSA,MANİSA,Cabani20
46,KAHRAMANMARAŞ,KAHRAMANMARAŞ,Cabani20
47,MARDİN,MARDİN,Cabani20
48,MUĞLA,MUĞLA,Cabani20
49,MUŞ,MUŞ,Cabani20
50,NEVŞEHİR,NEVŞEHİR,Cabani20
51,NİĞDE,NİĞDE,Cabani20
52,ORDU,ORDU,Cabani20
53,RİZE,RİZE,Cabani20
54,SAKARYA,ADAPAZARI,Cabani20
55,SAMSUN,SAMSUN,Cabani20
56,SİİRT,SİİRT,Cabani20
57,SİNOP,SİNOP,Cabani20
58,SİVAS,SİVAS,Cabani20
59,TEKİRDAĞ,TEKİRDAĞ,Cabani20
60,TOKAT,TOKAT,Cabani20
61,TRABZON,TRABZON,Cabani20
62,TUNCELİ,TUNCELİ,Cabani20
63,ŞANLIURFA,ŞANLIURFA,Cabani20
64,UŞAK,UŞAK,Cabani20
65,VAN,VAN,Cabani20
66,YOZGAT,YOZGAT,Cabani20
67,ZONGULDAK,ZONGULDAK,Cabani20
68,AKSARAY,AKSARAY,Cabani20
69,BAYBURT,BAYBURT,Cabani20
70,KARAMAN,KARAMAN,Cabani20
71,KIRIKKALE,KIRIKKALE,Cabani20
72,BATMAN,BATMAN,Cabani20
73,ŞIRNAK,ŞIRNAK,Cabani20
74,BARTIN,BARTIN,Cabani20
75,ARDAHAN,ARDAHAN,Cabani20
76,IĞDIR,IĞDIR,Cabani20
77,YALOVA,YALOVA,Cabani20
78,KARABÜK,KARABÜK,Cabani20
79,KİLİS,KİLİS,Cabani20
80,OSMANİYE,OSMANİYE,Cabani20
81,DÜZCE,DÜZCE,Cabani20
01,ADANA,ADANA,KORGUNYAZILIM1910
02,ADIYAMAN,ADIYAMAN,KORGUNYAZILIM1910
03,AFYONKARAHİSAR,AFYONKARAHİSAR,KORGUNYAZILIM1910
04,AĞRI,AĞRI,KORGUNYAZILIM1910
05,AMASYA,AMASYA,KORGUNYAZILIM1910
06,ANKARA,ANKARA,KORGUNYAZILIM1910
07,ANTALYA,ANTALYA,KORGUNYAZILIM1910
08,ARTVİN,ARTVİN,KORGUNYAZILIM1910
09,AYDIN,AYDIN,KORGUNYAZILIM1910
10,BALIKESİR,BALIKESİR,KORGUNYAZILIM1910
11,BİLECİK,BİLECİK,KORGUNYAZILIM1910
12,BİNGÖL,BİNGÖL,KORGUNYAZILIM1910
13,BİTLİS,BİTLİS,KORGUNYAZILIM1910
14,BOLU,BOLU,KORGUNYAZILIM1910
15,BURDUR,BURDUR,KORGUNYAZILIM1910
16,BURSA,BURSA,KORGUNYAZILIM1910
17,ÇANAKKALE,ÇANAKKALE,KORGUNYAZILIM1910
18,ÇANKIRI,ÇANKIRI,KORGUNYAZILIM1910
19,ÇORUM,ÇORUM,KORGUNYAZILIM1910
20,DENİZLİ,DENİZLİ,KORGUNYAZILIM1910
21,DİYARBAKIR,DİYARBAKIR,KORGUNYAZILIM1910
22,EDİRNE,EDİRNE,KORGUNYAZILIM1910
23,ELAZIĞ,ELAZIĞ,KORGUNYAZILIM1910
24,ERZİNCAN,ERZİNCAN,KORGUNYAZILIM1910
25,ERZURUM,ERZURUM,KORGUNYAZILIM1910
26,ESKİŞEHİR,ESKİŞEHİR,KORGUNYAZILIM1910
27,GAZİANTEP,GAZİANTEP,KORGUNYAZILIM1910
28,GİRESUN,GİRESUN,KORGUNYAZILIM1910
29,GÜMÜŞHANE,GÜMÜŞHANE,KORGUNYAZILIM1910
30,HAKKARİ,HAKKARİ,KORGUNYAZILIM1910
31,HATAY,HATAY,KORGUNYAZILIM1910
32,ISPARTA,ISPARTA,KORGUNYAZILIM1910
33,MERSİN,MERSİN,KORGUNYAZILIM1910
34,İSTANBUL,İSTANBUL,KORGUNYAZILIM1910
35,İZMİR,İZMİR,KORGUNYAZILIM1910
36,KARS,KARS,KORGUNYAZILIM1910
37,KASTAMONU,KASTAMONU,KORGUNYAZILIM1910
38,KAYSERİ,KAYSERİ,KORGUNYAZILIM1910
39,KIRKLARELİ,KIRKLARELİ,KORGUNYAZILIM1910
40,KIRŞEHİR,KIRŞEHİR,KORGUNYAZILIM1910
41,KOCAELİ,İZMİT,KORGUNYAZILIM1910
42,KONYA,KONYA,KORGUNYAZILIM1910
43,KÜTAHYA,KÜTAHYA,KORGUNYAZILIM1910
44,MALATYA,MALATYA,KORGUNYAZILIM1910
45,MANİSA,MANİSA,KORGUNYAZILIM1910
46,KAHRAMANMARAŞ,KAHRAMANMARAŞ,KORGUNYAZILIM1910
47,MARDİN,MARDİN,KORGUNYAZILIM1910
48,MUĞLA,MUĞLA,KORGUNYAZILIM1910
49,MUŞ,MUŞ,KORGUNYAZILIM1910
50,NEVŞEHİR,NEVŞEHİR,KORGUNYAZILIM1910
51,NİĞDE,NİĞDE,KORGUNYAZILIM1910
52,ORDU,ORDU,KORGUNYAZILIM1910
53,RİZE,RİZE,KORGUNYAZILIM1910
54,SAKARYA,ADAPAZARI,KORGUNYAZILIM1910
55,SAMSUN,SAMSUN,KORGUNYAZILIM1910
56,SİİRT,SİİRT,KORGUNYAZILIM1910
57,SİNOP,SİNOP,KORGUNYAZILIM1910
58,SİVAS,SİVAS,KORGUNYAZILIM1910
59,TEKİRDAĞ,TEKİRDAĞ,KORGUNYAZILIM1910
60,TOKAT,TOKAT,KORGUNYAZILIM1910
61,TRABZON,TRABZON,KORGUNYAZILIM1910
62,TUNCELİ,TUNCELİ,KORGUNYAZILIM1910
63,ŞANLIURFA,ŞANLIURFA,KORGUNYAZILIM1910
64,UŞAK,UŞAK,KORGUNYAZILIM1910
65,VAN,VAN,KORGUNYAZILIM1910
66,YOZGAT,YOZGAT,KORGUNYAZILIM1910
67,ZONGULDAK,ZONGULDAK,KORGUNYAZILIM1910
68,AKSARAY,AKSARAY,KORGUNYAZILIM1910
69,BAYBURT,BAYBURT,KORGUNYAZILIM1910
70,KARAMAN,KARAMAN,KORGUNYAZILIM1910
71,KIRIKKALE,KIRIKKALE,KORGUNYAZILIM1910
72,BATMAN,BATMAN,KORGUNYAZILIM1910
73,ŞIRNAK,ŞIRNAK,KORGUNYAZILIM1910
74,BARTIN,BARTIN,KORGUNYAZILIM1910
75,ARDAHAN,ARDAHAN,KORGUNYAZILIM1910
76,IĞDIR,IĞDIR,KORGUNYAZILIM1910
77,YALOVA,YALOVA,KORGUNYAZILIM1910
78,KARABÜK,KARABÜK,KORGUNYAZILIM1910
79,KİLİS,KİLİS,KORGUNYAZILIM1910
80,OSMANİYE,OSMANİYE,KORGUNYAZILIM1910
81,DÜZCE,DÜZCE,KORGUNYAZILIM1910
01,ADANA,ADANA,KORGUNYAZILIM2210
02,ADIYAMAN,ADIYAMAN,KORGUNYAZILIM2210
03,AFYONKARAHİSAR,AFYONKARAHİSAR,KORGUNYAZILIM2210
04,AĞRI,AĞRI,KORGUNYAZILIM2210
05,AMASYA,AMASYA,KORGUNYAZILIM2210
06,ANKARA,ANKARA,KORGUNYAZILIM2210
07,ANTALYA,ANTALYA,KORGUNYAZILIM2210
08,ARTVİN,ARTVİN,KORGUNYAZILIM2210
09,AYDIN,AYDIN,KORGUNYAZILIM2210
10,BALIKESİR,BALIKESİR,KORGUNYAZILIM2210
11,BİLECİK,BİLECİK,KORGUNYAZILIM2210
12,BİNGÖL,BİNGÖL,KORGUNYAZILIM2210
13,BİTLİS,BİTLİS,KORGUNYAZILIM2210
14,BOLU,BOLU,KORGUNYAZILIM2210
15,BURDUR,BURDUR,KORGUNYAZILIM2210
16,BURSA,BURSA,KORGUNYAZILIM2210
17,ÇANAKKALE,ÇANAKKALE,KORGUNYAZILIM2210
18,ÇANKIRI,ÇANKIRI,KORGUNYAZILIM2210
19,ÇORUM,ÇORUM,KORGUNYAZILIM2210
20,DENİZLİ,DENİZLİ,KORGUNYAZILIM2210
21,DİYARBAKIR,DİYARBAKIR,KORGUNYAZILIM2210
22,EDİRNE,EDİRNE,KORGUNYAZILIM2210
23,ELAZIĞ,ELAZIĞ,KORGUNYAZILIM2210
24,ERZİNCAN,ERZİNCAN,KORGUNYAZILIM2210
25,ERZURUM,ERZURUM,KORGUNYAZILIM2210
26,ESKİŞEHİR,ESKİŞEHİR,KORGUNYAZILIM2210
27,GAZİANTEP,GAZİANTEP,KORGUNYAZILIM2210
28,GİRESUN,GİRESUN,KORGUNYAZILIM2210
29,GÜMÜŞHANE,GÜMÜŞHANE,KORGUNYAZILIM2210
30,HAKKARİ,HAKKARİ,KORGUNYAZILIM2210
31,HATAY,HATAY,KORGUNYAZILIM2210
32,ISPARTA,ISPARTA,KORGUNYAZILIM2210
33,MERSİN,MERSİN,KORGUNYAZILIM2210
34,İSTANBUL,İSTANBUL,KORGUNYAZILIM2210
35,İZMİR,İZMİR,KORGUNYAZILIM2210
36,KARS,KARS,KORGUNYAZILIM2210
37,KASTAMONU,KASTAMONU,KORGUNYAZILIM2210
38,KAYSERİ,KAYSERİ,KORGUNYAZILIM2210
39,KIRKLARELİ,KIRKLARELİ,KORGUNYAZILIM2210
40,KIRŞEHİR,KIRŞEHİR,KORGUNYAZILIM2210
41,KOCAELİ,İZMİT,KORGUNYAZILIM2210
42,KONYA,KONYA,KORGUNYAZILIM2210
43,KÜTAHYA,KÜTAHYA,KORGUNYAZILIM2210
44,MALATYA,MALATYA,KORGUNYAZILIM2210
45,MANİSA,MANİSA,KORGUNYAZILIM2210
46,KAHRAMANMARAŞ,KAHRAMANMARAŞ,KORGUNYAZILIM2210
47,MARDİN,MARDİN,KORGUNYAZILIM2210
48,MUĞLA,MUĞLA,KORGUNYAZILIM2210
49,MUŞ,MUŞ,KORGUNYAZILIM2210
50,NEVŞEHİR,NEVŞEHİR,KORGUNYAZILIM2210
51,NİĞDE,NİĞDE,KORGUNYAZILIM2210
52,ORDU,ORDU,KORGUNYAZILIM2210
53,RİZE,RİZE,KORGUNYAZILIM2210
54,SAKARYA,ADAPAZARI,KORGUNYAZILIM2210
55,SAMSUN,SAMSUN,KORGUNYAZILIM2210
56,SİİRT,SİİRT,KORGUNYAZILIM2210
57,SİNOP,SİNOP,KORGUNYAZILIM2210
58,SİVAS,SİVAS,KORGUNYAZILIM2210
59,TEKİRDAĞ,TEKİRDAĞ,KORGUNYAZILIM2210
60,TOKAT,TOKAT,KORGUNYAZILIM2210
61,TRABZON,TRABZON,KORGUNYAZILIM2210
62,TUNCELİ,TUNCELİ,KORGUNYAZILIM2210
63,ŞANLIURFA,ŞANLIURFA,KORGUNYAZILIM2210
64,UŞAK,UŞAK,KORGUNYAZILIM2210
65,VAN,VAN,KORGUNYAZILIM2210
66,YOZGAT,YOZGAT,KORGUNYAZILIM2210
67,ZONGULDAK,ZONGULDAK,KORGUNYAZILIM2210
68,AKSARAY,AKSARAY,KORGUNYAZILIM2210
