FisNo,Tanim,FisTar,insUN,insDT,updUN,updDT,Location,Aktarildi,FisTur
5,FİRMA EFT,2019-03-29 00:00:00,,,,,KS001,,2
7,FİRMA EFT,2019-04-05 00:00:00,,,,,KS001,,2
9,FİRMA EFT,2019-04-12 00:00:00,,,,,KS001,,2
10,FİRMA EFT,2019-05-03 00:00:00,,,,,KS001,,2
11,FİRMA EFT,2019-05-10 00:00:00,,,,,KS001,,2
15,CUMA ÖDEMESİ,2019-05-31 00:00:00,,,,,KS001,,2
16,CUMA ÖDEME,2019-06-14 00:00:00,,,,,KS001,,2
17,CUMA ÖDEME,2019-06-14 00:00:00,,,,,KS001,,2
18,CUMA ÖDEME,2019-06-21 00:00:00,,,,,KS001,,2
19,,2019-06-21 00:00:00,,,,,KS001,,2
20,CUMA ÖDEME,2019-06-28 00:00:00,,,,,KS001,,2
21,ÖDEME,2019-06-28 00:00:00,,,,,KS001,,2
22,CUMA ÖDEME,2019-07-05 00:00:00,,,,,KS001,,2
23,CUMA ÖDEMELERİ,2019-07-12 00:00:00,,,,,KS001,,2
24,CUMA ÖDEMELERİ,2019-07-19 00:00:00,,,,,KS001,,2
25,,2019-07-19 00:00:00,,,,,KS001,,2
26,CUMA ÖDEMELRİ,2019-07-26 00:00:00,,,,,KS001,,2
27,CUMA ÖDEMELERİ,2019-08-02 00:00:00,,,,,KS001,,2
28,CUMA ÖDEME,2019-08-09 00:00:00,,,,,KS001,,2
29,CUMA ÖD,2019-08-23 00:00:00,,,,,KS001,,2
30,CUMA ÖDEMELERİ,2019-08-29 00:00:00,,,,,KS001,,2
31,CUMA ÖDEMELERİ,2019-09-06 00:00:00,,,,,KS001,,2
32,,2019-09-06 00:00:00,,,,,KS001,,2
33,CUMA ÖDEMELERİ,2019-09-13 00:00:00,,,,,KS001,,2
34,CUMA ÖDEMELERİ,2019-09-20 00:00:00,,,,,KS001,,2
35,27.09.2019 CUMA ÖDEME,2019-09-27 00:00:00,,,,,KS001,,2
37,CUMA ÖDEMELERİ,2019-10-04 00:00:00,,,,,KS001,,2
38,CUMA FİRMA ÖD,2019-10-11 00:00:00,,,,,KS001,,2
39,CUMA ÖD,2019-10-18 00:00:00,,,,,KS001,,2
40,CUMA ÖDEME,2019-10-25 00:00:00,,,,,KS001,,2
41,CUMA ÖDEMESİ,2019-11-01 00:00:00,,,,,KS001,,2
42,CUMA ÖDEMESİ,2019-11-08 00:00:00,,,,,KS001,,2
43,CUMA ÖDEMESİ,2019-11-15 00:00:00,,,,,KS001,,2
44,CUMA ÖDEMELERİ,2019-11-22 00:00:00,,,,,KS001,,2
45,CUMA ÖDEMELERİ,2019-11-22 00:00:00,,,,,KS001,,2
46,CUMA ÖDEMELERİ,2019-11-29 00:00:00,,,,,KS001,,2
47,CUMA ÖDEMESİ,2019-12-06 00:00:00,,,,,KS001,,2
48,CUMA ÖDEMELERİ,2019-12-13 00:00:00,,,,,KS001,,2
49,CUMA ÖDEMELERİ,2019-12-20 00:00:00,,,,,KS001,,2
50,CUMA ÖDEMELERİ,2019-12-27 00:00:00,,,,,KS001,,2
51,CUMA ÖDEMELERİ,2020-01-03 00:00:00,,,,,KS001,,2
52,CUMA ÖDEMELERİ,2020-01-10 00:00:00,,,,,KS001,,2
53,CUMA ÖDEMELERİ,2020-01-17 00:00:00,,,,,KS001,,2
54,CUMA ÖDEMELERİ,2020-01-24 00:00:00,,,,,KS001,,2
55,CUMA ÖDEMELERİ,2020-01-31 00:00:00,,,,,KS001,,2
56,CUMA ÖDEMELERİ,2020-02-08 00:00:00,,,,,KS001,,2
57,CUMA ÖDEME,2020-02-14 00:00:00,,,,,KS001,,2
58,CUMA ÖDEMELERİ,2020-02-21 00:00:00,,,,,KS001,,2
59,CUMA ÖDEMELERİ,2020-02-28 00:00:00,,,,,KS001,,2
60,CUMA ÖDEMELERİ,2020-03-06 00:00:00,,,,,KS001,,2
61,CUMA ÖDEMLERİ,2020-03-13 00:00:00,,,,,KS001,,2
62,,2020-08-14 00:00:00,,,,,KS001,,2
63,CUMA ÖDEMELERİ,2020-08-28 00:00:00,,,,,KS001,,2
64,CUMA ÖDEMELERİ,2020-10-16 00:00:00,,,,,KS001,,2
65,,2020-11-13 00:00:00,,,,,KS001,,2
66,12.03.2021 ÖDEME,2021-03-19 00:00:00,,,,,KS001,,2
67,YENI KAYITLAR,2021-03-26 00:00:00,,,,,KS001,,
68,HAZIR TABLOLAR YENİ2904,2021-04-29 00:00:00,,,,,KS001,,2
69,CUMA ÖDEMELERİ 21.05.2021,2021-05-21 00:00:00,,,,,KS001,,
70,CUMA ÖDEMEEEEEE,2021-07-09 00:00:00,,,,,KS001,,2
71,16.07.2021 YENİ ÖDEME,2021-07-16 00:00:00,,,,,KS001,,
72,CUMA ÖDEMELERİ,2021-07-30 00:00:00,,,,,KS001,,
73,CUMA ÖDEMELERİ 10.09.2021 YENİ,2021-09-10 00:00:00,,,,,KS001,,2
74,24.09.2021 EN YENİ LİSTE,2021-09-24 00:00:00,,,,,KS001,,
75,CUMA ÖDEMELERİ,2021-10-08 00:00:00,,,,,KS001,,
76,CUMA ÖDEMELERİ YAPI,2021-11-12 00:00:00,,,,,KS001,,
