UserName,ModulName,AccessStatu,ShortCut,kgid,insUN,insDT,insApp,updUN,updDT,updApp,mkgid
ahmet.yilmaz,miGDovGir,vi,,282,,,,,,,2
ahmet.yilmaz,miisOnay,vi,,283,,,,,,,2
alex,miSatTeklif,3,,17654,dbo,2024-02-16 13:44:26.217000,,dbo,2024-02-16 13:50:30.700000,,1112
aynur.karakoc,miGDovGir,vi,,1205,,,,,,,5
aynur.karakoc,miisOnay,vi,,1206,,,,,,,5
Bayramkırelli,miisOnay,vi,,1630,,,,,,,9
Bodrum,miGDovGir,vi,,1851,,,,,,,12
Bodrum,miisOnay,vi,,1852,,,,,,,12
Burcukır,mi_KurFarkiFis,vi,,1853,,,,,,,13
Burcukır,miAlHizmetKart,vi,,1854,,,,,,,13
Burcukır,miAlHizmetSip,vi,,1855,,,,,,,13
Burcukır,miAlHizmetSipYon,vi,,1856,,,,,,,13
Burcukır,miAlTemGir,vi,,1857,,,,,,,13
Burcukır,miAlTemHar,vi,,1858,,,,,,,13
Burcukır,mibanka,vi,,1859,,,,,,,13
Burcukır,miBankais,vi,,1860,,,,,,,13
Burcukır,miBankaKart,vi,,1861,,,,,,,13
Burcukır,miBankaKrediYon,vi,,1862,,,,,,,13
Burcukır,miBankaListesi,vi,,1863,,,,,,,13
Burcukır,miBankaTakip,vi,,1864,,,,,,,13
Burcukır,miBankaYon,vi,,1865,,,,,,,13
Burcukır,miBankTakip,vi,,1866,,,,,,,13
Burcukır,miBorcYonet,vi,,1867,,,,,,,13
Burcukır,miCariFis,vi,,1868,,,,,,,13
Burcukır,miCariMenu,vi,,1869,,,,,,,13
Burcukır,miCariRiskYon,vi,,1870,,,,,,,13
Burcukır,miCariYasYonet,vi,,1871,,,,,,,13
Burcukır,miCariYon,vi,,1872,,,,,,,13
Burcukır,miCariYonet,vi,,1873,,,,,,,13
Burcukır,miCek,vi,,1874,,,,,,,13
Burcukır,miCekGir,vi,,1875,,,,,,,13
Burcukır,miCekis,vi,,1876,,,,,,,13
Burcukır,miCekTakip,vi,,1877,,,,,,,13
Burcukır,miCekTakipFi,vi,,1878,,,,,,,13
Burcukır,miCekTakipFiD,vi,,1879,,,,,,,13
Burcukır,miCekTakipMu,vi,,1880,,,,,,,13
Burcukır,miCekTakipMuD,vi,,1881,,,,,,,13
Burcukır,miCekYon,vi,,1882,,,,,,,13
Burcukır,miCSFTakip,vi,,1883,,,,,,,13
Burcukır,miCSKurFarkiDegerleme,vi,,1884,,,,,,,13
Burcukır,miDahFiyDeg,4,,1885,,,,,,,13
Burcukır,miDahiliUyari,4,,1886,,,,,,,13
Burcukır,miDovMAFisList,vi,,1887,,,,,,,13
Burcukır,miDovMizan,vi,,1888,,,,,,,13
Burcukır,miDovMMuavin,vi,,1889,,,,,,,13
Burcukır,mieBeyan,vi,,1890,,,,,,,13
Burcukır,mieDefter,vi,,1891,,,,,,,13
Burcukır,miEdefterCreate,vi,,1892,,,,,,,13
Burcukır,miEDefterMain,vi,,1893,,,,,,,13
Burcukır,miEnt,vi,,1894,,,,,,,13
Burcukır,miFinans,4,,1895,,,,,,,13
Burcukır,miFinansTanim,vi,,1896,,,,,,,13
Burcukır,miFirCekCik,vi,,1897,,,,,,,13
Burcukır,miFirCekDevir,vi,,1898,,,,,,,13
Burcukır,miFirCekDeviris,vi,,1899,,,,,,,13
Burcukır,miFirCekis,vi,,1900,,,,,,,13
Burcukır,miFirSenetCik,vi,,1901,,,,,,,13
Burcukır,miFirSenetDevir,vi,,1902,,,,,,,13
Burcukır,miFirSenetDis,vi,,1903,,,,,,,13
Burcukır,miFirSenetis,vi,,1904,,,,,,,13
Burcukır,miFisBirlestir,vi,,1905,,,,,,,13
Burcukır,miGDovGir,vi,,1906,,,,,,,13
Burcukır,miGelGidYKMuhKod,vi,,1907,,,,,,,13
Burcukır,miGelKart,vi,,1908,,,,,,,13
Burcukır,miGenGid,vi,,1909,,,,,,,13
Burcukır,miGidHizYonet,vi,,1910,,,,,,,13
Burcukır,miGidKart,vi,,1911,,,,,,,13
Burcukır,miGunKazRap,vi,,1912,,,,,,,13
Burcukır,miGVirman,4,,1913,,,,,,,13
Burcukır,miHesapTakip,vi,,1914,,,,,,,13
Burcukır,miirs_A_Dah_i,4,,1915,,,,,,,13
Burcukır,miirs_A_Fat,4,,1916,,,,,,,13
Burcukır,miirs_A_Fat_i,4,,1917,,,,,,,13
Burcukır,miirs_A_Kon,4,,1918,,,,,,,13
Burcukır,miirs_A_Kon_i,4,,1919,,,,,,,13
Burcukır,miirs_A_Pro,4,,1920,,,,,,,13
Burcukır,miirs_A_Pro_i,4,,1921,,,,,,,13
Burcukır,miirs_S_Dah_i,4,,1922,,,,,,,13
Burcukır,miirs_S_Fat,4,,1923,,,,,,,13
Burcukır,miirs_S_Fat_i,4,,1924,,,,,,,13
Burcukır,miirs_S_Kon,4,,1925,,,,,,,13
Burcukır,miirs_S_Kon_i,4,,1926,,,,,,,13
Burcukır,miirs_S_Pro,4,,1927,,,,,,,13
Burcukır,miirs_S_Pro_i,4,,1928,,,,,,,13
Burcukır,miirsaliyeYon,4,,1929,,,,,,,13
Burcukır,miisOnay,vi,,1930,,,,,,,13
Burcukır,miKapaYonet,vi,,1931,,,,,,,13
Burcukır,miKasa,vi,,1932,,,,,,,13
Burcukır,miKasaFis,vi,,1933,,,,,,,13
Burcukır,miKasaMenu,vi,,1934,,,,,,,13
Burcukır,miKasaUyari,vi,,1935,,,,,,,13
Burcukır,miKasaYon,vi,,1936,,,,,,,13
Burcukır,miKasaYonet,vi,,1937,,,,,,,13
Burcukır,miKDV2eBeyan,vi,,1938,,,,,,,13
Burcukır,miKDVeBeyan,vi,,1939,,,,,,,13
Burcukır,miKDVTahakkuk,vi,,1940,,,,,,,13
Burcukır,miKredi,vi,,1941,,,,,,,13
Burcukır,miKrediFis,vi,,1942,,,,,,,13
Burcukır,miKrediMenu,vi,,1943,,,,,,,13
Burcukır,miKrediOdeme,vi,,1944,,,,,,,13
Burcukır,miKrediTanim,vi,,1945,,,,,,,13
Burcukır,miKrediYon,vi,,1946,,,,,,,13
Burcukır,miKurFarkDegerleme,vi,,1947,,,,,,,13
Burcukır,miMAFisList,vi,,1948,,,,,,,13
Burcukır,miMAnaKayit,vi,,1949,,,,,,,13
Burcukır,miMasrafCenter,vi,,1950,,,,,,,13
Burcukır,miMasrafDetayListe,vi,,1951,,,,,,,13
Burcukır,miMasrafEkstre,vi,,1952,,,,,,,13
Burcukır,miMasrafEkstrex,vi,,1953,,,,,,,13
Burcukır,miMasrafHspOzetx,vi,,1954,,,,,,,13
Burcukır,miMasrafMDurum,vi,,1955,,,,,,,13
Burcukır,miMasrafMDurumx,vi,,1956,,,,,,,13
Burcukır,miMasrafMerKart,vi,,1957,,,,,,,13
Burcukır,miMasrafMRapor,vi,,1958,,,,,,,13
Burcukır,miMasrafMRapor1,vi,,1959,,,,,,,13
Burcukır,miMasrafMYon,vi,,1960,,,,,,,13
Burcukır,miMasrafSablonTanim,vi,,1961,,,,,,,13
Burcukır,miMBilanco,vi,,1962,,,,,,,13
Burcukır,miMCekMKod,vi,,1963,,,,,,,13
Burcukır,miMDefKebir,vi,,1964,,,,,,,13
Burcukır,miMDetayEnt,vi,,1965,,,,,,,13
Burcukır,miMDovFisList,vi,,1966,,,,,,,13
Burcukır,miMDovRaporlar,vi,,1967,,,,,,,13
Burcukır,miMEnvKapat,vi,,1968,,,,,,,13
Burcukır,miMFisList,vi,,1969,,,,,,,13
Burcukır,miMFonAkim,vi,,1970,,,,,,,13
Burcukır,miMGeciciVer,vi,,1971,,,,,,,13
Burcukır,miMGelKapat,vi,,1972,,,,,,,13
Burcukır,miMGidKapat,vi,,1973,,,,,,,13
Burcukır,miMHareketler,vi,,1974,,,,,,,13
Burcukır,miMHesapAktar,vi,,1975,,,,,,,13
Burcukır,miMHesapPlan,vi,,1976,,,,,,,13
Burcukır,miMHizliEnt,vi,,1977,,,,,,,13
Burcukır,miMislemler,vi,,1978,,,,,,,13
Burcukır,miMizan,vi,,1979,,,,,,,13
Burcukır,miMKapaFis,vi,,1980,,,,,,,13
Burcukır,miMKarDagitim,vi,,1981,,,,,,,13
Burcukır,miMKarZarar,vi,,1982,,,,,,,13
Burcukır,miMKDVBeyan,vi,,1983,,,,,,,13
Burcukır,miMKDVMKod,vi,,1984,,,,,,,13
Burcukır,miMKDVMKodA,vi,,1985,,,,,,,13
Burcukır,miMKDVMKodAi,vi,,1986,,,,,,,13
Burcukır,miMKDVMKodS,vi,,1987,,,,,,,13
Burcukır,miMKDVMKodSi,vi,,1988,,,,,,,13
Burcukır,miMMaliTablo,vi,,1989,,,,,,,13
Burcukır,miMMuavin,vi,,1990,,,,,,,13
Burcukır,miMMuhasebe,vi,,1991,,,,,,,13
Burcukır,miMMuhFis,vi,,1992,,,,,,,13
Burcukır,miMMuhtasar,vi,,1993,,,,,,,13
Burcukır,miMNakitAkis,vi,,1994,,,,,,,13
Burcukır,miMNumaralandirma,vi,,1995,,,,,,,13
Burcukır,mimOtoFis,vi,,1996,,,,,,,13
Burcukır,miMOTVMKod,vi,,1997,,,,,,,13
Burcukır,miMOTVMKodA,vi,,1998,,,,,,,13
Burcukır,miMOTVMKodAi,vi,,1999,,,,,,,13
Burcukır,miMOTVMKodS,vi,,2000,,,,,,,13
Burcukır,miMOTVMKodSi,vi,,2001,,,,,,,13
Burcukır,miMPOdeTipKMKod,vi,,2002,,,,,,,13
Burcukır,miMPOdeTipMKod,vi,,2003,,,,,,,13
Burcukır,miMRaporlar,vi,,2004,,,,,,,13
Burcukır,miMSatisMaliyet,vi,,2005,,,,,,,13
Burcukır,miMSetFisNo,vi,,2006,,,,,,,13
Burcukır,miMSetMaddeNo,vi,,2007,,,,,,,13
Burcukır,miMSMMKdv,vi,,2008,,,,,,,13
Burcukır,miMSMMMuhKod,vi,,2009,,,,,,,13
Burcukır,miMSMMSt,vi,,2010,,,,,,,13
Burcukır,miMTemMKod,vi,,2011,,,,,,,13
Burcukır,miMTevMKod,vi,,2012,,,,,,,13
Burcukır,miMTevMKodA,vi,,2013,,,,,,,13
Burcukır,miMTevMKodAi,vi,,2014,,,,,,,13
Burcukır,miMTKDVMKod,vi,,2015,,,,,,,13
Burcukır,miMTKDVMKodA,vi,,2016,,,,,,,13
Burcukır,miMTKDVMKodAi,vi,,2017,,,,,,,13
Burcukır,miMTKDVMKodS,vi,,2018,,,,,,,13
Burcukır,miMTKDVMKodSi,vi,,2019,,,,,,,13
Burcukır,miMuhBABS,vi,,2020,,,,,,,13
Burcukır,miMuheBeyan,vi,,2021,,,,,,,13
Burcukır,miMuhEnvanter,vi,,2022,,,,,,,13
Burcukır,miMuhKodAta,vi,,2023,,,,,,,13
Burcukır,miMuhPeriyot,vi,,2024,,,,,,,13
Burcukır,miMuhPeriyotDetay,vi,,2025,,,,,,,13
Burcukır,miMusCekDevir,vi,,2026,,,,,,,13
Burcukır,miMusCekDeviris,vi,,2027,,,,,,,13
Burcukır,miMusCekGir,vi,,2028,,,,,,,13
Burcukır,miMusCekis,vi,,2029,,,,,,,13
Burcukır,miMusSenetDevir,vi,,2030,,,,,,,13
Burcukır,miMusSenetDis,vi,,2031,,,,,,,13
Burcukır,miMusSenetGir,vi,,2032,,,,,,,13
Burcukır,miMusSenetis,vi,,2033,,,,,,,13
Burcukır,miMYevmiye,vi,,2034,,,,,,,13
Burcukır,miPersonel,vi,,2035,,,,,,,13
Burcukır,miPersonelFis,vi,,2036,,,,,,,13
Burcukır,miPersonelMenu,vi,,2037,,,,,,,13
Burcukır,miPersonelYonet,vi,,2038,,,,,,,13
Burcukır,miProcessMuhKod,vi,,2039,,,,,,,13
Burcukır,miSenet,vi,,2040,,,,,,,13
Burcukır,miSenetGir,vi,,2041,,,,,,,13
Burcukır,miSenetis,vi,,2042,,,,,,,13
Burcukır,miSenetTakip,vi,,2043,,,,,,,13
Burcukır,miSenetTakipFi,vi,,2044,,,,,,,13
Burcukır,miSenetTakipFiD,vi,,2045,,,,,,,13
Burcukır,miSenetTakipMu,vi,,2046,,,,,,,13
Burcukır,miSenetTakipMuD,vi,,2047,,,,,,,13
Burcukır,miSenetYon,vi,,2048,,,,,,,13
Burcukır,miSpeedHavale,vi,,2049,,,,,,,13
Burcukır,miSpeedKasa,vi,,2050,,,,,,,13
Burcukır,miStokMuhBag,vi,,2051,,,,,,,13
Burcukır,miSubeTakip,vi,,2052,,,,,,,13
Burcukır,MiTedarikiPuanlama,vi,,2053,,,,,,,13
Burcukır,miTemGir,vi,,2054,,,,,,,13
Burcukır,miTemHar,vi,,2055,,,,,,,13
Burcukır,miTeminat,vi,,2056,,,,,,,13
Burcukır,miTemYon,vi,,2057,,,,,,,13
Burcukır,miTopCekPtint,vi,,2058,,,,,,,13
Burcukır,miTopSenetPtint,vi,,2059,,,,,,,13
Burcukır,miTSatisRapor,vi,,2060,,,,,,,13
Burcukır,miUrtMasDag,vi,,2061,,,,,,,13
Burcukır,miVerHizmetKart,vi,,2062,,,,,,,13
Burcukır,miVerTemGir,vi,,2063,,,,,,,13
Burcukır,miVerTemHar,vi,,2064,,,,,,,13
Burcukır,miYonKonsol,vi,,2065,,,,,,,13
Burcukır,Rapor_105,vi,,2066,,,,,,,13
Burcukır,Rapor_106,vi,,2067,,,,,,,13
Burcukır,Rapor_108,vi,,2068,,,,,,,13
Burcukır,Rapor_110,vi,,2069,,,,,,,13
Burcukır,Rapor_111,vi,,2070,,,,,,,13
Burcukır,Rapor_113,vi,,2071,,,,,,,13
Burcukır,Rapor_116,vi,,2072,,,,,,,13
Burcukır,Rapor_117,vi,,2073,,,,,,,13
Burcukır,Rapor_80,vi,,2074,,,,,,,13
Burcukır,Rapor_801,vi,,2075,,,,,,,13
Burcukır,Rapor_802,vi,,2076,,,,,,,13
Burcukır,Rapor_809,vi,,2077,,,,,,,13
Burcukır,Rapor_81,vi,,2078,,,,,,,13
