Cekinx,Harinx,HarTip,BordroNo,Tarih,istut,muhkod,cmb,cmb_Kod,Banka,Sube,GiderMuhKod,ProGiderKod,MuhFisNo,KarsiMuhKod,MM,KarsiMM,GiderMM,GiderTip,GiderParaCinsi,insUN,insDT,updUN,updDT,OzKod1,OzKod2,locked,Resim,Resim2,Aciklama,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,NeedCalculate,iptal,kgid,mkgid,insApp,updApp
5,152,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,Orbital,2020-07-17 13:28:45.083000,Orbital,2020-07-17 13:28:45.083000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,152,5,,
6,153,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,Orbital,2020-07-17 13:29:58.513000,Orbital,2020-07-17 13:29:58.513000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,153,6,,
8,158,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.770000,emine.kuscu,2020-08-06 10:30:45.857000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,158,8,,
9,159,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.773000,emine.kuscu,2020-08-06 10:30:06.773000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,159,9,,
10,160,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.777000,emine.kuscu,2020-08-06 10:30:06.777000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,160,10,,
11,150,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,Orbital,2020-07-17 13:23:21.683000,Orbital,2020-07-17 13:23:29.727000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,150,11,,
12,161,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.777000,emine.kuscu,2020-08-06 10:30:06.780000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,161,12,,
13,162,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.780000,emine.kuscu,2020-08-06 10:30:06.780000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,162,13,,
14,151,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,Orbital,2020-07-17 13:24:46.797000,Orbital,2020-11-22 17:07:10.183000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,151,14,,
15,163,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.780000,emine.kuscu,2020-08-06 10:30:06.783000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,163,15,,
