BedKOD,Bedinx,Beden,OzKod1,OzKod2,OzKod3,sinirla,SiraNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
,0,,,,,,,0,,,,,,
CCK,43,22,,,,,1,43,,,,,,
CCK,44,23,,,,,2,44,,,,,,
CCK,45,24,,,,,3,45,,,,,,
CCK,46,25,,,,,4,46,,,,,,
CCK,47,26,,,,,5,47,,,,,,
CCK,48,27,,,,,6,48,,,,,,
CCK,49,28,,,,,7,49,,,,,,
CCK,50,29,,,,,8,50,,,,,,
CCK,51,30,,,,,9,51,,,,,,
CCK,52,31,,,,,10,52,,,,,,
CCK,53,32,,,,,11,53,,,,,,
CCK,54,33,,,,,12,54,,,,,,
CCK,55,34,,,,,13,55,,,,,,
CCK,56,35,,,,,14,56,,,,,,
CCK,57,36,,,,,15,57,,,,,,
CCK,58,37,,,,,16,58,,,,,,
CCK,59,38,,,,,17,59,,,,,,
CCK,60,39,,,,,18,60,,,,,,
CCK,61,40,,,,,19,61,,,,,,
CNT,68,Standart,,,,,1,68,,,,,,
MR,1,39,,,,,4,1,,,,,,
MR,2,40,,,,,5,2,,,,,,
MR,3,41,,,,,6,3,,,,,,
MR,4,42,,,,,7,4,,,,,,
MR,5,43,,,,,8,5,,,,,,
MR,6,44,,,,,9,6,,,,,,
MR,7,45,,,,,10,7,,,,,,
MR,8,46,,,,,11,8,,,,,,
MR,9,47,,,,,12,9,,,,,,
MR,62,38,,,,,3,62,,,,,,
MR,66,37,,,,,2,66,,,,,,
MR,67,36,,,,,1,67,,,,,,
UNI,26,31,,,,,1,26,,,,,,
UNI,27,32,,,,,2,27,,,,,,
UNI,28,33,,,,,3,28,,,,,,
UNI,29,34,,,,,4,29,,,,,,
UNI,30,35,,,,,5,30,,,,,,
UNI,31,36,,,,,6,31,,,,,,
UNI,32,37,,,,,7,32,,,,,,
UNI,33,38,,,,,8,33,,,,,,
UNI,34,39,,,,,9,34,,,,,,
UNI,35,40,,,,,10,35,,,,,,
UNI,36,41,,,,,11,36,,,,,,
UNI,37,42,,,,,12,37,,,,,,
UNI,38,43,,,,,13,38,,,,,,
UNI,39,44,,,,,14,39,,,,,,
UNI,40,45,,,,,15,40,,,,,,
UNI,41,46,,,,,16,41,,,,,,
UNI,42,47,,,,,17,42,,,,,,
UNI,64,48,,,,,18,64,,,,,,
ZN,10,26,,,,,2,10,,,,,,
ZN,11,27,,,,,3,11,,,,,,
ZN,12,28,,,,,4,12,,,,,,
ZN,13,29,,,,,5,13,,,,,,
ZN,14,30,,,,,6,14,,,,,,
ZN,15,31,,,,,7,15,,,,,,
ZN,16,32,,,,,8,16,,,,,,
ZN,17,33,,,,,9,17,,,,,,
ZN,18,34,,,,,10,18,,,,,,
ZN,19,35,,,,,11,19,,,,,,
ZN,20,36,,,,,12,20,,,,,,
ZN,21,37,,,,,13,21,,,,,,
ZN,22,38,,,,,14,22,,,,,,
ZN,23,39,,,,,15,23,,,,,,
ZN,24,40,,,,,16,24,,,,,,
ZN,25,41,,,,,17,25,,,,,,
ZN,63,42,,,,,18,63,,,,,,
ZN,65,,,,,,1,65,,,,,,
