FisNo,FisHarinx,ParaCinsi,LineType,Fiyat,Tutar,MasrafTutar,iskTutar,StopajTutar,OTVMatrah,OTVTutar,KDVMatrah,KDVTutar,TevkifatTutar,NetTutar
16099,18115,EU,S,126.028824,126.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16099,18115,IQD,S,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16099,18115,KZT,S,75.879854,75.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16099,18115,TL,S,2142.490000,2142.490000,0.000000,0.000000,0.000000,2142.490000,0.000000,2142.490000,0.000000,0.000000,2142.490000
16099,18115,US,S,126.028824,126.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16100,18116,EU,S,2058.823529,2058.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16100,18116,IQD,S,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16100,18116,KZT,S,1239.583333,1239.580000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16100,18116,TL,S,35000.000000,35000.000000,0.000000,0.000000,0.000000,35000.000000,0.000000,35000.000000,0.000000,0.000000,35000.000000
16100,18116,US,S,2058.823529,2058.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16101,18117,EU,S,5810.855882,5810.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16101,18117,IQD,S,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16101,18117,KZT,S,3498.619479,3498.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16101,18117,TL,S,98784.550000,98784.550000,0.000000,0.000000,0.000000,98784.550000,0.000000,98784.550000,0.000000,0.000000,98784.550000
16101,18117,US,S,5810.855882,5810.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16102,18118,EU,S,2403.588235,2403.590000,19.840000,0.000000,0.000000,2383.750000,0.000000,2383.750000,0.000000,0.000000,2383.750000
16102,18118,IQD,S,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16102,18118,KZT,S,1447.160417,1447.160000,11.950000,0.000000,0.000000,1435.210000,0.000000,1435.210000,0.000000,0.000000,1435.210000
16102,18118,TL,S,40861.000000,40861.000000,337.350000,0.000000,0.000000,40523.650000,0.000000,40523.650000,0.000000,0.000000,40523.650000
16102,18118,US,S,2403.588235,2403.590000,19.840000,0.000000,0.000000,2383.750000,0.000000,2383.750000,0.000000,0.000000,2383.750000
16103,18119,EU,S,566.003529,566.000000,26.120000,0.000000,0.000000,539.880000,0.000000,539.880000,0.000000,0.000000,539.880000
16103,18119,IQD,S,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16103,18119,KZT,S,340.781292,340.780000,15.730000,0.000000,0.000000,325.050000,0.000000,325.050000,0.000000,0.000000,325.050000
16103,18119,TL,S,9622.060000,9622.060000,444.110000,0.000000,0.000000,9177.950000,0.000000,9177.950000,0.000000,0.000000,9177.950000
16103,18119,US,S,566.003529,566.000000,26.120000,0.000000,0.000000,539.880000,0.000000,539.880000,0.000000,0.000000,539.880000
16104,18120,EU,S,476.874706,476.870000,10.320000,0.000000,0.000000,466.550000,0.000000,466.550000,0.000000,0.000000,466.550000
16104,18120,IQD,S,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16104,18120,KZT,S,287.118313,287.120000,6.210000,0.000000,0.000000,280.910000,0.000000,280.910000,0.000000,0.000000,280.910000
16104,18120,TL,S,8106.870000,8106.870000,175.400000,0.000000,0.000000,7931.470000,0.000000,7931.470000,0.000000,0.000000,7931.470000
