SipNo,SipHarinx,Konum,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,Durum,TerminTarihi,LotNo,OTVOran,SipharinxB,locked,SipPicture,Proje_D_Id,OzKod1,OzKod2,OzKod3,BagTeklifHarinx,kgid,insUN,insDT,insApp,updUN,updDT,updApp
89,1128,SF,LNRCNKB1120,,1.0000000000,Çift,TL,192.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1128,,,,,,
89,1129,SF,LNRCNKM603,,1.0000000000,Çift,TL,181.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1129,,,,,,
89,1130,SF,LNRCNNT7053,,2.0000000000,Çift,TL,167.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1130,,,,,,
89,1131,SF,RCNCNT360,,1.0000000000,Çift,TL,283.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1131,,,,,,
89,1132,SF,LNRCNT1975,,1.0000000000,Çift,TL,262.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1132,,,,,,
89,1133,SF,LNRCNKD2021,,1.0000000000,Çift,TL,146.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1133,,,,,,
89,1134,SF,LNRCNKRS035,,1.0000000000,Çift,TL,146.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1134,,,,,,
89,1135,SF,LNRCNR189,,2.0000000000,Çift,TL,199.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1135,,,,,,
89,1136,SF,RCN146,,1.0000000000,Çift,TL,286.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1136,,,,,,
89,1137,SF,LNRCNKM189,,1.0000000000,Çift,TL,220.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1137,,,,,,
89,1138,SF,LNRCNNT243,,1.0000000000,Çift,TL,227.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1138,,,,,,
89,1139,SF,LNRCNKCS816S,,1.0000000000,Çift,TL,360.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1139,,,,,,
89,1140,SF,RCN1DRG1057,,2.0000000000,Çift,TL,202.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1140,,,,,,
89,1141,SF,RCNWLG072,,4.0000000000,Çift,TL,209.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1141,,,,,,
89,1142,SF,LNRCNKM107,,1.0000000000,Çift,TL,146.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1142,,,,,,
