FisNo,FisTip,FisTar,Location,CariKod,BelgeNo,BelgeTar,iskonto,iskontoTut,ParaCinsi,GelenDep,GidenDep,SKullanici,KDVCheck,MuhFisNo,iptal,insUN,insDT,updUN,updDT,FisTur,locked,kgid,insApp,updApp
35,0,2023-09-30 13:49:57,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 13:50:14.400000,yulya,2023-09-30 13:50:14.400000,0,,35,,
36,0,2023-09-30 13:54:24,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 13:55:10.100000,yulya,2023-09-30 13:55:10.100000,0,,36,,
37,0,2023-09-30 13:57:34,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 13:58:26.397000,yulya,2023-09-30 13:58:26.397000,0,,37,,
38,0,2023-09-30 14:01:34,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 14:01:49.300000,yulya,2023-09-30 14:01:49.300000,0,,38,,
39,0,2023-09-30 14:02:20,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 14:02:32.500000,yulya,2023-09-30 14:02:32.500000,0,,39,,
40,0,2023-09-30 14:24:16,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 14:24:52.790000,yulya,2023-09-30 14:24:52.790000,0,,40,,
41,0,2023-09-30 14:25:19,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 14:26:24.320000,yulya,2023-09-30 14:26:24.320000,0,,41,,
42,0,2023-09-30 14:27:37,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 14:28:06.547000,yulya,2023-09-30 14:28:06.547000,0,,42,,
43,0,2023-09-30 14:28:40,L001,,,2023-09-30 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-09-30 14:28:59.743000,yulya,2023-09-30 14:28:59.743000,0,,43,,
44,0,2023-10-10 10:58:40,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 10:59:21.670000,yulya,2023-10-10 10:59:21.680000,0,,44,,
45,0,2023-10-10 11:05:18,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:05:46.147000,yulya,2023-10-10 11:05:46.147000,0,,45,,
46,0,2023-10-10 11:09:59,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:10:17.620000,yulya,2023-10-10 11:10:17.620000,0,,46,,
47,0,2023-10-10 11:19:29,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:20:00.763000,yulya,2023-10-10 11:20:00.763000,0,,47,,
48,0,2023-10-10 11:20:20,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:21:34.783000,yulya,2023-10-10 11:21:34.783000,0,,48,,
50,0,2023-10-10 11:29:48,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:30:15.993000,yulya,2023-10-10 11:30:15.993000,0,,50,,
51,0,2023-10-10 11:44:21,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:45:10.087000,yulya,2023-10-10 11:45:10.087000,0,,51,,
52,0,2023-10-10 11:45:38,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:45:59.253000,yulya,2023-10-10 11:45:59.253000,0,,52,,
53,0,2023-10-10 11:46:28,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:46:47.453000,yulya,2023-10-10 11:46:47.453000,0,,53,,
54,0,2023-10-10 11:47:12,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:47:27.510000,yulya,2023-10-10 11:47:27.510000,0,,54,,
55,0,2023-10-10 11:47:46,L001,,,2023-10-10 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-10 11:48:01.660000,yulya,2023-10-10 11:48:01.660000,0,,55,,
56,0,2023-10-20 12:18:20,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 12:19:03.520000,yulya,2023-10-20 12:19:03.530000,0,,56,,
57,0,2023-10-20 12:19:30,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 12:19:56.653000,yulya,2023-10-20 12:19:56.653000,0,,57,,
58,0,2023-10-20 12:21:09,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 12:22:00.373000,yulya,2023-10-20 12:22:00.373000,0,,58,,
59,0,2023-10-20 12:22:32,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 12:23:10.047000,yulya,2023-10-20 12:23:10.047000,0,,59,,
60,0,2023-10-20 13:07:16,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:12:05.153000,yulya,2023-10-20 13:12:05.153000,0,,60,,
61,0,2023-10-20 13:12:38,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:13:05.053000,yulya,2023-10-20 13:13:05.053000,0,,61,,
62,0,2023-10-20 13:13:23,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:13:51.753000,yulya,2023-10-20 13:13:51.753000,0,,62,,
63,0,2023-10-20 13:14:09,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:14:54.250000,yulya,2023-10-20 13:14:54.250000,0,,63,,
64,0,2023-10-20 13:16:01,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:16:31.287000,yulya,2023-10-20 13:16:31.287000,0,,64,,
65,0,2023-10-20 13:20:22,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:20:56.950000,yulya,2023-10-20 13:20:56.950000,0,,65,,
66,0,2023-10-20 13:21:30,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:22:01.300000,yulya,2023-10-20 13:22:01.300000,0,,66,,
67,0,2023-10-20 13:22:22,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:22:37.523000,yulya,2023-10-20 13:22:37.523000,0,,67,,
68,0,2023-10-20 13:23:12,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 13:23:34.740000,yulya,2023-10-20 13:23:34.740000,0,,68,,
69,0,2023-10-20 14:04:26,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 14:05:31.457000,yulya,2023-10-20 14:05:31.457000,0,,69,,
