UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc
ABDULLAH,OZKAN2020,OA001,,
ABDULLAH,OZKAN2020,OA002,,
ABDULLAH,OZKAN2020,OA003,,
ABDULLAH,OZKAN2020,OA009,,
ARIF,OZKAN2020,OA001,,
ARIF,OZKAN2020,OA002,,
ARIF,OZKAN2020,OA003,,
ARIF,OZKAN2020,OA009,,
AYTEKIN,OZKAN2020,OA001,,
AYTEKIN,OZKAN2020,OA002,,
AYTEKIN,OZKAN2020,OA003,,
AYTEKIN,OZKAN2020,OA009,,
DILARA,OZKAN2020,OA001,,
DILARA,OZKAN2020,OA002,,
DILARA,OZKAN2020,OA003,,
DILARA,OZKAN2020,OA009,,
FIRUZE,OZKAN2020,OA001,,
FIRUZE,OZKAN2020,OA002,,
FIRUZE,OZKAN2020,OA003,,
FURKAN,OZKAN2020,OA001,,
FURKAN,OZKAN2020,OA002,,
FURKAN,OZKAN2020,OA003,,
FURKAN,OZKAN2020,OA009,,
HAKAN,OZKAN2020,OA001,,
HAKAN,OZKAN2020,OA002,,
HAKAN,OZKAN2020,OA003,,
HAKAN,OZKAN2020,OA009,,
JULIA,OZKAN2020,OA001,,
JULIA,OZKAN2020,OA002,,
JULIA,OZKAN2020,OA003,,
JULIA,OZKAN2020,OA009,,
MELIS,OZKAN2020,OA001,,
MELIS,OZKAN2020,OA002,,
MELIS,OZKAN2020,OA003,,
OMER,OZKAN2020,OA001,,
OMER,OZKAN2020,OA002,,
OMER,OZKAN2020,OA003,,
OMER,OZKAN2020,OA009,,
ORHAN,OZKAN2020,OA001,,
ORHAN,OZKAN2020,OA002,,
ORHAN,OZKAN2020,OA009,,
SALIH,OZKAN2020,OA001,,
tedarikci,OZKAN2020,OA001,,
TUTKU,OZKAN2020,OA001,,
TUTKU,OZKAN2020,OA002,,
TUTKU,OZKAN2020,OA003,,
TUTKU,OZKAN2020,OA009,,
