Code,Name,kgid,insUN,insDT,insApp,updUN,updDT,updApp
201,17/1 Kültür ve Eğitim Amacı Taşıyan İşlemler,1,,,,,,
202,"17/2-a Sağlık, Çevre Ve Sosyal Yardım Amaçlı İşlemler",2,,,,,,
204,17/2-c Yabancı Diplomatik Organ Ve Hayır Kurumlarının Yapacakları Bağışlarla İlgili Mal Ve Hizmet Alışlar,3,,,,,,
205,17/2-d Taşınmaz Kültür Varlıklarına İlişkin Teslimler ve Mimarlık Hizmetleri,4,,,,,,
206,17/2-e Mesleki Kuruluşların İşlemleri,5,,,,,,
207,"17/3 Askeri Fabrika, Tersane ve Atölyelerin İşlemleri",6,,,,,,
208,"17/4-c Birleşme, Devir, Dönüşüm ve Bölünme İşlemleri",7,,,,,,
209,17/4-e Banka ve Sigorta Muameleleri Vergisi Kapsamına Giren İşlemler,8,,,,,,
211,17/4-h Zirai Amaçlı Su Teslimleri İle Köy Tüzel Kişiliklerince Yapılan İçme Suyu teslimleri,9,,,,,,
212,17/4-ı Serbest Bölgelerde Verilen Hizmetler,10,,,,,,
213,17/4-j Boru Hattı İle Yapılan Petrol Ve Gaz Taşımacılığı,11,,,,,,
214,17/4-k Organize Sanayi Bölgelerindeki Arsa ve İşyeri Teslimleri İle Konut Yapı Kooperatiflerinin Üyelerine Konut Teslimleri,12,,,,,,
215,17/4-l Varlık Yönetim Şirketlerinin İşlemleri,13,,,,,,
216,17/4-m Tasarruf Mevduatı Sigorta Fonunun İşlemleri,14,,,,,,
217,17/4-n Basın-Yayın ve Enformasyon Genel Müdürlüğüne Verilen Haber Hizmetleri,15,,,,,,
218,"17/4-o Gümrük Antrepoları, Geçici Depolama Yerleri, Gümrüklü Sahalar ve Vergisiz Satış Yapılan Mağazalarla İlgili Hizmetler",16,,,,,,
219,17/4-p Hazine ve Arsa Ofisi Genel Müdürlüğünün işlemleri,17,,,,,,
220,17/4-r İki Tam Yıl Süreyle Sahip Olunan Taşınmaz ve İştirak Hisseleri Satışları,18,,,,,,
221,"Geçici 15 Konut Yapı Kooperatifleri, Belediyeler ve Sosyal Güvenlik Kuruluşlarına Verilen İnşaat Taahhüt Hizmeti",19,,,,,,
223,Geçici 20/1 Teknoloji Geliştirme Bölgelerinde Yapılan İşlemler,20,,,,,,
