Modul,FisTip,FisNo,FisHarinx,SKod,RKod,Asorti,Miktar
F,fai,1786,6101,407 LUIJO,264,0524,1.0
F,fai,3744,10543,393 557,514,0001,3.0
F,fai,3746,10545,041 2689,4418,0001,3.0
F,fai,8270,28105,018 8025,4583,0023,3.0
F,fai,9560,34153,128 25,140,1674,1.0
F,fai,10132,36854,007 20 2410,2055,0001,1.0
F,fai,10408,38233,078 43652,6726,0001,1.0
F,fai,10408,38233,078 43652,7075,0001,1.0
F,fai,10414,38271,018 3512,7767,0023,2.0
F,fai,11066,40906,006 131 S,10357,0001,2.0
F,fal,104,124,086 8540,36,0045,2.0
F,fal,104,124,086 8540,58,0045,2.0
F,fal,104,125,086 8611,36,0045,2.0
F,fal,104,125,086 8611,58,0045,2.0
F,fal,105,126,055 1724,34,0045,2.0
F,fal,106,127,272 2301,338,0089,1.0
F,fal,106,127,272 2301,341,0089,1.0
F,fal,106,128,272 2301,338,0091,1.0
F,fal,106,128,272 2301,341,0091,1.0
F,fal,107,129,007 20 856,141,0045,1.0
F,fal,107,129,007 20 856,316,0045,1.0
F,fal,107,130,007 20 862,313,0045,1.0
F,fal,107,130,007 20 862,314,0045,1.0
F,fal,107,131,007 19 2261,311,0045,1.0
F,fal,107,131,007 19 2261,312,0045,1.0
F,fal,107,132,007 19 2259,310,0045,1.0
F,fal,107,133,007 20 2254,141,0045,1.0
F,fal,107,133,007 20 2254,305,0045,1.0
F,fal,107,134,007 20 2264,303,0045,1.0
F,fal,107,134,007 20 2264,304,0045,1.0
F,fal,107,135,007 20 2257,44,0045,1.0
F,fal,107,135,007 20 2257,302,0045,1.0
F,fal,109,146,097 2701,41,0045,2.0
F,fal,109,146,097 2701,292,0045,1.0
F,fal,110,147,009 201,229,0045,2.0
F,fal,111,148,393 373,40,0033,1.0
F,fal,111,148,393 373,141,0033,1.0
F,fal,121,170,243 01,243,0023,1.0
F,fal,121,170,243 01,245,0023,1.0
F,fal,121,171,243 01,244,0021,1.0
F,fal,121,171,243 01,245,0021,1.0
F,fal,121,171,243 01,246,0021,1.0
F,fal,121,200,243 01,244,0057,1.0
F,fal,121,200,243 01,245,0069,1.0
F,fal,121,201,243 1106,25,0001,8.0
F,fal,121,202,243 1106,25,0001,2.0
F,fal,121,202,243 1106,28,0001,1.0
F,fal,121,202,243 1106,29,0001,1.0
F,fal,122,172,009 1056,233,0023,1.0
F,fal,122,172,009 1056,235,0023,1.0
F,fal,122,172,009 1056,241,0023,1.0
F,fal,122,172,009 1056,242,0023,1.0
F,fal,122,173,009 1056,233,0021,1.0
F,fal,122,173,009 1056,235,0021,1.0
F,fal,122,173,009 1056,238,0021,1.0
F,fal,122,173,009 1056,239,0021,1.0
F,fal,122,173,009 1056,241,0021,1.0
F,fal,122,173,009 1056,242,0021,1.0
F,fal,122,173,009 1056,258,0021,1.0
F,fal,122,174,009 201,229,0023,1.0
F,fal,122,174,009 201,240,0023,1.0
F,fal,122,175,009 201,229,0021,1.0
F,fal,122,175,009 201,231,0021,1.0
F,fal,122,175,009 201,232,0021,1.0
F,fal,122,175,009 201,233,0021,1.0
F,fal,122,175,009 201,235,0021,1.0
F,fal,122,175,009 201,236,0021,1.0
F,fal,122,176,009 1052,234,0025,1.0
F,fal,122,176,009 1052,238,0023,1.0
F,fal,122,177,009 1052,234,0021,1.0
F,fal,122,177,009 1052,238,0021,1.0
F,fal,124,186,055 1661 ,34,0045,2.0
F,fal,124,186,055 1661 ,40,0045,2.0
F,fal,124,187,055 1653,287,0045,2.0
F,fal,124,187,055 1653,288,0045,2.0
F,fal,124,188,055 1724,40,0045,2.0
F,fal,125,189,009 1036,40,0045,2.0
F,fal,125,189,009 1036,41,0045,2.0
F,fal,125,189,009 1036,239,0045,2.0
F,fal,125,190,009 1052,231,0045,2.0
F,fal,125,190,009 1052,234,0045,2.0
F,fal,125,190,009 1052,238,0045,2.0
F,fal,125,190,009 1052,240,0045,2.0
F,fal,125,191,009 201,231,0045,2.0
F,fal,125,191,009 201,238,0045,2.0
F,fal,125,191,009 201,240,0045,2.0
F,fal,127,198,248 1113,40,0045,2.0
F,fal,127,198,248 1113,299,0045,2.0
F,fal,129,203,009 179,230,0001,2.0
F,fal,129,203,009 179,232,0001,1.0
F,fal,129,203,009 179,240,0001,1.0
F,fal,129,203,009 179,275,0001,1.0
F,fal,130,204,002 H 448 181,270,0001,2.0
F,fal,130,204,002 H 448 181,273,0001,2.0
F,fal,130,205,002 H 1054,269,0001,1.0
F,fal,130,206,002 H 1037,119,0001,1.0
F,fal,130,206,002 H 1037,122,0001,1.0
F,fal,130,206,002 H 1037,268,0001,1.0
F,fal,131,207,009 201,231,0061,1.0
F,fal,131,208,009 179,231,0085,1.0
F,fal,131,209,009 1036,41,0001,1.0
F,fal,131,210,009 179,231,0001,1.0
F,fal,131,211,009 1056,233,0133,1.0
F,fal,132,212,002 H 1296,447,0061,1.0
F,fal,132,213,002 93 170,327,0061,1.0
F,fal,132,214,002 H 2427,444,0061,1.0
F,fal,132,215,002 H 1293,443,0061,1.0
F,fal,132,216,002 H 1289,442,0061,1.0
F,fal,132,217,002 H 1054,123,0061,1.0
F,fal,132,218,002 H 1707,428,0055,1.0
F,fal,132,218,002 H 1707,429,0055,1.0
F,fal,133,219,393 7632,499,0001,1.0
F,fal,133,220,393 7632,499,0001,1.0
F,fal,134,221,037 5854,297,0045,2.0
F,fal,134,222,037 5851,294,0045,2.0
F,fal,134,223,037 6824,252,0063,1.0
F,fal,134,224,037 5854,297,0021,1.0
