SipNo,SipHarinx,Activid,Proses,Notu,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
48,460,0,20,,1,1,,,,,,
48,460,0,22,,2,1,,,,,,
48,460,0,24,,3,1,,,,,,
48,460,0,30,,4,1,,,,,,
48,460,11,02,,5,2,,,,,,
48,460,11,03,,6,2,,,,,,
48,460,11,05,,7,2,,,,,,
48,460,11,15,,8,2,,,,,,
48,460,11,17,,9,2,,,,,,
48,460,12,19,,10,3,,,,,,
48,461,0,20,,11,4,,,,,,
48,461,0,22,,12,4,,,,,,
48,461,0,24,,13,4,,,,,,
48,461,0,30,,14,4,,,,,,
48,461,13,02,,15,5,,,,,,
48,461,13,03,,16,5,,,,,,
48,461,13,15,,17,5,,,,,,
48,461,13,16,,18,5,,,,,,
48,461,13,17,,19,5,,,,,,
48,461,14,19,,20,6,,,,,,
121,965,0,20,,21,7,,,,,,
121,965,0,22,,22,7,,,,,,
121,965,0,24,,23,7,,,,,,
121,965,0,30,,24,7,,,,,,
121,965,27,02,,25,8,,,,,,
121,965,27,03,,26,8,,,,,,
121,965,27,15,,27,8,,,,,,
121,965,27,16,,28,8,,,,,,
121,965,27,17,,29,8,,,,,,
121,965,28,19,,30,9,,,,,,
122,966,0,20,,31,10,,,,,,
122,966,0,22,,32,10,,,,,,
122,966,0,24,,33,10,,,,,,
122,966,0,30,,34,10,,,,,,
122,966,29,02,,35,11,,,,,,
122,966,29,03,,36,11,,,,,,
122,966,29,15,,37,11,,,,,,
122,966,29,16,,38,11,,,,,,
122,966,29,17,,39,11,,,,,,
122,966,30,19,,40,12,,,,,,
139,540,0,20,,41,13,,,,,,
139,540,0,22,,42,13,,,,,,
139,540,0,24,,43,13,,,,,,
139,540,0,30,,44,13,,,,,,
139,540,2,02,,45,14,,,,,,
139,540,2,03,,46,14,,,,,,
139,540,2,15,,47,14,,,,,,
139,540,2,16,,48,14,,,,,,
139,540,2,17,,49,14,,,,,,
139,540,3,19,,50,15,,,,,,
139,541,0,20,,51,16,,,,,,
139,541,0,22,,52,16,,,,,,
139,541,0,26,,53,16,,,,,,
139,541,0,30,,54,16,,,,,,
139,541,4,02,,55,17,,,,,,
139,541,4,03,,56,17,,,,,,
139,541,4,04,,57,17,,,,,,
139,541,4,15,,58,17,,,,,,
