Tarih,DOV_KOD,DOV_BazKOD,carpan,kgid,insUN,insDT,insApp,updUN,updDT,updApp
2022-10-11,EU,TL,18.037200,1,,,,,,
2022-10-11,EU,US,0.970185,2,,,,,,
2022-10-11,TL,EU,0.055441,3,,,,,,
2022-10-11,TL,US,0.053788,4,,,,,,
2022-10-11,US,EU,1.030731,5,,,,,,
2022-10-11,US,TL,18.591500,6,,,,,,
2022-10-13,EU,TL,18.062200,7,,,,,,
2022-10-13,EU,US,0.971091,8,,,,,,
2022-10-13,TL,EU,0.055364,9,,,,,,
2022-10-13,TL,US,0.053764,10,,,,,,
2022-10-13,US,EU,1.029769,11,,,,,,
2022-10-13,US,TL,18.599900,12,,,,,,
2022-10-15,EU,TL,18.125600,13,,,,,,
2022-10-15,EU,US,0.974862,14,,,,,,
2022-10-15,TL,EU,0.055171,15,,,,,,
2022-10-15,TL,US,0.053784,16,,,,,,
2022-10-15,US,EU,1.025787,17,,,,,,
2022-10-15,US,TL,18.593000,18,,,,,,
2022-10-19,EU,TL,18.302500,19,,,,,,
2022-10-19,EU,US,0.984016,20,,,,,,
2022-10-19,TL,EU,0.054637,21,,,,,,
2022-10-19,TL,US,0.053764,22,,,,,,
2022-10-19,US,EU,1.016244,23,,,,,,
2022-10-19,US,TL,18.599800,24,,,,,,
2022-10-20,EU,TL,18.248500,25,,,,,,
2022-10-20,EU,US,0.981123,26,,,,,,
2022-10-20,TL,EU,0.054799,27,,,,,,
2022-10-20,TL,US,0.053765,28,,,,,,
2022-10-20,US,EU,1.019240,29,,,,,,
2022-10-20,US,TL,18.599600,30,,,,,,
2022-10-21,EU,TL,18.218700,31,,,,,,
2022-10-21,EU,US,0.979389,32,,,,,,
2022-10-21,TL,EU,0.054889,33,,,,,,
2022-10-21,TL,US,0.053757,34,,,,,,
2022-10-21,US,EU,1.021044,35,,,,,,
2022-10-21,US,TL,18.602100,36,,,,,,
2022-10-22,EU,TL,18.157300,37,,,,,,
2022-10-22,EU,US,0.975800,38,,,,,,
2022-10-22,TL,EU,0.055074,39,,,,,,
2022-10-22,TL,US,0.053741,40,,,,,,
2022-10-22,US,EU,1.024800,41,,,,,,
2022-10-22,US,TL,18.607600,42,,,,,,
2022-10-23,EU,TL,18.157300,43,,,,,,
2022-10-23,EU,US,0.975800,44,,,,,,
2022-10-23,TL,EU,0.055074,45,,,,,,
2022-10-23,TL,US,0.053741,46,,,,,,
2022-10-23,US,EU,1.024800,47,,,,,,
2022-10-23,US,TL,18.607600,48,,,,,,
2022-10-24,EU,TL,18.157300,49,,,,,,
2022-10-24,EU,US,0.975800,50,,,,,,
2022-10-24,TL,EU,0.055074,51,,,,,,
2022-10-24,TL,US,0.053741,52,,,,,,
2022-10-24,US,EU,1.024800,53,,,,,,
2022-10-24,US,TL,18.607600,54,,,,,,
2022-10-28,EU,TL,18.717400,55,,,,,,
2022-10-28,EU,US,1.005150,56,,,,,,
2022-10-28,TL,EU,0.053426,57,,,,,,
2022-10-28,TL,US,0.053701,58,,,,,,
2022-10-28,US,EU,0.994876,59,,,,,,
2022-10-28,US,TL,18.621500,60,,,,,,
2023-06-13,EU,TL,25.000000,61,,,,,,
2023-06-13,EU,US,1.086957,62,,,,,,
2023-06-13,TL,EU,0.040000,63,,,,,,
2023-06-13,TL,US,0.043478,64,,,,,,
2023-06-13,US,EU,0.920000,65,,,,,,
2023-06-13,US,TL,23.000000,66,,,,,,
