SKod,Modul,MKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
100006,B,155,49157,OZKAN,2025-04-09 14:50:29.290000,KGShop,,,
100006,B,156,49158,OZKAN,2025-04-09 14:50:29.297000,KGShop,,,
100006,B,157,49159,OZKAN,2025-04-09 14:50:29.303000,KGShop,,,
100006,B,158,49163,harun,2025-04-23 11:40:19.153000,KGShop,,,
100006,B,159,49164,harun,2025-04-23 11:40:24.730000,KGShop,,,
100006,B,160,49162,harun,2025-04-23 11:40:15.220000,KGShop,,,
100006,B,161,49160,harun,2025-04-21 12:52:44.090000,KGShop,,,
100006,B,162,49161,harun,2025-04-23 11:40:14.393000,KGShop,,,
100006,B,249,49156,OZKAN,2025-04-09 14:50:29.280000,KGShop,,,
100006,B,314,49155,OZKAN,2025-04-09 14:50:29.260000,KGShop,,,
100007,B,155,49137,OZKAN,2025-04-09 14:49:14.200000,KGShop,,,
100007,B,156,49138,OZKAN,2025-04-09 14:49:14.200000,KGShop,,,
100007,B,157,49139,OZKAN,2025-04-09 14:49:14.207000,KGShop,,,
100007,B,159,49167,harun,2025-04-23 11:40:31.593000,KGShop,,,
100007,B,160,49165,harun,2025-04-23 11:40:30.147000,KGShop,,,
100007,B,161,49166,harun,2025-04-23 11:40:30.847000,KGShop,,,
100007,B,249,49136,OZKAN,2025-04-09 14:49:14.193000,KGShop,,,
100007,B,314,49135,OZKAN,2025-04-09 14:49:14.183000,KGShop,,,
100008,B,155,49142,OZKAN,2025-04-09 14:49:14.233000,KGShop,,,
100008,B,156,49143,OZKAN,2025-04-09 14:49:14.240000,KGShop,,,
100008,B,157,49144,OZKAN,2025-04-09 14:49:14.243000,KGShop,,,
100008,B,249,49141,OZKAN,2025-04-09 14:49:14.227000,KGShop,,,
100008,B,314,49140,OZKAN,2025-04-09 14:49:14.223000,KGShop,,,
100009,B,155,49147,OZKAN,2025-04-09 14:49:14.323000,KGShop,,,
100009,B,156,49148,OZKAN,2025-04-09 14:49:14.340000,KGShop,,,
100009,B,157,49149,OZKAN,2025-04-09 14:49:14.357000,KGShop,,,
100009,B,249,49146,OZKAN,2025-04-09 14:49:14.297000,KGShop,,,
100009,B,314,49145,OZKAN,2025-04-09 14:49:14.270000,KGShop,,,
100010,B,155,49152,OZKAN,2025-04-09 14:49:14.427000,KGShop,,,
100010,B,156,49153,OZKAN,2025-04-09 14:49:14.437000,KGShop,,,
100010,B,157,49154,OZKAN,2025-04-09 14:49:14.447000,KGShop,,,
100010,B,249,49151,OZKAN,2025-04-09 14:49:14.417000,KGShop,,,
100010,B,314,49150,OZKAN,2025-04-09 14:49:14.410000,KGShop,,,
101519,B,155,1,,,,,,
101519,B,156,2,,,,,,
101519,B,157,3,,,,,,
101519,B,158,4,,,,,,
101519,B,159,5,,,,,,
101519,B,160,6,,,,,,
101519,B,161,7,,,,,,
101519,B,162,8,,,,,,
101519,B,168,9,,,,,,
