kod,name1,name2
01,ADANA,ADANA
02,ADIYAMAN,ADIYAMAN
03,AFYONKARAHİSAR,AFYONKARAHİSAR
04,AĞRI,AĞRI
05,AMASYA,AMASYA
06,ANKARA,ANKARA
07,ANTALYA,ANTALYA
08,ARTVİN,ARTVİN
09,AYDIN,AYDIN
10,BALIKESİR,BALIKESİR
11,BİLECİK,BİLECİK
12,BİNGÖL,BİNGÖL
13,BİTLİS,BİTLİS
14,BOLU,BOLU
15,BURDUR,BURDUR
16,BURSA,BURSA
17,ÇANAKKALE,ÇANAKKALE
18,ÇANKIRI,ÇANKIRI
19,ÇORUM,ÇORUM
20,DENİZLİ,DENİZLİ
21,DİYARBAKIR,DİYARBAKIR
22,EDİRNE,EDİRNE
23,ELAZIĞ,ELAZIĞ
24,ERZİNCAN,ERZİNCAN
25,ERZURUM,ERZURUM
26,ESKİŞEHİR,ESKİŞEHİR
27,GAZİANTEP,GAZİANTEP
28,GİRESUN,GİRESUN
29,GÜMÜŞHANE,GÜMÜŞHANE
30,HAKKARİ,HAKKARİ
31,HATAY,HATAY
32,ISPARTA,ISPARTA
33,MERSİN,MERSİN
34,İSTANBUL,İSTANBUL
35,İZMİR,İZMİR
36,KARS,KARS
37,KASTAMONU,KASTAMONU
38,KAYSERİ,KAYSERİ
39,KIRKLARELİ,KIRKLARELİ
40,KIRŞEHİR,KIRŞEHİR
41,KOCAELİ,İZMİT
42,KONYA,KONYA
43,KÜTAHYA,KÜTAHYA
44,MALATYA,MALATYA
45,MANİSA,MANİSA
46,KAHRAMANMARAŞ,KAHRAMANMARAŞ
47,MARDİN,MARDİN
48,MUĞLA,MUĞLA
49,MUŞ,MUŞ
50,NEVŞEHİR,NEVŞEHİR
51,NİĞDE,NİĞDE
52,ORDU,ORDU
53,RİZE,RİZE
54,SAKARYA,ADAPAZARI
55,SAMSUN,SAMSUN
56,SİİRT,SİİRT
57,SİNOP,SİNOP
58,SİVAS,SİVAS
59,TEKİRDAĞ,TEKİRDAĞ
60,TOKAT,TOKAT
61,TRABZON,TRABZON
62,TUNCELİ,TUNCELİ
63,ŞANLIURFA,ŞANLIURFA
64,UŞAK,UŞAK
65,VAN,VAN
66,YOZGAT,YOZGAT
67,ZONGULDAK,ZONGULDAK
68,AKSARAY,AKSARAY
69,BAYBURT,BAYBURT
70,KARAMAN,KARAMAN
71,KIRIKKALE,KIRIKKALE
72,BATMAN,BATMAN
73,ŞIRNAK,ŞIRNAK
74,BARTIN,BARTIN
75,ARDAHAN,ARDAHAN
76,IĞDIR,IĞDIR
77,YALOVA,YALOVA
78,KARABÜK,KARABÜK
79,KİLİS,KİLİS
80,OSMANİYE,OSMANİYE
81,DÜZCE,DÜZCE
