RENK_KOD,Tanim,OzKod1,OzKod2,OzKod3,Tip,DBName
1,Siyah,,,,,LINDON
2,Sarı,,,,,LINDON
3,Nubuk Lacivert,,,,,LINDON
4,Siyah Siyah,,,,,LINDON
5,Siyah Kırmızı,,,,,LINDON
6,Lacivert,,,,,LINDON
7,Bordo,,,,,LINDON
8,Füme,,,,,LINDON
9,Beyaz,,,,,LINDON
10,Haki,,,,,LINDON
11,Siyah Beyaz,,,,,LINDON
12,Siyah Sarı,,,,,LINDON
13,Kırmızı,,,,,LINDON
14,Haki Yeşili,,,,,LINDON
15,Siyah Mavi,,,,,LINDON
16,Petrol Yeşili,,,,,LINDON
17,Kahverengi,,,,,LINDON
18,Siyah Füme,,,,,LINDON
19,Vizon,,,,,LINDON
20,Siyah Füme Oranj,,,,,LINDON
21,Siyah Gümüş,,,,,LINDON
22,Haki Yeşil,,,,,LINDON
23,Beyaz Kırmızı,,,,,LINDON
24,Kırmızı Füme,,,,,LINDON
25,Füme Siyah,,,,,LINDON
26,Lacivert Kırmızı,,,,,LINDON
27,Siyah Siyah1,,,,,LINDON
28,Haki Siyah 1,,,,,LINDON
29,Kum Siyah1,,,,,LINDON
30,Siyah Siyah Kırmızı1,,,,,LINDON
31,Siyah Füme Kırmızı1,,,,,LINDON
32,Siyah Kahve Oranj1,,,,,LINDON
33,Siyah Haki1,,,,,LINDON
34,Siyah1,,,,,LINDON
35,Beyaz1,,,,,LINDON
36,Siyah Taba1,,,,,LINDON
37,Rugan Siyah1,,,,,LINDON
38,Mat Siyah1,,,,,LINDON
39,Kum,,,,,LINDON
40,Kahverengi1,,,,,LINDON
41,Domino Siyah,,,,,LINDON
42,Nubuk Siyah,,,,,LINDON
43,Nubuk Camel,,,,,LINDON
44,Siyah Kamuflaj,,,,,LINDON
45,Hardal,,,,,LINDON
46,Siyah Cilt,,,,,LINDON
47,Siyah Süet,,,,,LINDON
48,Taba,,,,,LINDON
49,Füme Kırmızı Mavi,,,,,LINDON
50,Buz Gri Beyaz Sarı,,,,,LINDON
51,Somon Yeşil Siyah,,,,,LINDON
52,Beyaz Gümüş,,,,,LINDON
53,Siyah Fuşya,,,,,LINDON
54,Pembe Beyaz,,,,,LINDON
55,Beyaz Mor,,,,,LINDON
56,Bordo Beyaz,,,,,LINDON
57,Açık Pembe Beyaz,,,,,LINDON
58,Füme Beyaz,,,,,LINDON
59,Lacivert Beyaz,,,,,LINDON
60,Haki Siyah,,,,,LINDON
61,Buz Lacivert,,,,,LINDON
62,Sarı Siyah,,,,,LINDON
63,Gri Siyah,,,,,LINDON
64,Kırmızı Siyah,,,,,LINDON
65,Süet Siyah,,,,,LINDON
66,Mat Siyah,,,,,LINDON
67,Rugan Siyah,,,,,LINDON
68,Buz Beyaz,,,,,LINDON
69,Lacivert Lacivert,,,,,LINDON
70,Sumi Buz,,,,,LINDON
71,Nova Beyaz,,,,,LINDON
72,Taba Kahve,,,,,LINDON
73,Taba Beyaz,,,,,LINDON
74,Siyah Mavi Beyaz,,,,,LINDON
75,Süet Lacivert,,,,,LINDON
76,3D Baskılı Siyah Siyah,,,,,LINDON
77,3D Baskılı Siyah,,,,,LINDON
78,Beyaz Siyah,,,,,LINDON
79,Sarı Beyaz,,,,,LINDON
80,3D Baskılı Beyaz,,,,,LINDON
81,3D Baskılı Siyah Beyaz,,,,,LINDON
82,Beyaz Beyaz,,,,,LINDON
83,Cilt Beyaz Buz,,,,,LINDON
84,Cilt Siyah Füme,,,,,LINDON
85,Beyaz Buz,,,,,LINDON
86,Buz Siyah Kırmızı,,,,,LINDON
87,Siyah Beyaz Füme,,,,,LINDON
88,Kırmızı Buz,,,,,LINDON
89,Beyaz Süet,,,,,LINDON
90,Taş Siyah Hardal,,,,,LINDON
91,Buz,,,,,LINDON
92,Siyah Hardal Taş,,,,,LINDON
93,Lacivert Gri,,,,,LINDON
94,Taba Taba,,,,,LINDON
95,Siyah Gri,,,,,LINDON
96,Siyah Sax,,,,,LINDON
97,Siyah Turuncu,,,,,LINDON
98,Gri,,,,,LINDON
99,Lacivert Krep Lacivert,,,,,LINDON
100,Lacivert Beyaz Krep,,,,,LINDON
101,Siyah Beyaz Krep,,,,,LINDON
102,Siyah Grafiti,,,,,LINDON
103,Beyaz Grafiti,,,,,LINDON
104,Siyah Taba,,,,,LINDON
105,Beyaz Taba,,,,,LINDON
106,Siyah Turuncu Siyah,,,,,LINDON
107,Beyaz Mavi,,,,,LINDON
108,Füme Pembe,,,,,LINDON
109,Buz Mor,,,,,LINDON
110,Lacivert Gümüş,,,,,LINDON
111,Pudra Pembe,,,,,LINDON
112,Buz Fuşya,,,,,LINDON
113,Lacivert Fuşya,,,,,LINDON
114,Füme Fuşya,,,,,LINDON
115,Beyaz Yeşil,,,,,LINDON
116,Kırmızı Beyaz,,,,,LINDON
117,Mavi Siyah,,,,,LINDON
118,Petrol Yeşili Vizon,,,,,LINDON
119,Lacivert Kırmızı Vizon,,,,,LINDON
120,Lacivert Vizon,,,,,LINDON
121,Siyah Mavi Vizon,,,,,LINDON
122,Mavi Vizon,,,,,LINDON
123,Siyah Vizon,,,,,LINDON
124,Beyaz Fuşya,,,,,LINDON
125,Füme Toz Pembe,,,,,LINDON
126,Siyah Füme Beyaz,,,,,LINDON
127,Beyaz Lacivert Kırmızı,,,,,LINDON
128,Haki Beyaz,,,,,LINDON
129,Pudra Pembe Beyaz,,,,,LINDON
130,Siyah Siyah Kırmızı,,,,,LINDON
131,Kırmızı Kırmızı,,,,,LINDON
132,Mavi Beyaz,,,,,LINDON
133,Vizon Beyaz,,,,,LINDON
134,Siyah Kırmızı Füme,,,,,LINDON
135,Lacivert Gümüş Kırmızı,,,,,LINDON
136,Siyah Sax Gümüş,,,,,LINDON
137,Kırmızı Turuncu Gümüş,,,,,LINDON
138,Beyaz Sax Kırmızı,,,,,LINDON
139,Siyah Kırmzı,,,,,LINDON
140,Buz Beyaz Krep,,,,,LINDON
141,Siyah Kırmızı Krep,,,,,LINDON
142,Siyah Buz Beyaz,,,,,LINDON
143,Siyah Buz,,,,,LINDON
144,Siyah Beyaz Turuncu,,,,,LINDON
145,Taba Buz,,,,,LINDON
146,Cilt Siyah,,,,,LINDON
147,Haki Beyaz Krep,,,,,LINDON
148,Baskılı Siyah Beyaz,,,,,LINDON
149,Baskılı Beyaz,,,,,LINDON
150,Baskılı Taba,,,,,LINDON
151,Baskılı Haki,,,,,LINDON
152,Baskılı Siyah Siyah,,,,,LINDON
153,Siyah Siyah Kadife,,,,,LINDON
