Company,Location,CKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
01,LN001,AAZB,1,,,,,,
01,LN001,BEKA1,447,,,,,,
01,LN001,DSM,2,,,,,,
01,LN001,DSM ST MODEL,438,,,,,,
01,LN001,Emin Export,3,,,,,,
01,LN001,euromart,4,,,,,,
01,LN001,GLOBAL,5,,,,,,
01,LN001,K 0001,6,,,,,,
01,LN001,K 0002,7,,,,,,
01,LN001,K 0003 ,8,,,,,,
01,LN001,K 0004,9,,,,,,
01,LN001,K 0005 ,10,,,,,,
01,LN001,K 0006,11,,,,,,
01,LN001,K 0007,12,,,,,,
01,LN001,K 0008,13,,,,,,
01,LN001,K 0009,14,,,,,,
01,LN001,K 0010,15,,,,,,
01,LN001,K 0011,16,,,,,,
01,LN001,K 0012,17,,,,,,
01,LN001,K 0013,18,,,,,,
01,LN001,K 0014,19,,,,,,
01,LN001,K 0015,20,,,,,,
01,LN001,K 0016,21,,,,,,
01,LN001,K 0017,22,,,,,,
01,LN001,K 0018,23,,,,,,
01,LN001,K 0019,24,,,,,,
01,LN001,knawat,25,,,,,,
01,LN001,LN00001,26,,,,,,
01,LN001,meri butik,27,,,,,,
01,LN001,mezania,28,,,,,,
01,LN001,Nakit Cikis,29,,,,,,
01,LN001,ORIGIN,30,,,,,,
01,LN001,P 0001,31,,,,,,
01,LN001,P 0002,32,,,,,,
01,LN001,P 0003,33,,,,,,
01,LN001,P 0004,34,,,,,,
01,LN001,P 0005 ,35,,,,,,
01,LN001,P 0006,36,,,,,,
01,LN001,P 0007,37,,,,,,
01,LN001,P 0008,38,,,,,,
01,LN001,P 0009,39,,,,,,
01,LN001,P 0010,40,,,,,,
01,LN001,P 0011,41,,,,,,
01,LN001,P 0012,42,,,,,,
01,LN001,P 0013,43,,,,,,
01,LN001,P 0014,44,,,,,,
01,LN001,P 0015,45,,,,,,
01,LN001,P 0016,46,,,,,,
01,LN001,P 0017,47,,,,,,
01,LN001,P 0018,48,,,,,,
01,LN001,P 0019,49,,,,,,
01,LN001,P 0020,50,,,,,,
01,LN001,P 0021,51,,,,,,
01,LN001,P 0022,52,,,,,,
01,LN001,P 0023,53,,,,,,
01,LN001,P 0024,54,,,,,,
01,LN001,P 0025 ,441,,,,,,
01,LN001,P 0026,444,,,,,,
01,LN001,P 0027,450,Furkan,2024-10-11 11:17:54.803000,KGShop,,,
01,LN001,RCN00001,55,,,,,,
01,LN001,RCN00002,56,,,,,,
01,LN001,RCN00003,57,,,,,,
01,LN001,RCN00004,58,,,,,,
01,LN001,RCN00005,59,,,,,,
01,LN001,RCN00006,60,,,,,,
01,LN001,RCN00007,61,,,,,,
01,LN001,RCN00008,62,,,,,,
01,LN001,RCN00009,63,,,,,,
01,LN001,RCN00010,64,,,,,,
01,LN001,RCN00011,65,,,,,,
01,LN001,RCN00012,66,,,,,,
01,LN001,RCN00013,67,,,,,,
01,LN001,RCN00014,68,,,,,,
01,LN001,RCN00015,69,,,,,,
01,LN001,RCN00016,70,,,,,,
01,LN001,RCN00017,71,,,,,,
01,LN001,RCN00018,72,,,,,,
01,LN001,RCN00019,73,,,,,,
01,LN001,RCN00020,74,,,,,,
01,LN001,RCN00021,75,,,,,,
01,LN001,RCN00022,76,,,,,,
01,LN001,RCN00023,77,,,,,,
01,LN001,RCN00024,78,,,,,,
01,LN001,RCN00025,79,,,,,,
01,LN001,RCN00026,80,,,,,,
01,LN001,RCN00027,81,,,,,,
01,LN001,RCN00028,82,,,,,,
01,LN001,RCN00029,83,,,,,,
01,LN001,RCN00030,84,,,,,,
01,LN001,RCN00031,85,,,,,,
01,LN001,RCN00032,86,,,,,,
01,LN001,RCN00033,87,,,,,,
01,LN001,RCN00034,88,,,,,,
01,LN001,RCN00035,89,,,,,,
01,LN001,RCN00036,90,,,,,,
01,LN001,RCN00037,91,,,,,,
01,LN001,RCN00038,92,,,,,,
01,LN001,RCN00039,93,,,,,,
01,LN001,RCN00040,94,,,,,,
01,LN001,RCN00041,426,,,,,,
01,LN001,RCN00042,429,,,,,,
01,LN001,RCN00043,432,,,,,,
01,LN001,RCN00044,435,,,,,,
01,LN001,TEST1,95,,,,,,
01,LN001,TY-1,96,,,,,,
01,LN001,WRC7682,97,,,,,,
01,LN001,Zeytinburnu Bel,98,,,,,,
01,LN002,RCN00001,99,,,,,,
