SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT
001- 1170,0,0,S02,82.0,US,2024-08-06 00:00:00,*,,,ONUR,2024-08-06 10:00:25.520000
001- 1171,0,0,S02,69.0,US,2024-08-02 00:00:00,*,,,,
001- 1174,0,0,S02,118.0,US,2024-08-02 00:00:00,*,,,,
001- 1176,0,0,S02,129.0,US,2024-08-02 00:00:00,*,,,,
001- 1181,0,0,S02,102.0,US,2024-08-02 00:00:00,*,,,,
001- 1184,0,0,S02,70.0,US,2024-08-02 00:00:00,*,,,,
001- 1202,0,0,S02,100.0,US,2024-08-02 00:00:00,*,,,,
001- 1207,0,0,S02,54.0,US,2024-08-02 00:00:00,*,,,,
001- 1212,0,0,S02,65.0,US,2024-08-02 00:00:00,*,,,,
001- 1216,0,0,S02,85.0,US,2024-08-02 00:00:00,*,,,,
001- 6371,0,0,FS0,58.0,US,2025-03-06 00:00:00,*,,,,
001- 6371,0,0,S02,50.0,US,2024-08-02 00:00:00,,,,ONUR,2025-03-06 21:56:45.560000
001- 6434,0,0,S02,51.0,US,2024-08-03 00:00:00,,,,,
001- 6449,0,0,S02,65.0,US,2024-08-03 00:00:00,*,,,,
001- 6451,0,0,S02,62.0,US,2024-08-03 00:00:00,*,,,,
001- 6452,0,0,S02,63.0,US,2024-08-03 00:00:00,*,,,,
001- 6454,0,0,S02,66.0,US,2024-08-03 00:00:00,,,,,
001- 6454 (D),0,0,S02,62.0,US,2024-08-06 00:00:00,,,,,
001- 6458,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6459,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6459 (K),0,0,S02,67.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 22:45:15.520000
001- 6460,0,0,S02,65.0,US,2024-08-03 00:00:00,*,,,,
001- 6460 (K),0,0,S02,71.0,US,2025-03-06 00:00:00,*,,,,
001 6461 (K),0,0,S02,63.0,US,2025-03-06 00:00:00,*,,,,
001- 6464,0,0,S02,50.0,US,2024-08-03 00:00:00,*,,,,
001- 6469,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6470,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6475,0,0,S02,49.0,US,2024-08-03 00:00:00,*,,,,
001- 6476,0,0,S02,67.0,US,2024-08-03 00:00:00,*,,,,
001 6496,0,0,S02,60.0,US,2024-09-10 00:00:00,*,,,,
001 6496 (K),0,0,S02,59.0,US,2024-10-08 00:00:00,*,,,ONUR,2024-10-08 14:35:21.407000
001 6497,0,0,S02,58.0,US,2025-03-06 00:00:00,*,,,,
001 6498,0,0,S02,57.0,US,2025-03-06 00:00:00,*,,,,
001 6498 (K),0,0,S02,62.0,US,2025-03-06 00:00:00,*,,,,
001- 6499,0,0,S02,64.0,US,2024-08-03 00:00:00,*,,,,
001 6505,0,0,S02,59.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 21:21:20.073000
001- 6505,0,0,S02,63.0,US,2024-08-03 00:00:00,*,,,,
001- 6513,0,0,S02,55.0,US,2024-08-03 00:00:00,,,,,
001- 6516,0,0,S02,55.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 23:42:24.817000
001- 6516 (K),0,0,FS0,60.0,US,2025-03-06 00:00:00,*,,,,
001- 6516 (K),0,0,S02,58.0,US,2024-08-03 00:00:00,,,,ONUR,2025-03-06 23:48:49.847000
001- 6518,0,0,S02,60.0,US,2024-08-03 00:00:00,*,,,,
001- 6524,0,0,S02,51.0,US,2024-08-03 00:00:00,*,,,,
001 6525,0,0,S02,56.0,US,2025-03-06 00:00:00,*,,,,
001- 6525,0,0,S02,52.0,US,2024-08-03 00:00:00,*,,,,
001 6525 (K),0,0,S02,61.0,US,2025-03-06 00:00:00,*,,,,
001- 6525 (K),0,0,S02,56.0,US,2024-08-06 00:00:00,*,,,ONUR,2024-08-06 10:37:53.420000
001 6526,0,0,S02,56.0,US,2025-03-06 00:00:00,*,,,,
001 6526 (K),0,0,S02,61.0,US,2025-03-06 00:00:00,*,,,,
001- 6530,0,0,FS0,61.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 23:27:26.493000
001- 6530,0,0,S02,59.0,US,2024-08-03 00:00:00,,,,ONUR,2025-03-06 23:25:53.700000
001- 6530 (K),0,0,FS0,66.0,US,2025-03-06 00:00:00,*,,,,
001- 6530 (K),0,0,S02,65.0,US,2024-08-03 00:00:00,,,,ONUR,2025-03-06 23:29:51.907000
001- 6533,0,0,S02,63.0,US,2024-08-03 00:00:00,*,,,,
001- 6535,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6538,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6554,0,0,S02,60.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 22:07:04.327000
001- 6586,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6589,0,0,S02,57.0,US,2024-08-03 00:00:00,*,,,,
001 6605,0,0,S02,58.0,US,2024-12-18 11:25:12.513000,*,,,,
001- 6612,0,0,S02,49.0,US,2024-08-06 00:00:00,*,,,,
001- 6612 (K),0,0,S02,53.0,US,2024-08-06 00:00:00,*,,,ONUR,2024-08-06 10:50:38.337000
001- 6616,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6621,0,0,S02,60.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 21:02:06.400000
001- 6621 (K),0,0,S02,65.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 21:08:35.770000
001- 6623,0,0,S02,50.0,US,2024-08-03 00:00:00,*,,,,
001- 6626,0,0,S02,49.0,US,2024-08-06 00:00:00,*,,,ONUR,2024-08-06 10:56:39.710000
001- 6626 (K),0,0,S02,53.0,US,2024-08-06 00:00:00,*,,,ONUR,2024-08-06 10:57:51.743000
001- 6627,0,0,S02,58.0,US,2024-08-03 00:00:00,*,,,,
001- 6627 (K),0,0,S02,63.0,US,2024-08-06 00:00:00,*,,,ONUR,2024-08-06 11:02:38.473000
001 6637 (K),0,0,S02,62.0,US,2025-03-06 00:00:00,*,,,,
001 6638,0,0,S02,61.0,US,2025-03-06 00:00:00,*,,,,
001 6638 (K),0,0,S02,66.0,US,2025-03-06 00:00:00,*,,,,
001 6640 (K),0,0,S02,69.0,US,2025-03-06 00:00:00,*,,,,
001 6641,0,0,S02,61.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 23:22:10.030000
001 6641 (K),0,0,S02,66.0,US,2025-03-06 00:00:00,*,,,,
001 6642,0,0,S02,61.0,US,2025-03-06 00:00:00,*,,,,
001 6642 (K),0,0,S02,66.0,US,2025-03-06 00:00:00,*,,,,
001 6643,0,0,S02,63.0,US,2025-03-06 00:00:00,*,,,,
001 6643 (K),0,0,S02,70.0,US,2025-03-06 00:00:00,*,,,,
001 6644,0,0,S02,62.0,US,2025-03-06 00:00:00,*,,,,
001 6644 (K),0,0,S02,68.0,US,2025-03-06 00:00:00,*,,,,
001 6645,0,0,S02,62.0,US,2025-03-06 00:00:00,*,,,ONUR,2025-03-06 21:47:07.453000
001 6645 (K),0,0,S02,69.0,US,2025-03-06 00:00:00,*,,,,
001- 6705,0,0,S02,59.0,US,2024-08-03 00:00:00,*,,,,
001- 6706,0,0,S02,54.0,US,2024-08-03 00:00:00,*,,,,
001- 6710,0,0,S02,64.0,US,2024-08-03 00:00:00,*,,,,
001 6764,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:29:17.280000
001 6768,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:02:32.350000
001 6769,0,0,S02,,US,2024-11-19 00:00:00,*,,,ONUR,2024-11-19 16:47:38.327000
001 6770,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:04:40.137000
001 6774,0,0,S02,63.0,US,2024-11-06 00:00:00,*,,,,
001 6775,0,0,S02,60.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:32:10.560000
001 6778,0,0,S02,63.0,US,2024-11-19 00:00:00,*,,,ONUR,2024-11-19 15:33:28.927000
001 6780,0,0,S02,60.0,US,2024-11-11 12:40:45.830000,*,,,,
001 6781,0,0,S02,62.0,US,2024-11-11 00:00:00,*,,,,
001 67814,0,0,S02,59.0,US,2024-11-11 12:46:08.333000,*,,,,
001 6783,0,0,S02,45.0,US,2025-03-06 00:00:00,*,,,,
001 6784,0,0,S02,44.0,US,2025-03-07 00:00:00,*,,,,
001 6787,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:48:25.467000
001 6788,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,,
001 6789,0,0,S02,54.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:06:55.723000
001 6794,0,0,S02,53.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:46:26.667000
001 6795,0,0,S02,,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:32:06.540000
001 6797,0,0,S02,63.0,US,2024-11-06 00:00:00,*,,,,
001 6800,0,0,S02,62.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:20:27.690000
001 6801,0,0,S02,58.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:40:31.350000
001 6805,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:09:26.150000
001 6808,0,0,S02,63.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:48:39.933000
001 6810,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 14:06:38.320000
001 6811,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:57:32.657000
001 6812,0,0,S02,60.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:51:06.207000
001 6813,0,0,S02,64.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:52:34.593000
001 6816,0,0,S02,51.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 14:03:34.147000
001 6817,0,0,S02,,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:00:45.440000
001 6818,0,0,S02,61.0,US,2024-12-16 00:00:00,*,,,ONUR,2024-12-16 09:34:27.600000
001 6819,0,0,S02,65.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:40:55.580000
001 6823,0,0,S02,60.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:26:48.010000
001 6825,0,0,FS0,59.0,US,2025-03-06 00:00:00,*,,,,
001 6825,0,0,S02,58.0,US,2024-11-11 00:00:00,,,,ONUR,2025-03-06 22:01:39.753000
