Harinx,FatNo,Oran,Tutar,Tip,iskPC,kgid,insUN,insDT,insApp,updUN,updDT,updApp
120,20526,,10.0000000000,A,US,120,,,,,,
140,21073,,6.0000000000,A,US,140,,,,,,
145,21365,,3.0000000000,A,US,145,,,,,,
152,21846,,4.0000000000,A,US,152,,,,,,
153,21968,,4.0000000000,A,US,153,,,,,,
156,22042,,4.0000000000,A,US,156,,,,,,
158,22196,,4.0000000000,A,US,158,,,,,,
160,22215,0E-10,1.0000000000,A,US,160,,,,,,
162,22257,,4.0000000000,A,US,162,,,,,,
164,22382,,4.0000000000,A,US,164,,,,,,
165,22639,0E-10,1.0000000000,A,US,165,,,,,,
167,22725,,1.0000000000,A,US,167,,,,,,
168,22820,,4.0000000000,A,US,168,,,,,,
170,23047,,130.0000000000,A,US,170,,,,,,
171,23298,,2.0000000000,A,US,171,,,,,,
172,23324,,2.0000000000,A,US,172,,,,,,
173,23413,,36.0000000000,A,US,173,,,,,,
178,23772,,19.0000000000,A,US,178,,,,,,
183,26090,,2.0000000000,A,US,183,,,,,,
184,34184,0E-10,0E-10,G,TL,184,Samet,2023-12-04 12:58:05.987000,KG-Shope,,,
185,34185,0E-10,0E-10,G,TL,185,Samet,2023-12-04 19:17:21.453000,KG-Shope,,,
186,34186,0E-10,0E-10,G,TL,186,Samet,2023-12-04 19:24:39.540000,KG-Shope,,,
187,34187,0E-10,0E-10,G,TL,187,Samet,2023-12-05 19:43:31.783000,KG-Shope,,,
188,34188,0E-10,0E-10,G,TL,188,Samet,2023-12-05 19:50:35.967000,KG-Shope,,,
189,34189,0E-10,0E-10,G,TL,189,Samet,2023-12-05 19:52:49.247000,KG-Shope,,,
190,34190,0E-10,0E-10,G,TL,190,Samet,2023-12-05 19:58:00.370000,KG-Shope,,,
191,34191,0E-10,0E-10,G,TL,191,Samet,2023-12-05 20:02:26.783000,KG-Shope,,,
192,34192,0E-10,0E-10,G,TL,192,Samet,2023-12-05 20:06:59.723000,KG-Shope,,,
193,34193,0E-10,0E-10,G,TL,193,Samet,2023-12-06 00:51:17.240000,KG-Shope,,,
194,36230,,58.4444000000,G,TL,194,harun,2024-01-19 12:01:57.003000,KGShop,,,
