SKOD,StokSekli,Tanim,BEDKod,StokTip,Birim,Takim,GRUPKOD,CinsKod,KARTTAR,KritikSeviye,OptimalSeviye,UreticiKodu,UMarka,SResim,KDVOran,Temin,Reyon,EanCode,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,Carpan,OTVCheck,BGrup_Kod,KGrupKod,insUN,insDT,updUN,updDT,Lotlu,Serili,OzKod6,OzKod7,OzKod8,OzKod9,OzKod10,FuarKod,OTVOran,Pasif,OzKod11,OzKod12,OzKod13,OzKod14,OzKod15,OzKod16,OzKod17,OzKod18,OzKod19,OzKod20,GTip,ModelAcma,Notu,ToleransKS,CanRezerv,SatinalmaMlyt,StokTutmaMlyt,MrpType,VERA_KISIM_ID,mrptedariktipi,OzKod21,OzKod22,OzKod23,OzKod24,OzKod25,OzKod26,OzKod27,OzKod28,OzKod29,OzKod30,OzKod31,OzKod32,OzKod33,OzKod34,OzKod35,OzKod36,OzKod37,OzKod38,OzKod39,OzKod40,OzKod41,OzKod42,OzKod43,OzKod44,OzKod45,OzKod46,OzKod47,OzKod48,OzKod49,OzKod50,kgid,insApp,updApp
11540,M,Riccon Haki Siyah Siyah Kadın-Erkek Sneaker 001207,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16007,M,Conteyner Riccon Siyah Bot 0012923,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
19813,M,Riccon Siyah Erkek Bot 0012369,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
3471,M,Riccon Siyah Erkek Sneaker 0012X20,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
3903,M,Rıccon Lacivert Erkek Trekking Ayakkabı 0012320,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
4051,M,Conteyner Siyah Erkek Bot 0012923,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
4259,M,Riccon Siyah Beyaz Erkek Sneaker,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
8526,M,Riccon Siyah Erkek Bot 0012801,,,Çift,,,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,,10.0000000000,2023-05-16 14:48:48.450000,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,Kadın ,,,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
ARS01,M,Riccon Kadın Yağmur Çizmesi 000002,ZN,Çizme,Çift,,004,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,C:\Resim\RCNARS0137-1.jpg,10.0000000000,2023-05-16 14:48:48.450000,,,Riccon,EM,Yetişkin,,Çizme,0E-10,,,,Zeki,2023-05-25 19:56:17.430000,Zeki,2025-03-12 15:19:29.740000, , ,,,Kadın Çizme,Türkiye,E,,0E-10,,3 cm,1 cm,,,,,,,,,, ,Yağmurlu havlar için  suya dayanıklı tasarım ve malzeme,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
ciceksepeti.vad,W,Vade farkı,,,Çift,U,,,2022-11-04 00:00:00,0E-10,0E-10,,,,20.0000000000,2023-07-09 00:00:00,,,,,,,,0E-10,,,,Zeki,2024-02-16 18:03:46.013000,Zeki,2024-02-16 18:03:46.023000, , ,,,,,E,,0E-10,,,,,,,,,,,,, ,,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,,
