BarCode,SKod,RKod,Asorti,Activ,OzKod1,OzKod2,OzKod3,kgid,insUN,insDT,insApp,updUN,updDT,updApp
123123,LNRCN720,48,mrd1,,,,,151,,,,,,
1487193549,LNRCNTWG285,66,Z015,*,,,,3645,,,,,,
1487193550,LNRCNTWG285,146,Z015,*,,,,3646,,,,,,
1487193551,LNRCNTWG285,390,Z015,*,,,,3647,,,,,,
1487193552,LNRCNTWG610,1,Z003,*,,,,3663,,,,,,
1487193553,LNRCN383,4,0002,*,,,,86,,,,,,
1487193554,LNRCN1KKYS06,47,Z003,*,,,,49,,,,,,
1487193555,LNRCNES22,82,mrd1,*,,,,1112,,,,,,
1487193556,LNRCNES22,78,mrd1,*,,,,1113,,,,,,
1487193557,LNRCNES22,311,mrd1,*,,,,1114,,,,,,
1487193558,LNRCNES22,58,mrd1,*,,,,1115,,,,,,
1487193559,LNRCNES22,11,mrd1,*,,,,1116,,,,,,
1487193560,LNRCNES22,4,mrd1,*,,,,1117,,,,,,
1487193561,LNRCNES22,159,mrd1,*,,,,1118,,,,,,
1487193562,LNRCNR705,4,0002,*,,,,3307,,,,,,
1487193563,LNRCNR705,11,0002,*,,,,3308,,,,,,
1487193564,LNRCNR705,20,0002,*,,,,3309,,,,,,
1487193565,LNRCNR705,60,0002,*,,,,3310,,,,,,
1487193566,LNRCNR705,109,0002,*,,,,3311,,,,,,
1487193567,LNRCNR705,418,0002,*,,,,3312,,,,,,
1487193568,LNRCNR705,419,0002,*,,,,3313,,,,,,
1487193569,LNRCNR705,420,0002,*,,,,3314,,,,,,
1487193570,LNRCNR705,421,0002,*,,,,3315,,,,,,
1487193571,LNRCNR705,437,0002,*,,,,3316,,,,,,
1487193572,LNRCNR705,446,0002,*,,,,3317,,,,,,
1487193573,LNRCNR705,449,0002,*,,,,3318,,,,,,
1487193574,LNRCNKM255,82,Z001,*,,,,2105,,,,,,
1487193575,LNRCNT836,98,mrd1,*,,,,3604,,,,,,
1487193576,RCN146,4,m40,*,,,,3746,,,,,,
1487193577,RCN146,72,m40,*,,,,3747,,,,,,
1487193578,RCN146,4,m41,*,,,,3748,,,,,,
1487193579,RCN146,72,m41,*,,,,3749,,,,,,
1487193580,RCN146,4,m42,*,,,,3750,,,,,,
1487193581,RCN146,72,m42,*,,,,3751,,,,,,
1487193582,RCN146,4,m43,*,,,,3752,,,,,,
1487193583,RCN146,72,m43,*,,,,3753,,,,,,
1487193584,RCN146,4,m44,*,,,,3754,,,,,,
1487193585,RCN146,72,m44,*,,,,3755,,,,,,
1487193586,RCN146,4,mrd1,*,,,,3756,,,,,,
1487193587,RCN146,72,mrd1,*,,,,3757,,,,,,
1487193588,LNRCNACT10,534,Z001,*,,,,204,,,,,,
1487193589,LNRCNACT10,534,Z003,*,,,,205,,,,,,
1487193590,LNRCNACT10,85,Z003,*,,,,206,,,,,,
1487193591,LNRCNACT10,428,Z003,*,,,,207,,,,,,
1487193592,LNRCNACT10,533,Z003,*,,,,208,,,,,,
1487193593,LNRCNACT10,11,Z003,*,,,,209,,,,,,
1487193594,LNRCNACT10,18,Z003,*,,,,210,,,,,,
1487193595,LNRCNACT93,78,m40,*,,,,392,,,,,,
1487193596,LNRCNACT93,78,m41,*,,,,393,,,,,,
1487193597,LNRCNACT93,78,m42,*,,,,394,,,,,,
1487193598,LNRCNACT93,78,m43,*,,,,395,,,,,,
1487193599,LNRCNACT93,78,m44,*,,,,396,,,,,,
1487193600,LNRCNTWG720,1,z36,*,,,,3664,,,,,,
1487193601,LNRCNTWG720,1,z37,*,,,,3665,,,,,,
1487193602,LNRCNTWG720,1,z38,*,,,,3666,,,,,,
1487193603,LNRCNTWG720,1,z39,*,,,,3667,,,,,,
1487193604,LNRCNTWG720,1,z40,*,,,,3668,,,,,,
1487193605,LNRCNTWG720,7,z36,*,,,,3669,,,,,,
1487193606,LNRCNTWG720,1,Z005,*,,,,3670,,,,,,
1487193607,LNRCNTWG720,1,Z006,*,,,,3671,,,,,,
1487193608,RCNJLX20,9,m40,*,,,,3796,,,,,,
1487193609,RCNJLX20,9,m41,*,,,,3797,,,,,,
1487193610,RCNJLX20,9,m42,*,,,,3798,,,,,,
1487193611,RCNJLX20,9,m43,*,,,,3799,,,,,,
1487193612,RCNJLX20,9,m44,*,,,,3800,,,,,,
1487193613,RCNJLX20,58,m40,*,,,,3801,,,,,,
1487193614,RCNJLX20,58,m41,*,,,,3802,,,,,,
