UserName,CatalogName,AccessLocation,ReadLoc,WriteLoc,kgid,insUN,insDT,insApp,updUN,updDT,updApp
2derya,LINDON,,,,291,,,,,,
2derya,LINDON,*,,,1,,,,,,
2derya,LINDON,LN001,,,743,dbo,2024-10-16 08:06:46.600000,Paramet,,,
2derya,LINDON23,,,,372,dbo,2024-10-16 00:31:00.393000,,,,
2derya,LINDON23,*,,,373,dbo,2024-10-16 00:31:00.393000,,,,
Ahmet,LINDON,,,,292,,,,,,
Ahmet,LINDON,*,,,2,,,,,,
Ahmet,LINDON,LN001,,,61,,,,,,
Ahmet,LINDON23,,,,374,dbo,2024-10-16 00:31:00.393000,,,,
Ahmet,LINDON23,*,,,375,dbo,2024-10-16 00:31:00.393000,,,,
Ahmet,LINDON23,LN001,,,376,dbo,2024-10-16 00:31:00.393000,,,,
AhmetEnes,LINDON,,,,293,,,,,,
AhmetEnes,LINDON,*,,,3,,,,,,
AhmetEnes,LINDON,LN001,,,62,,,,,,
AhmetEnes,LINDON,LN002,,,103,,,,,,
AhmetEnes,LINDON,LN010,,,173,,,,,,
AhmetEnes,LINDON,LN011,,,193,,,,,,
AhmetEnes,LINDON,LN999,,,273,,,,,,
AhmetEnes,LINDON23,,,,377,dbo,2024-10-16 00:31:00.393000,,,,
AhmetEnes,LINDON23,*,,,378,dbo,2024-10-16 00:31:00.393000,,,,
AhmetEnes,LINDON23,LN001,,,379,dbo,2024-10-16 00:31:00.393000,,,,
AhmetEnes,LINDON23,LN002,,,380,dbo,2024-10-16 00:31:00.393000,,,,
AhmetEnes,LINDON23,LN010,,,381,dbo,2024-10-16 00:31:00.393000,,,,
AhmetEnes,LINDON23,LN011,,,382,dbo,2024-10-16 00:31:00.393000,,,,
AhmetEnes,LINDON23,LN999,,,383,dbo,2024-10-16 00:31:00.393000,,,,
Ali,LINDON,,,,294,,,,,,
Ali,LINDON,*,,,4,,,,,,
Ali,LINDON,LN001,,,744,dbo,2024-10-16 08:07:06.637000,Paramet,,,
Ali,LINDON23,,,,384,dbo,2024-10-16 00:31:00.393000,,,,
Ali,LINDON23,*,,,385,dbo,2024-10-16 00:31:00.393000,,,,
AliCem,LINDON,,,,295,,,,,,
AliCem,LINDON,*,,,5,,,,,,
AliCem,LINDON,LN001,,,63,,,,,,
AliCem,LINDON23,,,,386,dbo,2024-10-16 00:31:00.393000,,,,
AliCem,LINDON23,*,,,387,dbo,2024-10-16 00:31:00.393000,,,,
AliCem,LINDON23,LN001,,,388,dbo,2024-10-16 00:31:00.393000,,,,
ATAKAN,LINDON,,,,296,,,,,,
ATAKAN,LINDON,*,,,6,,,,,,
ATAKAN,LINDON,LN001,,,64,,,,,,
ATAKAN,LINDON,LN002,,,104,,,,,,
ATAKAN,LINDON,LN003,,,124,,,,,,
