Modul,Dizayn,Alan,Genislik,DBName
F,<Default>,ASBarcode,50,TANCA
F,<Default>,ASKod,15,TANCA
F,<Default>,Asorti,5,TANCA
F,<Default>,Asorti_ici,100,TANCA
F,<Default>,Asorti_Top,5,TANCA
F,<Default>,ASOzKod1,50,TANCA
F,<Default>,ASOzKod2,50,TANCA
F,<Default>,ASOzKod3,50,TANCA
F,<Default>,ASOzKod4,50,TANCA
F,<Default>,ASOzKod5,50,TANCA
F,<Default>,AsTanim,100,TANCA
F,<Default>,AsTanim2,100,TANCA
F,<Default>,AStokTanim,100,TANCA
F,<Default>,Barcode,25,TANCA
F,<Default>,BCProcId,50,TANCA
F,<Default>,Beden,8,TANCA
F,<Default>,Bedenler,100,TANCA
F,<Default>,BedenTanim,50,TANCA
F,<Default>,Cariisim,60,TANCA
F,<Default>,CariKod,15,TANCA
F,<Default>,CariSehir,30,TANCA
F,<Default>,CariUnvan,60,TANCA
F,<Default>,Cinsiyet,15,TANCA
F,<Default>,CNT,20,TANCA
F,<Default>,DeAcBc,25,TANCA
F,<Default>,EANCode,12,TANCA
F,<Default>,FaturaNo,15,TANCA
F,<Default>,Fiyat,25,TANCA
F,<Default>,Fiyat2,25,TANCA
F,<Default>,Fiyat3,25,TANCA
F,<Default>,Fiyat4,25,TANCA
F,<Default>,Fiyat5,25,TANCA
F,<Default>,Fiyat6,25,TANCA
F,<Default>,Fiyat7,25,TANCA
F,<Default>,Fiyat8,25,TANCA
F,<Default>,irsaliyeNo,15,TANCA
F,<Default>,Kur,4,TANCA
F,<Default>,Kur2,4,TANCA
F,<Default>,Kur3,4,TANCA
F,<Default>,Kur4,4,TANCA
F,<Default>,Kur5,4,TANCA
F,<Default>,Kur6,4,TANCA
F,<Default>,Kur7,4,TANCA
F,<Default>,Kur8,4,TANCA
F,<Default>,Marka,15,TANCA
F,<Default>,MikBarCode,50,TANCA
F,<Default>,OzelKod1,15,TANCA
F,<Default>,OzelKod10,15,TANCA
F,<Default>,OzelKod11,15,TANCA
F,<Default>,OzelKod12,15,TANCA
F,<Default>,OzelKod13,15,TANCA
F,<Default>,OzelKod14,15,TANCA
F,<Default>,OzelKod15,15,TANCA
F,<Default>,OzelKod16,15,TANCA
F,<Default>,OzelKod17,15,TANCA
F,<Default>,OzelKod18,15,TANCA
F,<Default>,OzelKod19,15,TANCA
F,<Default>,OzelKod2,15,TANCA
F,<Default>,OzelKod20,15,TANCA
F,<Default>,OzelKod3,15,TANCA
F,<Default>,OzelKod4,15,TANCA
F,<Default>,OzelKod5,15,TANCA
F,<Default>,OzelKod6,15,TANCA
F,<Default>,OzelKod7,15,TANCA
F,<Default>,OzelKod8,15,TANCA
F,<Default>,OzelKod9,15,TANCA
F,<Default>,OzKod10T,50,TANCA
F,<Default>,OzKod11T,50,TANCA
F,<Default>,OzKod12T,50,TANCA
F,<Default>,OzKod13T,50,TANCA
F,<Default>,OzKod14T,50,TANCA
F,<Default>,OzKod15T,50,TANCA
F,<Default>,OzKod16T,50,TANCA
F,<Default>,OzKod17T,50,TANCA
F,<Default>,OzKod18T,50,TANCA
F,<Default>,OzKod19T,50,TANCA
F,<Default>,OzKod1T,50,TANCA
F,<Default>,OzKod20T,50,TANCA
F,<Default>,OzKod2T,50,TANCA
F,<Default>,OzKod3T,50,TANCA
F,<Default>,OzKod4T,50,TANCA
F,<Default>,OzKod5T,50,TANCA
F,<Default>,OzKod6T,50,TANCA
F,<Default>,OzKod7T,50,TANCA
F,<Default>,OzKod8T,50,TANCA
F,<Default>,OzKod9T,50,TANCA
F,<Default>,ProcId,15,TANCA
F,<Default>,Renk,50,TANCA
F,<Default>,RenkOzKod1,50,TANCA
F,<Default>,RenkOzKod2,50,TANCA
F,<Default>,RenkOzKod3,50,TANCA
F,<Default>,Reyon,15,TANCA
F,<Default>,SatirFiyat,25,TANCA
F,<Default>,SatirKur,3,TANCA
F,<Default>,SCins,2,TANCA
F,<Default>,SCinsT,50,TANCA
F,<Default>,SGrup,3,TANCA
F,<Default>,SGrupT,50,TANCA
F,<Default>,SResim,150,TANCA
F,<Default>,SReyonT,50,TANCA
F,<Default>,STipT,50,TANCA
F,<Default>,Stok_Tanim,50,TANCA
F,<Default>,StokKodu,15,TANCA
F,<Default>,StokTip,15,TANCA
F,<Default>,Uretici,15,TANCA
S,<Default>,A_iciTop,100,TANCA
S,<Default>,ABarCode,50,TANCA
S,<Default>,ACOzKod1,20,TANCA
S,<Default>,ACOzKod2,20,TANCA
S,<Default>,ACOzKod3,20,TANCA
S,<Default>,ACOzKod4,20,TANCA
S,<Default>,ACOzKod5,20,TANCA
S,<Default>,ASKod,20,TANCA
S,<Default>,Asor_Tanim,50,TANCA
S,<Default>,Asor_Tnm2,50,TANCA
S,<Default>,Asorti,5,TANCA
S,<Default>,Asorti_ici,100,TANCA
S,<Default>,Asorti_Top,5,TANCA
S,<Default>,AsortiBrc,100,TANCA
S,<Default>,AStokTanim,100,TANCA
S,<Default>,BagCKod,30,TANCA
S,<Default>,BagSipNo,10,TANCA
S,<Default>,Barcode,25,TANCA
S,<Default>,BCProcId,50,TANCA
S,<Default>,Beden,8,TANCA
S,<Default>,Bedenler,100,TANCA
S,<Default>,BedenTanim,50,TANCA
S,<Default>,BedOzKod1,50,TANCA
S,<Default>,BedOzKod2,50,TANCA
S,<Default>,BedOzKod3,50,TANCA
S,<Default>,BelgeNo,15,TANCA
S,<Default>,CariAdres1,70,TANCA
S,<Default>,CariAdres2,70,TANCA
S,<Default>,Cariisim,60,TANCA
S,<Default>,CariKod,15,TANCA
